mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	3/4	4	1		C.I	C	I		I		I							M	0	0	0, 4, 1		0	0
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	4	1		V43	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	2	2a	3	3	1.0	0	0	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	2	2	2a	4	4	1.0	1/4	1/4	3/4	4	1		#viio7/vi	C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	4	1		vi	C	I		vi		vi							m	0	0	3, 0, 4		3	3
3	3	3	3a	6	6	1.0	0	0	3/4	4	1		ii65	C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	3	3	3a	7	7	2.0	1/4	1/4	3/4	4	1		V65/V	C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
4	4	4	4a	9	9	0.5	0	0	3/4	4	1		V(9)	C	I		V(9)		V			9				M	0	0	1, 5, 2	3	1	1
4	4	4	4a	19/2	19/2	0.5	1/8	1/8	3/4	4	1		V	C	I		V		V							M	0	0	1, 5, 2		1	1
4	4	4	4a	10	10	1.0	1/4	1/4	3/4	4	1		V7/V	C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
4	4	4	4a	11	11	1.0	1/2	1/2	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	5	5a	12	12	2.0	0	0	3/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
5	5	5	5a	14	14	1.0	1/2	1/2	3/4	4	1		V43	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	6	6a	15	15	1.0	0	0	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	6	6a	16	16	1.0	1/4	1/4	3/4	4	1		#viio7/vi	C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
6	6	6	6a	17	17	1.0	1/2	1/2	3/4	4	1		vi	C	I		vi		vi							m	0	0	3, 0, 4		3	3
7	7	7	7a	18	18	1.0	0	0	3/4	4	1		ii65	C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
7	7	7	7a	19	19	1.0	1/4	1/4	3/4	4	1		V65/V	C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
7	7	7	7a	20	20	1.0	1/2	1/2	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	8	8a	21	21	1.0	0	0	3/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
8	8	8	8a	22	22	0.75	1/4	1/4	3/4	4	1		V7(6)	C	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
8	8	8	8a	91/4	91/4	0.25	7/16	7/16	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	8	8a	23	23	1.0	1/2	1/2	3/4	4	1		I\\	C	I		I		I						\\	M	0	0	0, 4, 1		0	0
9	9	9	9a	24	24	2.0	0	0	3/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
9	9	9	9a	26	26	1.0	1/2	1/2	3/4	4	1		V43	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	10	10a	27	27	1.0	0	0	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	10	10a	28	28	1.0	1/4	1/4	3/4	4	1		#viio7/vi	C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
10	10	10	10a	29	29	1.0	1/2	1/2	3/4	4	1		vi	C	I		vi		vi							m	0	0	3, 0, 4		3	3
11	11	11	11a	30	30	1.0	0	0	3/4	4	1		ii65	C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	11	11	11a	31	31	2.0	1/4	1/4	3/4	4	1		V65/V	C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
12	12	12	12a	33	33	0.5	0	0	3/4	4	1		V(9)	C	I		V(9)		V			9				M	0	0	1, 5, 2	3	1	1
12	12	12	12a	67/2	67/2	0.5	1/8	1/8	3/4	4	1		V	C	I		V		V							M	0	0	1, 5, 2		1	1
12	12	12	12a	34	34	1.0	1/4	1/4	3/4	4	1		V7/V	C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
12	12	12	12a	35	35	1.0	1/2	1/2	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	13	13a	36	36	2.0	0	0	3/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
13	13	13	13a	38	38	1.0	1/2	1/2	3/4	4	1		V43	C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	14	14a	39	39	1.0	0	0	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	14	14a	40	40	1.0	1/4	1/4	3/4	4	1		#viio7/vi	C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
14	14	14	14a	41	41	1.0	1/2	1/2	3/4	4	1		vi	C	I		vi		vi							m	0	0	3, 0, 4		3	3
15	15	15	15a	42	42	1.0	0	0	3/4	4	1		ii65	C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	15	15	15a	43	43	1.0	1/4	1/4	3/4	4	1		V65/V	C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
15	15	15	15a	44	44	1.0	1/2	1/2	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	16	16a	45	45	1.0	0	0	3/4	4	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
16	16	16	16a	46	46	0.75	1/4	1/4	3/4	4	1		V7(6)	C	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
16	16	16	16a	187/4	187/4	0.25	7/16	7/16	3/4	4	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
