mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	6.0	0	0	3/8	4	1	Bb.I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
5	5	5	5a	6	6	1.5	0	0	3/8	4	1	V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
6	6	6	6a	15/2	15/2	1.5	0	0	3/8	4	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
7	7	7	7a	9	9	1.5	0	0	3/8	4	1	V7/V	Bb	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
8	8	8	8a	21/2	21/2	1.5	0	0	3/8	4	1	V\\	Bb	I		V	V						\\	M	0	0	1, 5, 2		1	1
9	9	9	9a	12	12	6.0	0	0	3/8	4	1	bVII.I	Bb	bVII		I	I							M	0	0	0, 4, 1		0	0
13	13	13	13a	18	18	1.5	0	0	3/8	4	1	V	Bb	bVII		V	V							M	0	0	1, 5, 2		1	1
14	14	14	14a	39/2	39/2	1.5	0	0	3/8	4	1	I	Bb	bVII		I	I							M	0	0	0, 4, 1		0	0
15	15	15	15a	21	21	1.5	0	0	3/8	4	1	V7/V	Bb	bVII		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
16	16	16	16a	45/2	45/2	1.5	0	0	3/8	4	1	V\\	Bb	bVII		V	V						\\	M	0	0	1, 5, 2		1	1
17	17	17	17a	24	24	6.0	0	0	3/8	4	1	bII.I	Bb	bII		I	I							M	0	0	0, 4, 1		0	0
21	21	21	21a	30	30	3.0	0	0	3/8	4	1	I.V43	Bb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
23	23	23	23a	33	33	0.5	0	0	3/8	4	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
23	23	23	23a	67/2	67/2	0.5	1/8	1/8	3/8	4	1	V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	23	23	23a	34	34	0.5	1/4	1/4	3/8	4	1	vi	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
24	24	24	24a	69/2	69/2	0.5	0	0	3/8	4	1	ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
24	24	24	24a	35	35	0.5	1/8	1/8	3/8	4	1	V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
24	24	24	24a	71/2	71/2	0.5	1/4	1/4	3/8	4	1	V2	Bb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	25	25a	36	36	0.5	0	0	3/8	4	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
