mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	1.5	0	0	9/8	4	1	d.i		d	i		i		i							m	1	1	0, -3, 1		0	0
1	1	1	1a	3/2	3/2	1.5	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
1	1	1	1a	3	3	1.5	3/4	3/4	9/8	4	1	#viio6		d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	2	2a	9/2	9/2	1.5	0	0	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
2	2	2	2a	6	6	1.5	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	2	2a	15/2	15/2	1.5	3/4	3/4	9/8	4	1	V43		d	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	3	3a	9	9	1.5	0	0	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
3	3	3	3a	21/2	21/2	1.5	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	3	3a	12	12	1.5	3/4	3/4	9/8	4	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
4	4	4	4a	27/2	27/2	3.0	0	0	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
4	4	4	4a	33/2	33/2	1.5	3/4	3/4	9/8	4	1	VI6		d	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
5	5	5	5a	18	18	1.5	0	0	9/8	4	1	#viio65(2)		d	i		#viio65(2)		#vii	o	65	2				o7	1	1	2, -1, -4, 0		5	2
5	5	5	5a	39/2	39/2	7.5	3/8	3/8	9/8	4	1	#viio65		d	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
7	7	7	7a	27	27	1.5	0	0	9/8	4	1	i6(2)		d	i		i6(2)		i		6	2				m	1	1	-3, 1, 2		0	-3
7	7	7	7a	57/2	57/2	2.0	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	7	7a	61/2	61/2	0.5	7/8	7/8	9/8	4	1	#viio6		d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
7	7	7	7a	31	31	0.5	1	1	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
8	8	8	8a	63/2	63/2	1.5	0	0	9/8	4	1	ii%65(2)		d	i		ii%65(2)		ii	%	65	2				%7	1	1	-1, -4, 0, -3		2	-1
8	8	8	8a	33	33	1.5	3/8	3/8	9/8	4	1	ii%65		d	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
8	8	8	8a	69/2	69/2	1.5	3/4	3/4	9/8	4	1	V65/V		d	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
9	9	9	9a	36	36	2.0	0	0	9/8	4	1	V\\		d	i		V		V						\\	M	1	1	1, 5, 2		1	1
9	9	9	9a	38	38	1.0	1/2	1/2	9/8	4	1	V65		d	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
9	9	9	9a	39	39	0.5	3/4	3/4	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
9	9	9	9a	79/2	79/2	0.5	7/8	7/8	9/8	4	1	iio6		d	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
9	9	9	9a	40	40	0.5	1	1	9/8	4	1	viio/V		d	i		viio/V		vii	o			V			o	1	1	6, 3, 0		6	6
10	10	10	10a	81/2	81/2	1.5	0	0	9/8	4	1	V\\		d	i		V		V						\\	M	1	1	1, 5, 2		1	1
10	10	10	10a	42	42	1.5	3/8	3/8	9/8	4	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
10	10	10	10a	87/2	87/2	0.5	3/4	3/4	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
10	10	10	10a	44	44	0.5	7/8	7/8	9/8	4	1	iio6		d	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
10	10	10	10a	89/2	89/2	0.5	1	1	9/8	4	1	viio/V		d	i		viio/V		vii	o			V			o	1	1	6, 3, 0		6	6
11	11	11	11a	45	45	3.0	0	0	9/8	4	1	V[V		d	i	V	V		V							M	1	1	1, 5, 2		1	1
11	11	11	11a	48	48	1.5	3/4	3/4	9/8	4	1	VI6		d	i	V	VI6		VI		6					M	1	1	0, -3, -4		-4	0
12	12	12	12a	99/2	99/2	3.0	0	0	9/8	4	1	V6]		d	i	V	V6		V		6					M	1	1	5, 2, 1		1	5
12	12	12	12a	105/2	105/2	1.5	3/4	3/4	9/8	4	1	VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
13	13	13	13a	54	54	4.5	0	0	9/8	4	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
14	14	14	14a	117/2	117/2	1.5	0	0	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
14	14	14	14a	60	60	1.5	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
14	14	14	14a	123/2	123/2	1.5	3/4	3/4	9/8	4	1	V43		d	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
15	15	15	15a	63	63	1.5	0	0	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
15	15	15	15a	129/2	129/2	1.5	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
15	15	15	15a	66	66	1.5	3/4	3/4	9/8	4	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	16	16	16a	135/2	135/2	1.0	0	0	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
16	16	16	16a	137/2	137/2	2.0	1/4	1/4	9/8	4	1	VI6		d	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
16	16	16	16a	141/2	141/2	1.5	3/4	3/4	9/8	4	1	III.Ger6		d	III		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
17	17	17	17a	72	72	1.5	0	0	9/8	4	1	V7(4)		d	III		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
17	17	17	17a	147/2	147/2	3.0	3/8	3/8	9/8	4	1	V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
18	18	18	18a	153/2	153/2	1.5	0	0	9/8	4	1	v%43		d	III		v%43		v	%	43					%7	1	0	-5, -1, 1, -2		1	-5
18	18	18	18a	78	78	3.0	3/8	3/8	9/8	4	1	V7/IV		d	III		V7/IV		V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
19	19	19	19a	81	81	1.5	0	0	9/8	4	1	V7(4)/bVII		d	III		V7(4)/bVII		V		7	4	bVII			Mm7	1	0	-1, -2, 0, -3		-1	-1
19	19	19	19a	165/2	165/2	1.5	3/8	3/8	9/8	4	1	V7/bVII		d	III		V7/bVII		V		7		bVII			Mm7	1	0	-1, 3, 0, -3		-1	-1
19	19	19	19a	84	84	1.5	3/4	3/4	9/8	4	1	viio7/V		d	III		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
20	20	20	20a	171/2	171/2	4.5	0	0	9/8	4	1	V\\		d	III		V		V						\\	M	1	0	1, 5, 2		1	1
21	21	21	21a	90	90	3.5	0	0	9/8	4	1	iv6		d	III		iv6		iv		6					m	1	0	-4, 0, -1		-1	-4
21	21	21	21a	187/2	187/2	1.0	7/8	7/8	9/8	4	1	Ger6		d	III		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
22	22	22	22a	189/2	189/2	4.5	0	0	9/8	4	1	V		d	III		V		V							M	1	0	1, 5, 2		1	1
23	23	23	23a	99	99	4.5	0	0	9/8	4	1	V2		d	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
24	24	24	24a	207/2	207/2	4.5	0	0	9/8	4	1	I6		d	III		I6		I		6					M	1	0	4, 1, 0		0	4
25	25	25	25a	108	108	3.0	0	0	9/8	4	1	V65		d	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
25	25	25	25a	111	111	1.5	3/4	3/4	9/8	4	1	V7		d	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
26	26	26	26a	225/2	225/2	1.5	0	0	9/8	4	1	I		d	III		I		I							M	1	0	0, 4, 1		0	0
