mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	3/4	4	1		e.i	e	i		i	i							m	1	1	0, -3, 1		0	0
2	2	2	2a	3	3	3.0	0	0	3/4	4	1		V	e	i		V	V							M	1	1	1, 5, 2		1	1
3	3	3	3a	6	6	3.0	0	0	3/4	4	1		V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	4	4a	9	9	2.0	0	0	3/4	4	1		i(94)	e	i		i(94)	i			94				m	1	1	0, -1, 1	2	0	0
4	4	4	4a	11	11	4.0	1/2	1/2	3/4	4	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
6	6	6	6a	15	15	3.0	0	0	3/4	4	1		viio/VII	e	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
7	7	7	7a	18	18	3.0	0	0	3/4	4	1		V7/VII	e	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
8	8	8	8a	21	21	1.0	0	0	3/4	4	1	1	VII(#7)	e	i		VII(#7)	VII			#7				M	1	1	-2, 2, -1	3	-2	-2
8	8	8	8a	22	22	1.0	1/4	1/4	3/4	4	1	1	VII	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
8	8	8	8a	23	23	1.0	1/2	1/2	3/4	4	1	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	9	9a	24	24	3.0	0	0	3/4	4	1	1	i\\	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
2	2	10	2b	27	3	3.0	0	0	3/4	4	1		V	e	i		V	V							M	1	1	1, 5, 2		1	1
3	3	11	3b	30	6	3.0	0	0	3/4	4	1		V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	12	4b	33	9	2.0	0	0	3/4	4	1		i(94)	e	i		i(94)	i			94				m	1	1	0, -1, 1	2	0	0
4	4	12	4b	35	11	4.0	1/2	1/2	3/4	4	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
6	6	14	6b	39	15	3.0	0	0	3/4	4	1		viio/VII	e	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
7	7	15	7b	42	18	3.0	0	0	3/4	4	1		V7/VII	e	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
8	8	16	8b	45	21	1.0	0	0	3/4	4	1	1	VII(#7)	e	i		VII(#7)	VII			#7				M	1	1	-2, 2, -1	3	-2	-2
8	8	16	8b	46	22	1.0	1/4	1/4	3/4	4	1	1	VII	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
8	8	16	8b	47	23	1.0	1/2	1/2	3/4	4	1	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	17	9b	48	24	3.0	0	0	3/4	4	1	1	i\\	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
10	8	18	8c	51	27	1.0	0	0	3/4	4	1	1	VII(#7)	e	i		VII(#7)	VII			#7				M	1	1	-2, 2, -1	3	-2	-2
10	8	18	8c	52	28	2.0	1/4	1/4	3/4	4	1	1	VII	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
11	9	19	9c	54	30	1.0	0	0	3/4	4	1	1	VII6	e	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
11	9	19	9c	55	31	2.0	1/4	1/4	3/4	4	1	1	III.viio7	e	III		viio7	vii	o	7					o7	1	0	5, 2, -1, -4		5	5
12	10	20	10a	57	33	1.0	0	0	3/4	4	1		I(4)	e	III		I(4)	I			4				M	1	0	0, -1, 1		0	0
12	10	20	10a	58	34	1.0	1/4	1/4	3/4	4	1		I(#2)	e	III		I(#2)	I			#2				M	1	0	0, 9, 1		0	0
12	10	20	10a	59	35	1.0	1/2	1/2	3/4	4	1		I	e	III		I	I							M	1	0	0, 4, 1		0	0
13	11	21	11a	60	36	3.0	0	0	3/4	4	1		#viio7/ii	e	III		#viio7/ii	#vii	o	7		ii			o7	1	0	7, 4, 1, -2		7	7
14	12	22	12a	63	39	2.0	0	0	3/4	4	1		ii(94)	e	III		ii(94)	ii			94				m	1	0	2, 1, 3	4	2	2
14	12	22	12a	65	41	4.0	1/2	1/2	3/4	4	1		ii	e	III		ii	ii							m	1	0	2, -1, 3		2	2
16	14	24	14a	69	45	3.0	0	0	3/4	4	1		V6/ii	e	III		V6/ii	V		6		ii			M	1	0	7, 4, 3		3	7
