mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	4.0	0	1/2	3/4	4	1	C.I		C	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	2a	4	4	1.0	0	0	3/4	4	1	V43(4)		C	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
3	2	3	2a	5	5	1.0	1/4	1/4	3/4	4	1	V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	2	3	2a	6	6	1.0	1/2	1/2	3/4	4	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
4	3	4	3a	7	7	1.0	0	0	3/4	4	1	V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
4	3	4	3a	8	8	2.0	1/4	1/4	3/4	4	1	V\\		C	I		V		V						\\	M	0	0	1, 5, 2		1	1
5	4	5	4a	10	10	2.0	0	0	3/4	4	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	5	4a	12	12	0.5	1/2	1/2	3/4	4	1	#viio7/vi		C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
5	4	5	4a	25/2	25/2	0.5	5/8	5/8	3/4	4	1	vi		C	I		vi		vi							m	0	0	3, 0, 4		3	3
6	5	6	5a	13	13	1.0	0	0	3/4	4	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	5	6	5a	14	14	1.0	1/4	1/4	3/4	4	1	ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
6	5	6	5a	15	15	0.25	1/2	1/2	3/4	4	1	V7(9)		C	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
6	5	6	5a	61/4	61/4	0.75	9/16	9/16	3/4	4	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	7	6a	16	16	1.0	0	0	3/4	4	1	I(4+2)		C	I		I(4+2)		I			4+2				M	0	0	0, -1, 1	2	0	0
7	6	7	6a	17	17	2.0	1/4	1/4	3/4	4	1	I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
8	7	8	7a	19	19	3.5	0	0	3/4	4	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
9	8	9	8a	45/2	45/2	0.5	1/8	1/8	3/4	4	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	8	9	8a	23	23	1.0	1/4	1/4	3/4	4	1	V		C	I		V		V							M	0	0	1, 5, 2		1	1
9	8	9	8a	24	24	4.5	1/2	1/2	3/4	4	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
11	10	11	10a	57/2	57/2	0.5	1/8	1/8	3/4	4	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	10	11	10a	29	29	2.0	1/4	1/4	3/4	4	1	V		C	I		V		V							M	0	0	1, 5, 2		1	1
12	11	12	11a	31	31	1.0	0	0	3/4	4	1	V2/V		C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
12	11	12	11a	32	32	2.0	1/4	1/4	3/4	4	1	V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
13	12	13	12a	34	34	1.0	0	0	3/4	4	1	V.V2		C	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	12	13	12a	35	35	2.0	1/4	1/4	3/4	4	1	I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
14	13	14	13a	37	37	0.5	0	0	3/4	4	1	IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	13	14	13a	75/2	75/2	0.25	1/8	1/8	3/4	4	1	ii6		C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
14	13	14	13a	151/4	151/4	0.25	3/16	3/16	3/4	4	1	viio7/V		C	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
14	13	14	13a	38	38	1.0	1/4	1/4	3/4	4	1	V(64+2)		C	V		V(64+2)		V			64+2				M	0	0	1, 0, 4	3	1	1
14	13	14	13a	39	39	0.875	1/2	1/2	3/4	4	1	V7(4)		C	V		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
14	13	14	13a	319/8	319/8	0.125	23/32	23/32	3/4	4	1	V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	14	15	14a	40	40	1.0	0	0	3/4	4	1	I(4+2)		C	V		I(4+2)		I			4+2				M	0	0	0, -1, 1	2	0	0
15	14	15	14a	41	41	1.0	1/4	1/4	3/4	4	1	I\\		C	V		I		I						\\	M	0	0	0, 4, 1		0	0
15	14	15	14a	42	42	1.0	1/2	1/2	3/4	4	1	I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
16	15	16	15a	43	43	1.5	0	0	3/4	4	1	I.V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
16	15	16	15a	89/2	89/2	0.5	3/8	3/8	3/4	4	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	15	16	15a	45	45	0.5	1/2	1/2	3/4	4	1	V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	15	16	15a	91/2	91/2	0.5	5/8	5/8	3/4	4	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
17	16	17	16a	46	46	1.0	0	0	3/4	4	1	V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
17	16	17	16a	47	47	0.5	1/4	1/4	3/4	4	1	V\\		C	I		V		V						\\	M	0	0	1, 5, 2		1	1
17	16	17	16a	95/2	95/2	1.5	3/8	3/8	3/4	4	1	V		C	I		V		V							M	0	0	1, 5, 2		1	1
18	17	18	17a	49	49	1.5	0	0	3/4	4	1	V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	17	18	17a	101/2	101/2	0.5	3/8	3/8	3/4	4	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	17	18	17a	51	51	0.5	1/2	1/2	3/4	4	1	V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	17	18	17a	103/2	103/2	0.5	5/8	5/8	3/4	4	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
19	18	19	18a	52	52	3.0	0	0	3/4	4	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	19	20	19a	55	55	6.0	0	0	3/4	4	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
22	21	22	21a	61	61	1.0	0	0	3/4	4	1	IV6		C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
22	21	22	21a	62	62	1.0	1/4	1/4	3/4	4	1	ii43		C	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
22	21	22	21a	63	63	1.0	1/2	1/2	3/4	4	1	Ger6		C	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
