mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	3.0	0	1/2	3/4	4	1		F.I		F	I		I	I							M	0	0	0, 4, 1		0	0
2	1	2	1a	3	3	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	3	2a	4	4	1.0	0	0	3/4	4	1		V2(6)		F	I		V2(6)	V		2	6				Mm7	0	0	-1, 1, 5, 4		1	-1
3	2	3	2a	5	5	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	2	3	2a	6	6	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
4	3	4	3a	7	7	1.0	0	0	3/4	4	1		vi7(4)		F	I		vi7(4)	vi		7	4				mm7	0	0	3, 2, 4, 1		3	3
4	3	4	3a	8	8	1.0	1/4	1/4	3/4	4	1		vi7		F	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
4	3	4	3a	9	9	1.0	1/2	1/2	3/4	4	1		I64		F	I		I64	I		64					M	0	0	1, 0, 4		0	1
5	4	5	4a	10	10	1.0	0	0	3/4	4	1		V2(+4)		F	I		V2(+4)	V		2	+4				Mm7	0	0	-1, 1, 5, 2	0	1	-1
5	4	5	4a	11	11	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	4	5	4a	12	12	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
6	5	6	5a	13	13	1.0	0	0	3/4	4	1		I(+2)		F	I		I(+2)	I			+2				M	0	0	0, 4, 1	2	0	0
