mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	1.0	0	1/4	2/4	4	1		Eb.I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	2	1a	1	1	1.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	2	1a	2	2	2.0	1/4	1/4	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	2	3	2a	4	4	2.0	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	3	4	3a	6	6	1.0	1/4	1/4	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	4	5	4a	7	7	1.0	0	0	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	5	4a	8	8	1.0	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	5	6	5a	9	9	1.0	0	0	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
6	5	6	5a	10	10	2.0	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	7	6a	12	12	0.75	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	7	6a	51/4	51/4	0.25	7/16	7/16	2/4	4	1		#viio6/vi		Eb	I		#viio6/vi		#vii	o	6		vi			o	0	0	5, 2, 8		8	5
8	7	8	7a	13	13	0.5	0	0	2/4	4	1		vi.i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
8	7	8	7a	27/2	27/2	0.5	1/8	1/8	2/4	4	1		v6		Eb	vi		v6		v		6					m	0	1	-2, 2, 1		1	-2
8	7	8	7a	14	14	0.5	1/4	1/4	2/4	4	1		VI		Eb	vi		VI		VI							M	0	1	-4, 0, -3		-4	-4
8	7	8	7a	29/2	29/2	0.5	3/8	3/8	2/4	4	1		iv6		Eb	vi		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
9	8	9	8a	15	15	1.0	0	0	2/4	4	1		V\\		Eb	vi		V		V						\\	M	0	1	1, 5, 2		1	1
1	0	10	8a	16	0	1.0	0	1/4	2/4	4	1		Eb.I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	11	1b	17	1	1.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	11	1b	18	2	2.0	1/4	1/4	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	2	12	2b	20	4	2.0	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	3	13	3b	22	6	1.0	1/4	1/4	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	4	14	4b	23	7	1.0	0	0	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	14	4b	24	8	1.0	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	5	15	5b	25	9	1.0	0	0	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
6	5	15	5b	26	10	2.0	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	16	6b	28	12	0.75	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	16	6b	115/4	51/4	0.25	7/16	7/16	2/4	4	1		#viio6/vi		Eb	I		#viio6/vi		#vii	o	6		vi			o	0	0	5, 2, 8		8	5
8	7	17	7b	29	13	0.5	0	0	2/4	4	1		vi.i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
8	7	17	7b	59/2	27/2	0.5	1/8	1/8	2/4	4	1		v6		Eb	vi		v6		v		6					m	0	1	-2, 2, 1		1	-2
8	7	17	7b	30	14	0.5	1/4	1/4	2/4	4	1		VI		Eb	vi		VI		VI							M	0	1	-4, 0, -3		-4	-4
8	7	17	7b	61/2	29/2	0.5	3/8	3/8	2/4	4	1		iv6		Eb	vi		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
9	8	18	8b	31	15	1.0	0	0	2/4	4	1		V\\		Eb	vi		V		V						\\	M	0	1	1, 5, 2		1	1
10	8	19	8b	32	16	1.0	0	1/4	2/4	4	1		I.V7/vi		Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
11	9	20	9a	33	17	1.0	0	0	2/4	4	1		V7/ii		Eb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
11	9	20	9a	34	18	1.0	1/4	1/4	2/4	4	1		V7/V		Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
12	10	21	10a	35	19	1.0	0	0	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	10	21	10a	36	20	1.0	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
13	11	22	11a	37	21	1.0	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii			Ger	0	0	0, 4, 1, 10		10	0
13	11	22	11a	38	22	2.0	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii			M	0	0	5, 9, 6		5	5
14	12	23	12a	40	24	0.75	1/4	1/4	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	12	23	12a	163/4	99/4	0.25	7/16	7/16	2/4	4	1		vi64		Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
15	13	24	13a	41	25	1.0	0	0	2/4	4	1		V2		Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	13	24	13a	42	26	0.75	1/4	1/4	2/4	4	1		V64		Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
15	13	24	13a	171/4	107/4	0.25	7/16	7/16	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
16	14	25	14a	43	27	1.0	0	0	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	14	25	14a	44	28	0.75	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
16	14	25	14a	179/4	115/4	0.25	7/16	7/16	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
17	15	26	15a	45	29	1.0	0	0	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	15	26	15a	46	30	0.75	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	15	26	15a	187/4	123/4	0.25	7/16	7/16	2/4	4	1		vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
18	16	27	16a	47	31	1.0	0	0	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	16	27	16a	48	32	0.75	1/4	1/4	2/4	4	1		vi7		Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
18	16	27	16a	195/4	131/4	0.25	7/16	7/16	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	17	28	17a	49	33	1.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
19	17	28	17a	50	34	0.75	1/4	1/4	2/4	4	1		ii7		Eb	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
19	17	28	17a	203/4	139/4	0.25	7/16	7/16	2/4	4	1		iii		Eb	I		iii		iii							m	0	0	4, 1, 5		4	4
20	18	29	18a	51	35	1.0	0	0	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
20	18	29	18a	52	36	0.75	1/4	1/4	2/4	4	1		vii%7		Eb	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
20	18	29	18a	211/4	147/4	0.25	7/16	7/16	2/4	4	1		#viio/ii		Eb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
21	19	30	19a	53	37	0.5	0	0	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
21	19	30	19a	107/2	75/2	0.5	1/8	1/8	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
21	19	30	19a	54	38	0.5	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
21	19	30	19a	109/2	77/2	0.5	3/8	3/8	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	20	31	20a	55	39	1.0	0	0	2/4	4	1		I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
10	8	32	20a	56	16	1.0	0	1/4	2/4	4	1		I.V7/vi		Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
11	9	33	9b	57	17	1.0	0	0	2/4	4	1		V7/ii		Eb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
11	9	33	9b	58	18	1.0	1/4	1/4	2/4	4	1		V7/V		Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
12	10	34	10b	59	19	1.0	0	0	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	10	34	10b	60	20	1.0	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
13	11	35	11b	61	21	1.0	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii			Ger	0	0	0, 4, 1, 10		10	0
13	11	35	11b	62	22	2.0	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii			M	0	0	5, 9, 6		5	5
14	12	36	12b	64	24	0.75	1/4	1/4	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	12	36	12b	259/4	99/4	0.25	7/16	7/16	2/4	4	1		vi64		Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
15	13	37	13b	65	25	1.0	0	0	2/4	4	1		V2		Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	13	37	13b	66	26	0.75	1/4	1/4	2/4	4	1		V64		Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
15	13	37	13b	267/4	107/4	0.25	7/16	7/16	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
16	14	38	14b	67	27	1.0	0	0	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	14	38	14b	68	28	0.75	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
16	14	38	14b	275/4	115/4	0.25	7/16	7/16	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
17	15	39	15b	69	29	1.0	0	0	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	15	39	15b	70	30	0.75	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	15	39	15b	283/4	123/4	0.25	7/16	7/16	2/4	4	1		vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
18	16	40	16b	71	31	1.0	0	0	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	16	40	16b	72	32	0.75	1/4	1/4	2/4	4	1		vi7		Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
18	16	40	16b	291/4	131/4	0.25	7/16	7/16	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	17	41	17b	73	33	1.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
19	17	41	17b	74	34	0.75	1/4	1/4	2/4	4	1		ii7		Eb	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
19	17	41	17b	299/4	139/4	0.25	7/16	7/16	2/4	4	1		iii		Eb	I		iii		iii							m	0	0	4, 1, 5		4	4
20	18	42	18b	75	35	1.0	0	0	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
20	18	42	18b	76	36	0.75	1/4	1/4	2/4	4	1		vii%7		Eb	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
20	18	42	18b	307/4	147/4	0.25	7/16	7/16	2/4	4	1		#viio/ii		Eb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
21	19	43	19b	77	37	0.5	0	0	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
21	19	43	19b	155/2	75/2	0.5	1/8	1/8	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
21	19	43	19b	78	38	0.5	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
21	19	43	19b	157/2	77/2	0.5	3/8	3/8	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	20	44	20b	79	39	1.0	0	0	2/4	4	1		I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
23	20	45	20b	80	40	3.0	0	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
25	22	47	22a	83	43	2.0	0	0	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	23	48	23a	85	45	2.0	0	0	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
27	24	49	24a	87	47	3.5	0	0	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
28	25	50	25a	181/2	101/2	0.5	3/8	3/8	2/4	4	1		#viio6/iii		Eb	I		#viio6/iii		#vii	o	6		iii			o	0	0	6, 3, 9		9	6
29	26	51	26a	91	51	1.5	0	0	2/4	4	1		iii		Eb	I		iii		iii							m	0	0	4, 1, 5		4	4
29	26	51	26a	185/2	105/2	0.5	3/8	3/8	2/4	4	1		V43/vi		Eb	I		V43/vi		V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
30	27	52	27a	93	53	1.0	0	0	2/4	4	1		vi.i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
30	27	52	27a	94	54	0.5	1/4	1/4	2/4	4	1		IV6		Eb	vi		IV6		IV		6					M	0	1	3, 0, -1		-1	3
30	27	52	27a	189/2	109/2	0.5	3/8	3/8	2/4	4	1		Ger6		Eb	vi		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
31	28	53	28a	95	55	1.0	0	0	2/4	4	1		V\\		Eb	vi		V		V						\\	M	0	1	1, 5, 2		1	1
23	20	54	28a	96	40	3.0	0	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
25	22	56	22b	99	43	2.0	0	0	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	23	57	23b	101	45	2.0	0	0	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
