mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	2/2	4	1	Eb.I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
1	1	1	1a	2	2	5.0	1/2	1/2	2/2	4	1	viio		Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
2	2	2	2a	7	7	4.0	3/4	3/4	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3	3a	11	11	2.0	3/4	3/4	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
4	4	4	4a	13	13	2.0	1/4	1/4	2/2	4	1	ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	4	4	4a	15	15	1.0	3/4	3/4	2/2	4	1	V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
5	5	5	5a	16	16	2.0	0	0	2/2	4	1	I[I		Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
5	5	5	5a	18	18	2.0	1/2	1/2	2/2	4	1	V43		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	6	6a	20	20	2.0	0	0	2/2	4	1	I		Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
6	6	6	6a	22	22	2.0	1/2	1/2	2/2	4	1	V43		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	7	7	7a	24	24	2.0	0	0	2/2	4	1	I		Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
7	7	7	7a	26	26	2.0	1/2	1/2	2/2	4	1	V43(+#4)		Eb	I	I	V43(+#4)		V		43	+#4				Mm7	0	0	2, -1, 1, 5	7	1	2
8	8	8	8a	28	28	3.0	0	0	2/2	4	1	V43		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	8	8a	31	31	1.0	3/4	3/4	2/2	4	1	V43]		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
9	9	9	9a	32	32	2.0	0	0	2/2	4	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	9	9a	34	34	2.0	1/2	1/2	2/2	4	1	V2		Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	10	10	10a	36	36	2.0	0	0	2/2	4	1	vi43		Eb	I		vi43		vi		43					mm7	0	0	4, 1, 3, 0		3	4
10	10	10	10a	38	38	2.0	1/2	1/2	2/2	4	1	viio6		Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
11	11	11	11a	40	40	1.0	0	0	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
11	11	11	11a	41	41	1.0	1/4	1/4	2/2	4	1	vi7		Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
11	11	11	11a	42	42	1.0	1/2	1/2	2/2	4	1	V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	11	11a	43	43	1.0	3/4	3/4	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
12	12	12	12a	44	44	1.0	0	0	2/2	4	1	I64		Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
12	12	12	12a	45	45	1.0	1/4	1/4	2/2	4	1	V65/V		Eb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
12	12	12	12a	46	46	1.0	1/2	1/2	2/2	4	1	V\\		Eb	I		V		V						\\	M	0	0	1, 5, 2		1	1
12	12	12	12a	47	47	1.0	3/4	3/4	2/2	4	1	viio		Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
13	13	13	13a	48	48	2.0	0	0	2/2	4	1	I[I		Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
13	13	13	13a	50	50	2.0	1/2	1/2	2/2	4	1	V43		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	14	14a	52	52	2.0	0	0	2/2	4	1	I		Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
14	14	14	14a	54	54	2.0	1/2	1/2	2/2	4	1	V43		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	15	15	15a	56	56	2.0	0	0	2/2	4	1	I		Eb	I	I	I		I							M	0	0	0, 4, 1		0	0
15	15	15	15a	58	58	2.0	1/2	1/2	2/2	4	1	V43(+#4)		Eb	I	I	V43(+#4)		V		43	+#4				Mm7	0	0	2, -1, 1, 5	7	1	2
16	16	16	16a	60	60	2.0	0	0	2/2	4	1	V64		Eb	I	I	V64		V		64					M	0	0	2, 1, 5		1	2
16	16	16	16a	62	62	1.0	1/2	1/2	2/2	4	1	V43		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
16	16	16	16a	63	63	1.0	3/4	3/4	2/2	4	1	V43]		Eb	I	I	V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	17	17a	64	64	2.0	0	0	2/2	4	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
17	17	17	17a	66	66	2.0	1/2	1/2	2/2	4	1	V2		Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
18	18	18	18a	68	68	2.0	0	0	2/2	4	1	vi43		Eb	I		vi43		vi		43					mm7	0	0	4, 1, 3, 0		3	4
18	18	18	18a	70	70	2.0	1/2	1/2	2/2	4	1	viio6		Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
19	19	19	19a	72	72	1.0	0	0	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
19	19	19	19a	73	73	1.0	1/4	1/4	2/2	4	1	V2/IV		Eb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
19	19	19	19a	74	74	1.0	1/2	1/2	2/2	4	1	IV6		Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
19	19	19	19a	75	75	1.0	3/4	3/4	2/2	4	1	V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
20	20	20	20a	76	76	1.0	0	0	2/2	4	1	I(9+74)		Eb	I		I(9+74)		I			9+74				M	0	0	0, -1, 1	2, 5	0	0
20	20	20	20a	77	77	1.0	1/4	1/4	2/2	4	1	I64		Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
20	20	20	20a	78	78	2.0	1/2	1/2	2/2	4	1	I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
21	21	21	21a	80	80	4.0	0	0	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
22	22	22	22a	84	84	1.0	0	0	2/2	4	1	vi7		Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
22	22	22	22a	85	85	1.0	1/4	1/4	2/2	4	1	viio		Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
22	22	22	22a	86	86	1.0	1/2	1/2	2/2	4	1	I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
22	22	22	22a	87	87	1.0	3/4	3/4	2/2	4	1	vi6		Eb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
23	23	23	23a	88	88	2.0	0	0	2/2	4	1	V7/V		Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
23	23	23	23a	90	90	1.0	1/2	1/2	2/2	4	1	V(64)/V		Eb	I		V(64)/V		V			64	V			M	0	0	2, 1, 5		2	2
23	23	23	23a	91	91	2.0	3/4	3/4	2/2	4	1	V7/V		Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
24	24	24	24a	93	93	1.0	1/4	1/4	2/2	4	1	V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
24	24	24	24a	94	94	2.0	1/2	1/2	2/2	4	1	V\\		Eb	I		V		V						\\	M	0	0	1, 5, 2		1	1
25	25	25	25a	96	96	3.0	0	0	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
25	25	25	25a	99	99	1.0	3/4	3/4	2/2	4	1	I64		Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
26	26	26	26a	100	100	1.0	0	0	2/2	4	1	IV6(9)		Eb	I		IV6(9)		IV		6	9				M	0	0	3, 0, -1	1	-1	3
26	26	26	26a	101	101	1.0	1/4	1/4	2/2	4	1	V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
26	26	26	26a	102	102	1.0	1/2	1/2	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
26	26	26	26a	103	103	4.0	3/4	3/4	2/2	4	1	IV6		Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
27	27	27	27a	107	107	1.0	3/4	3/4	2/2	4	1	viio		Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
28	28	28	28a	108	108	1.0	0	0	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
28	28	28	28a	109	109	1.0	1/4	1/4	2/2	4	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	28	28	28a	110	110	1.0	1/2	1/2	2/2	4	1	I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
28	28	28	28a	111	111	1.0	3/4	3/4	2/2	4	1	I64		Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
29	29	29	29a	112	112	3.0	0	0	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
29	29	29	29a	115	115	1.0	3/4	3/4	2/2	4	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
30	30	30	30a	116	116	1.0	0	0	2/2	4	1	I64		Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
30	30	30	30a	117	117	1.0	1/4	1/4	2/2	4	1	viio64		Eb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
30	30	30	30a	118	118	1.0	1/2	1/2	2/2	4	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
30	30	30	30a	119	119	2.0	3/4	3/4	2/2	4	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
31	31	31	31a	121	121	1.0	1/4	1/4	2/2	4	1	IV6		Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
31	31	31	31a	122	122	1.0	1/2	1/2	2/2	4	1	vi2		Eb	I		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
31	31	31	31a	123	123	1.0	3/4	3/4	2/2	4	1	viio64		Eb	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
32	32	32	32a	124	124	1.0	0	0	2/2	4	1	vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
32	32	32	32a	125	125	1.0	1/4	1/4	2/2	4	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	32	32	32a	126	126	1.0	1/2	1/2	2/2	4	1	V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
