mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	1.5	0	5/8	2/2	4	1		A.V	A	I		V	V							M	0	0	1, 5, 2		1	1
2	1	2	1a	3/2	3/2	2.0	0	0	2/2	4	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
2	1	2	1a	7/2	7/2	4.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
3	2	3	2a	15/2	15/2	1.0	1/2	1/2	2/2	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	3	2a	17/2	17/2	1.0	3/4	3/4	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
4	3	4	3a	19/2	19/2	2.0	0	0	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	4	3a	23/2	23/2	2.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
5	4	5	4a	27/2	27/2	2.0	0	0	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	5	4a	31/2	31/2	2.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
6	5	6	5a	35/2	35/2	2.0	0	0	2/2	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
6	5	6	5a	39/2	39/2	2.0	1/2	1/2	2/2	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	6	7	6a	43/2	43/2	4.0	0	0	2/2	4	1		V\\	A	I		V	V						\\	M	0	0	1, 5, 2		1	1
8	7	8	7a	51/2	51/2	8.0	0	0	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	9	10	9a	67/2	67/2	2.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
10	9	10	9a	71/2	71/2	2.0	1/2	1/2	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	10	11	10a	75/2	75/2	2.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
11	10	11	10a	79/2	79/2	2.0	1/2	1/2	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	11	12	11a	83/2	83/2	2.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
12	11	12	11a	87/2	87/2	2.0	1/2	1/2	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	12	13	12a	91/2	91/2	3.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
13	12	13	12a	97/2	97/2	1.0	3/4	3/4	2/2	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	13	14	13a	99/2	99/2	1.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
14	13	14	13a	101/2	101/2	2.0	1/4	1/4	2/2	4	1		viio	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
14	13	14	13a	105/2	105/2	1.0	3/4	3/4	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
15	14	15	14a	107/2	107/2	4.0	0	0	2/2	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
16	15	16	15a	115/2	115/2	4.0	0	0	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	17	16a	123/2	123/2	2.0	0	0	2/2	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
17	16	17	16a	127/2	127/2	2.0	1/2	1/2	2/2	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
18	17	18	17a	131/2	131/2	0.5	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
18	17	18	17a	66	66	1.5	1/8	1/8	2/2	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
18	17	18	17a	135/2	135/2	1.0	1/2	1/2	2/2	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	17	18	17a	137/2	137/2	1.0	3/4	3/4	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
19	18	19	18a	139/2	139/2	2.0	0	0	2/2	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
19	18	19	18a	143/2	143/2	2.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
20	19	20	19a	147/2	147/2	1.0	0	0	2/2	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	19	20	19a	149/2	149/2	1.0	1/4	1/4	2/2	4	1		V6/ii	A	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
20	19	20	19a	151/2	151/2	1.0	1/2	1/2	2/2	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	19	20	19a	153/2	153/2	1.0	3/4	3/4	2/2	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	20	21	20a	155/2	155/2	2.0	0	0	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
21	20	21	20a	159/2	159/2	2.0	1/2	1/2	2/2	4	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
22	21	22	21a	163/2	163/2	2.0	0	0	2/2	4	1		V.I6(2)	A	V		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
22	21	22	21a	167/2	167/2	2.0	1/2	1/2	2/2	4	1		I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
23	22	23	22a	171/2	171/2	2.0	0	0	2/2	4	1		viio65(2)	A	V		viio65(2)	vii	o	65	2				o7	0	0	2, -1, -4, 0		5	2
23	22	23	22a	175/2	175/2	2.0	1/2	1/2	2/2	4	1		viio65	A	V		viio65	vii	o	65					o7	0	0	2, -1, -4, 5		5	2
24	23	24	23a	179/2	179/2	2.0	0	0	2/2	4	1		vi6(2)	A	V		vi6(2)	vi		6	2				m	0	0	0, 4, 5		3	0
24	23	24	23a	183/2	183/2	2.0	1/2	1/2	2/2	4	1		vi6	A	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
25	24	25	24a	187/2	187/2	2.0	0	0	2/2	4	1		V6(2)	A	V		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
25	24	25	24a	191/2	191/2	2.0	1/2	1/2	2/2	4	1		V6	A	V		V6	V		6					M	0	0	5, 2, 1		1	5
26	25	26	25a	195/2	195/2	2.0	0	0	2/2	4	1		viio6(2)	A	V		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
26	25	26	25a	199/2	199/2	2.0	1/2	1/2	2/2	4	1		viio6	A	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
