mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	6/8	4	1		A.I	A	I		I	I							M	0	0	0, 4, 1		0	0
2	2	2	2a	3	3	9.0	0	0	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
5	5	5	5a	12	12	3.0	0	0	6/8	4	1		I[IV	A	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	6	6a	15	15	4.5	0	0	6/8	4	1		V2	A	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	7	7a	39/2	39/2	3.0	3/8	3/8	6/8	4	1		I6	A	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
8	8	8	8a	45/2	45/2	1.5	3/8	3/8	6/8	4	1		viio6/IV	A	I	I	viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
9	9	9	9a	24	24	3.0	0	0	6/8	4	1		IV	A	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	10	10a	27	27	1.5	0	0	6/8	4	1		V2	A	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	10	10	10a	57/2	57/2	1.5	3/8	3/8	6/8	4	1		viio6	A	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
11	11	11	11a	30	30	3.0	0	0	6/8	4	1		I6]	A	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
12	12	12	12a	33	33	3.0	0	0	6/8	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	13	13a	36	36	3.0	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	14	14a	39	39	1.5	0	0	6/8	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	14	14a	81/2	81/2	1.5	3/8	3/8	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
15	15	15	15a	42	42	3.0	0	0	6/8	4	1		I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
16	16	16	16a	45	45	3.0	0	0	6/8	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	17	17a	48	48	1.5	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
17	17	17	17a	99/2	99/2	1.5	3/8	3/8	6/8	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
18	18	18	18a	51	51	1.5	0	0	6/8	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
18	18	18	18a	105/2	105/2	1.5	3/8	3/8	6/8	4	1		iv6	A	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
19	19	19	19a	54	54	1.5	0	0	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
19	19	19	19a	111/2	111/2	1.5	3/8	3/8	6/8	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
20	20	20	20a	57	57	1.5	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	20	20a	117/2	117/2	1.0	3/8	3/8	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
20	20	20	20a	119/2	119/2	0.5	5/8	5/8	6/8	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
21	21	21	21a	60	60	1.5	0	0	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
21	21	21	21a	123/2	123/2	1.5	3/8	3/8	6/8	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	22	22	22a	63	63	0.5	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
22	22	22	22a	127/2	127/2	0.5	1/8	1/8	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
22	22	22	22a	64	64	0.5	1/4	1/4	6/8	4	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
22	22	22	22a	129/2	129/2	0.5	3/8	3/8	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
22	22	22	22a	65	65	0.5	1/2	1/2	6/8	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
22	22	22	22a	131/2	131/2	0.5	5/8	5/8	6/8	4	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
23	23	23	23a	66	66	3.0	0	0	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
24	24	24	24a	69	69	3.0	0	0	6/8	4	1		V\\	A	I		V	V						\\	M	0	0	1, 5, 2		1	1
25	25	25	25a	72	72	3.0	0	0	6/8	4	1		v.i	A	v		i	i							m	0	1	0, -3, 1		0	0
26	26	26	26a	75	75	1.5	0	0	6/8	4	1		VI	A	v		VI	VI							M	0	1	-4, 0, -3		-4	-4
26	26	26	26a	153/2	153/2	1.5	3/8	3/8	6/8	4	1		V	A	v		V	V							M	0	1	1, 5, 2		1	1
27	27	27	27a	78	78	1.0	0	0	6/8	4	1		i6	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
27	27	27	27a	79	79	0.5	1/4	1/4	6/8	4	1		#viio6	A	v		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
27	27	27	27a	159/2	159/2	1.0	3/8	3/8	6/8	4	1		i	A	v		i	i							m	0	1	0, -3, 1		0	0
27	27	27	27a	161/2	161/2	0.5	5/8	5/8	6/8	4	1		#viio	A	v		#viio	#vii	o						o	0	1	5, 2, -1		5	5
28	28	28	28a	81	81	1.0	0	0	6/8	4	1		i(94)	A	v		i(94)	i			94				m	0	1	0, -1, 1	2	0	0
28	28	28	28a	82	82	0.5	1/4	1/4	6/8	4	1		viio7/V	A	v		viio7/V	vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
28	28	28	28a	165/2	165/2	1.5	3/8	3/8	6/8	4	1		V\\	A	v		V	V						\\	M	0	1	1, 5, 2		1	1
29	29	29	29a	84	84	1.0	0	0	6/8	4	1		i	A	v		i	i							m	0	1	0, -3, 1		0	0
29	29	29	29a	85	85	0.5	1/4	1/4	6/8	4	1		V43	A	v		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
29	29	29	29a	171/2	171/2	1.0	3/8	3/8	6/8	4	1		i6	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
29	29	29	29a	173/2	173/2	0.5	5/8	5/8	6/8	4	1		V6/iv	A	v		V6/iv	V		6		iv			M	0	1	4, 1, 0		0	4
30	30	30	30a	87	87	1.0	0	0	6/8	4	1		iv	A	v		iv	iv							m	0	1	-1, -4, 0		-1	-1
30	30	30	30a	88	88	0.5	1/4	1/4	6/8	4	1		V43/iv	A	v		V43/iv	V		43		iv			Mm7	0	1	1, -2, 0, 4		0	1
30	30	30	30a	177/2	177/2	1.0	3/8	3/8	6/8	4	1		iv6	A	v		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
30	30	30	30a	179/2	179/2	0.5	5/8	5/8	6/8	4	1		ii%7	A	v		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
31	31	31	31a	90	90	0.5	0	0	6/8	4	1		bVII.I(64)	A	bVII		I(64)	I			64				M	0	0	0, -1, 3		0	0
31	31	31	31a	181/2	181/2	0.5	1/8	1/8	6/8	4	1		I	A	bVII		I	I							M	0	0	0, 4, 1		0	0
31	31	31	31a	91	91	0.5	1/4	1/4	6/8	4	1		ii6	A	bVII		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
31	31	31	31a	183/2	183/2	0.5	3/8	3/8	6/8	4	1		V7	A	bVII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	31	31a	92	92	0.5	1/2	1/2	6/8	4	1		V(64)	A	bVII		V(64)	V			64				M	0	0	1, 0, 4		1	1
31	31	31	31a	185/2	185/2	0.5	5/8	5/8	6/8	4	1		V7	A	bVII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	32	32	32a	93	93	1.5	0	0	6/8	4	1		I(974)	A	bVII		I(974)	I			974				M	0	0	0, -1, 1	2, 5	0	0
32	32	32	32a	189/2	189/2	1.0	3/8	3/8	6/8	4	1		I\\	A	bVII		I	I						\\	M	0	0	0, 4, 1		0	0
32	32	32	32a	191/2	191/2	0.5	5/8	5/8	6/8	4	1		v.V	A	v		V	V							M	0	1	1, 5, 2		1	1
33	33	33	33a	96	96	1.5	0	0	6/8	4	1		i6	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
33	33	33	33a	195/2	195/2	1.5	3/8	3/8	6/8	4	1		i	A	v		i	i							m	0	1	0, -3, 1		0	0
34	34	34	34a	99	99	1.5	0	0	6/8	4	1		VI	A	v		VI	VI							M	0	1	-4, 0, -3		-4	-4
34	34	34	34a	201/2	201/2	1.5	3/8	3/8	6/8	4	1		V	A	v		V	V							M	0	1	1, 5, 2		1	1
35	35	35	35a	102	102	1.0	0	0	6/8	4	1		i6	A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
35	35	35	35a	103	103	0.5	1/4	1/4	6/8	4	1		#viio6	A	v		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
35	35	35	35a	207/2	207/2	1.0	3/8	3/8	6/8	4	1		i	A	v		i	i							m	0	1	0, -3, 1		0	0
35	35	35	35a	209/2	209/2	0.5	5/8	5/8	6/8	4	1		#viio	A	v		#viio	#vii	o						o	0	1	5, 2, -1		5	5
36	36	36	36a	105	105	1.0	0	0	6/8	4	1		i(94)	A	v		i(94)	i			94				m	0	1	0, -1, 1	2	0	0
36	36	36	36a	106	106	0.5	1/4	1/4	6/8	4	1		viio7/V	A	v		viio7/V	vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
36	36	36	36a	213/2	213/2	1.5	3/8	3/8	6/8	4	1		V\\	A	v		V	V						\\	M	0	1	1, 5, 2		1	1
37	37	37	37a	108	108	1.0	0	0	6/8	4	1		V.I	A	V		I	I							M	0	0	0, 4, 1		0	0
