mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	0.5	0	3/8	2/4	4	1		D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
2	1	2	1a	1/2	1/2	2.0	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	2a	5/2	5/2	4.0	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
5	4	5	4a	13/2	13/2	4.0	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
7	6	7	6a	21/2	21/2	2.0	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
8	7	8	7a	25/2	25/2	1.0	0	0	2/4	4	1		V.V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	7	8	7a	27/2	27/2	1.0	1/4	1/4	2/4	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	9	8a	29/2	29/2	1.0	0	0	2/4	4	1		I(742)	D	V		I(742)		I			742				M	0	0	2, -1, 1	5	0	2
9	8	9	8a	31/2	31/2	0.5	1/4	1/4	2/4	4	1		I\\	D	V		I		I						\\	M	0	0	0, 4, 1		0	0
1	0	10	8a	16	0	0.5	0	3/8	2/4	4	1		D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
2	1	11	1b	33/2	1/2	2.0	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
3	2	12	2b	37/2	5/2	4.0	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
5	4	14	4b	45/2	13/2	4.0	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
7	6	16	6b	53/2	21/2	2.0	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
8	7	17	7b	57/2	25/2	1.0	0	0	2/4	4	1		V.V(64)	D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	7	17	7b	59/2	27/2	1.0	1/4	1/4	2/4	4	1		V7	D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	18	8b	61/2	29/2	1.0	0	0	2/4	4	1		I(742)	D	V		I(742)		I			742				M	0	0	2, -1, 1	5	0	2
9	8	18	8b	63/2	31/2	1.0	1/4	1/4	2/4	4	1		I\\	D	V		I		I						\\	M	0	0	0, 4, 1		0	0
11	9	20	9a	65/2	33/2	1.0	0	0	2/4	4	1		I.I	D	I		I		I							M	0	0	0, 4, 1		0	0
11	9	20	9a	67/2	35/2	2.0	1/4	1/4	2/4	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
12	10	21	10a	71/2	39/2	2.5	1/4	1/4	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
13	11	22	11a	38	22	0.5	3/8	3/8	2/4	4	1		V2/IV	D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
14	12	23	12a	77/2	45/2	0.5	0	0	2/4	4	1		IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
14	12	23	12a	39	23	0.5	1/8	1/8	2/4	4	1		IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	12	23	12a	79/2	47/2	1.0	1/4	1/4	2/4	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
15	13	24	13a	81/2	49/2	2.0	0	0	2/4	4	1		I	D	I		I		I							M	0	0	0, 4, 1		0	0
16	14	25	14a	85/2	53/2	2.0	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
17	15	26	15a	89/2	57/2	1.5	0	0	2/4	4	1		V	D	I		V		V							M	0	0	1, 5, 2		1	1
17	15	26	15a	46	30	0.5	3/8	3/8	2/4	4	1		V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	16	27	16a	93/2	61/2	1.0	0	0	2/4	4	1		I(742)	D	I		I(742)		I			742				M	0	0	2, -1, 1	5	0	2
18	16	27	16a	95/2	63/2	1.0	1/4	1/4	2/4	4	1		I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
