"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"viio7"	""	47	2.0	"D"	"I"	""	"vii"	"o"	"7"	""	""	false
"V7/.bIII"	""	47	2.5	"D"	"I"	""	"V"	""	"7"	""	"bIII"	false
".bIII64"	""	48	1.0	"D"	"I"	""	"bIII"	""	"64"	""	""	false
"vi%7"	""	48	2.0	"D"	"I"	""	"vi"	"%"	"7"	""	""	false
"vio7"	""	48	2.5	"D"	"I"	""	"vi"	"o"	"7"	""	""	false
"V/.bIII"	""	49	1.0	"D"	"I"	""	"V"	""	""	""	"bIII"	false
"V65"	""	49	2.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	50	1.0	"D"	"I"	""	"I"	""	""	""	""	false
".bVI6"	""	50	1.5	"D"	"I"	""	"bVI"	""	"6"	""	""	false
"i"	""	51	1.5	"D"	"I"	""	"i"	""	""	""	""	false
"#ivo43"	""	51	2.0	"D"	"I"	""	"#iv"	"o"	"43"	""	""	false
"V6"	""	52	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"v%65"	""	52	1.5	"D"	"I"	""	"v"	"%"	"65"	""	""	false
"V/iv"	""	52	2.0	"D"	"I"	""	"V"	""	""	""	"iv"	false
"V2/iv"	""	52	2.5	"D"	"I"	""	"V"	""	"2"	""	"iv"	false
"iv6"	""	53	1.0	"D"	"I"	""	"iv"	""	"6"	""	""	false
"i64"	""	53	1.5	"D"	"I"	""	"i"	""	"64"	""	""	false
"#ivo7"	""	53	2.0	"D"	"I"	""	"#iv"	"o"	"7"	""	""	false
"V"	""	54	1.0	"D"	"I"	""	"V"	""	""	""	""	false
".bvii64"	""	54	1.5	"D"	"I"	""	"bvii"	""	"64"	""	""	false
"iiio7"	""	54	2.0	"D"	"I"	""	"iii"	"o"	"7"	""	""	false
"I6"	""	54	2.25	"D"	"I"	""	"I"	""	"6"	""	""	false
"io6"	""	54	2.5	"D"	"I"	""	"i"	"o"	"6"	""	""	false
"IV2"	""	55	1.0	"D"	"I"	""	"IV"	""	"2"	""	""	false
".bII"	""	55	1.5	"D"	"I"	""	"bII"	""	""	""	""	false
"I(4)"	""	55	2.0	"D"	"I"	""	"I"	""	""	"4"	""	false
"I"	""	55	2.5	"D"	"I"	""	"I"	""	""	""	""	false
"i"	""	56	1.0	"D"	"I"	""	"i"	""	""	""	""	false
"VII2/.bvii"	""	56	1.5	"D"	"I"	""	"VII"	""	"2"	""	"bvii"	false
"V7/.bvii"	""	56	2.0	"D"	"I"	""	"V"	""	"7"	""	"bvii"	false
".bvii"	""	57	1.0	"D"	"I"	""	"bvii"	""	""	""	""	false
"V7/.bvii"	""	57	2.0	"D"	"I"	""	"V"	""	"7"	""	"bvii"	false
".bII2"	""	58	1.0	"D"	"I"	""	"bII"	""	"2"	""	""	false
"iio2"	""	58	2.0	"D"	"I"	""	"ii"	"o"	"2"	""	""	false
".bVII"	""	58	2.5	"D"	"I"	""	"bVII"	""	""	""	""	false
"iio43"	""	59	1.0	"D"	"I"	""	"ii"	"o"	"43"	""	""	false
".bV.V43"	""	59	2.0	"D"	"bV"	""	"V"	""	"43"	""	""	false
"I64"	""	59	2.5	"D"	"bV"	""	"I"	""	"64"	""	""	false
"V[i"	""	60	1.0	"D"	"bV"	"V"	"i"	""	""	""	""	false
"V"	""	60	2.5	"D"	"bV"	"V"	"V"	""	""	""	""	false
"viio"	""	61	1.0	"D"	"bV"	"V"	"vii"	"o"	""	""	""	false
"i"	""	61	2.5	"D"	"bV"	"V"	"i"	""	""	""	""	false
"#ivo7]"	""	62	1.0	"D"	"bV"	"V"	"#iv"	"o"	"7"	""	""	false
"viio2"	""	62	2.5	"D"	"bV"	""	"vii"	"o"	"2"	""	""	false
"V#65"	""	63	1.0	"D"	"bV"	""	""	""	""	""	""	false
"V65"	""	63	2.0	"D"	"bV"	""	"V"	""	"65"	""	""	false
"I\\\\"	""	64	2.0	"D"	"bV"	""	"I"	""	""	""	""	true
"I"	""	65	1.0	"D"	"bV"	""	"I"	""	""	""	""	false
"vi"	""	66	1.0	"D"	"bV"	""	"vi"	""	""	""	""	false
"vi2"	""	66	2.0	"D"	"bV"	""	"vi"	""	"2"	""	""	false
"IV"	""	67	1.0	"D"	"bV"	""	"IV"	""	""	""	""	false
"#ivo2"	""	67	2.0	"D"	"bV"	""	"#iv"	"o"	"2"	""	""	false
"V65/iii"	""	68	1.0	"D"	"bV"	""	"V"	""	"65"	""	"iii"	false
"iii"	""	68	2.0	"D"	"bV"	""	"iii"	""	""	""	""	false
