"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".f.#viio7/V"	""	"1"	"1.0"	"1.0"	"3/4"	"95"	"11"	"3"	1.0	"f"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"i64"	""	"1"	"2.0"	"2.0"	"3/4"	"95"	"11"	"3"	1.0	"f"	"I"	""	"i"	""	"64"	""	""	false
"#viio65/V"	""	"1"	"3.0"	"3.0"	"3/4"	"95"	"11"	"3"	5.0	"f"	"I"	""	"#vii"	"o"	"65"	""	"V"	false
"v6"	""	"3"	"2.0"	"8.0"	"3/4"	"95"	"11"	"3"	1.0	"f"	"I"	""	"v"	""	"6"	""	""	false
"#viio43/V"	""	"3"	"3.0"	"9.0"	"3/4"	"95"	"11"	"3"	5.0	"f"	"I"	""	"#vii"	"o"	"43"	""	"V"	false
"v.V65"	""	"5"	"2.0"	"14.0"	"3/4"	"95"	"11"	"3"	2.0	"f"	"v"	""	"V"	""	"65"	""	""	false
"i"	""	"6"	"1.0"	"16.0"	"3/4"	"95"	"11"	"3"	1.0	"f"	"v"	""	"i"	""	""	""	""	false
"i(9)"	""	"6"	"2.0"	"17.0"	"3/4"	"95"	"11"	"3"	1.5	"f"	"v"	""	"i"	""	""	"9"	""	false
"i"	""	"6"	"3.5"	"18.5"	"3/4"	"95"	"11"	"3"	0.5	"f"	"v"	""	"i"	""	""	""	""	false
"iv(4)"	""	"7"	"1.0"	"19.0"	"3/4"	"95"	"11"	"3"	0.75	"f"	"v"	""	"iv"	""	""	"4"	""	false
"iv"	""	"7"	"1.75"	"19.75"	"3/4"	"95"	"11"	"3"	0.25	"f"	"v"	""	"iv"	""	""	""	""	false
"iv(9)"	""	"7"	"2.0"	"20.0"	"3/4"	"95"	"11"	"3"	0.75	"f"	"v"	""	"iv"	""	""	"9"	""	false
"iv"	""	"7"	"2.75"	"20.75"	"3/4"	"95"	"11"	"3"	0.25	"f"	"v"	""	"iv"	""	""	""	""	false
"V(6)"	""	"7"	"3.0"	"21.0"	"3/4"	"95"	"11"	"3"	0.5	"f"	"v"	""	"V"	""	""	"6"	""	false
"V"	""	"7"	"3.5"	"21.5"	"3/4"	"95"	"11"	"3"	0.5	"f"	"v"	""	"V"	""	""	""	""	false
"i2"	""	"8"	"1.0"	"22.0"	"3/4"	"95"	"11"	"3"	3.0	"f"	"v"	""	"i"	""	"2"	""	""	false
