"chords"	"altchords"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"
".c#.i"	NA	1	1.0	"c#"	"I"	""	"i"	""	""	""	""
"V6"	NA	2	1.0	"c#"	"I"	""	"V"	""	"6"	""	""
"i"	NA	4	1.0	"c#"	"I"	""	"i"	""	""	""	""
"V"	NA	8	1.0	"c#"	"I"	""	"V"	""	""	""	""
"i"	NA	8	3.0	"c#"	"I"	""	"i"	""	""	""	""
"V(64)/v"	NA	10	1.0	"c#"	"I"	""	"V"	""	""	"(64)"	"v"
"V7/v"	NA	11	1.0	"c#"	"I"	""	"V"	""	"7"	""	"v"
"V\"v"	NA	12	1.0	"c#"	"I"	"V"	"v"	""	""	""	""
"V7(+9)"	NA	12	3.0	"c#"	"I"	"V"	"V"	""	"7"	"(+9)"	""
"V7"	NA	13	1.0	"c#"	"I"	"V"	"V"	""	"7"	""	""
"i"	NA	14	1.0	"c#"	"I"	"V"	"i"	""	""	""	""
"V7\""	NA	15	1.0	"c#"	"I"	"V"	"V"	""	"7"	""	""
"i"	NA	16	1.0	"c#"	"I"	""	"i"	""	""	""	""
".bII6"	NA	16	3.0	"c#"	"I"	""	"bII"	""	"6"	""	""
"V(64)"	NA	18	3.0	"c#"	"I"	""	"V"	""	""	"(64)"	""
"V(6b5)"	NA	19	1.0	"c#"	"I"	""	"V"	""	""	"(6b5)"	""
"i64"	NA	20	1.0	"c#"	"I"	""	"i"	""	"64"	""	""
"i"	NA	20	4.0	"c#"	"I"	""	"i"	""	""	""	""
"V43"	NA	21	1.0	"c#"	"I"	""	"V"	""	"43"	""	""
"V2(+9)"	NA	21	3.0	"c#"	"I"	""	"V"	""	"2"	"(+9)"	""
"i6(#5)"	NA	22	1.0	"c#"	"I"	""	"i"	""	"6"	"(#5)"	""
"i6"	NA	22	7.0	"c#"	"I"	""	"i"	""	"6"	""	""
"i"	NA	22	8.0	"c#"	"I"	""	"i"	""	""	""	""
"V43"	NA	23	1.0	"c#"	"I"	""	"V"	""	"43"	""	""
"V65"	NA	23	3.0	"c#"	"I"	""	"V"	""	"65"	""	""
"i"	NA	23	4.0	"c#"	"I"	""	"i"	""	""	""	""
"V"	NA	24	1.0	"c#"	"I"	""	"V"	""	""	""	""
"i"	NA	24	4.0	"c#"	"I"	""	"i"	""	""	""	""
"V43"	NA	25	1.0	"c#"	"I"	""	"V"	""	"43"	""	""
"V2(+9)"	NA	25	3.0	"c#"	"I"	""	"V"	""	"2"	"(+9)"	""
"i6(#5)"	NA	26	1.0	"c#"	"I"	""	"i"	""	"6"	"(#5)"	""
"i6"	NA	26	7.0	"c#"	"I"	""	"i"	""	"6"	""	""
"i"	NA	26	8.0	"c#"	"I"	""	"i"	""	""	""	""
"i64"	NA	27	1.0	"c#"	"I"	""	"i"	""	"64"	""	""
"V65"	NA	27	2.0	"c#"	"I"	""	"V"	""	"65"	""	""
"i"	NA	27	3.0	"c#"	"I"	""	"i"	""	""	""	""
"V43"	NA	27	4.0	"c#"	"I"	""	"V"	""	"43"	""	""
