"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".E.I"	""	"1"	"1.0"	"1.0"	"2/2"	"131"	"14"	"5"	8.0	"E"	"I"	""	"I"	""	""	""	""	false
"I"	""	"2"	"1.0"	"9.0"	"2/2"	"131"	"14"	"5"	8.0	"E"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"4"	"1.0"	"17.0"	"2/2"	"131"	"14"	"5"	8.0	"E"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"6"	"1.0"	"25.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"I"	""	"I"	""	""	""	""	false
"IV"	""	"7"	"1.0"	"29.0"	"2/2"	"131"	"14"	"5"	2.0	"E"	"I"	""	"IV"	""	""	""	""	false
"ii"	""	"7"	"3.0"	"31.0"	"2/2"	"131"	"14"	"5"	2.0	"E"	"I"	""	"ii"	""	""	""	""	false
"V/vi"	""	"8"	"1.0"	"33.0"	"2/2"	"131"	"14"	"5"	8.0	"E"	"I"	""	"V"	""	""	""	"vi"	false
"I6"	""	"10"	"1.0"	"41.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"I"	""	"I"	""	"6"	""	""	false
"I"	""	"11"	"1.0"	"45.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"12"	"1.0"	"49.0"	"2/2"	"131"	"14"	"5"	8.0	"E"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"14"	"1.0"	"57.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"I"	""	"I"	""	""	""	""	false
"IV"	""	"15"	"1.0"	"61.0"	"2/2"	"131"	"14"	"5"	2.0	"E"	"I"	""	"IV"	""	""	""	""	false
"ii"	""	"15"	"3.0"	"63.0"	"2/2"	"131"	"14"	"5"	2.0	"E"	"I"	""	"ii"	""	""	""	""	false
"V/vi"	""	"16"	"1.0"	"65.0"	"2/2"	"131"	"14"	"5"	16.0	"E"	"I"	""	"V"	""	""	""	"vi"	false
"vi64"	""	"20"	"1.0"	"81.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"I"	""	"vi"	""	"64"	""	""	false
"IV6"	""	"21"	"1.0"	"85.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"I"	""	"IV"	""	"6"	""	""	false
"V"	""	"22"	"1.0"	"89.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"I"	""	"V"	""	""	""	""	false
"V6"	""	"23"	"1.0"	"93.0"	"2/2"	"131"	"14"	"5"	20.0	"E"	"I"	""	"V"	""	"6"	""	""	false
"i6"	""	"28"	"1.0"	"113.0"	"2/2"	"131"	"14"	"5"	16.0	"E"	"I"	""	"i"	""	"6"	""	""	false
"iii.i"	""	"32"	"1.0"	"129.0"	"2/2"	"131"	"14"	"5"	20.0	"E"	"iii"	""	"i"	""	""	""	""	false
"i64"	""	"37"	"1.0"	"149.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"iii"	""	"i"	""	"64"	""	""	false
"i6"	""	"38"	"1.0"	"153.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"iii"	""	"i"	""	"6"	""	""	false
"i"	""	"39"	"1.0"	"157.0"	"2/2"	"131"	"14"	"5"	10.0	"E"	"iii"	""	"i"	""	""	""	""	false
"i6"	""	"41"	"3.0"	"167.0"	"2/2"	"131"	"14"	"5"	2.0	"E"	"iii"	""	"i"	""	"6"	""	""	false
"V7"	""	"42"	"1.0"	"169.0"	"2/2"	"131"	"14"	"5"	1.0	"E"	"iii"	""	"V"	""	"7"	""	""	false
"i"	""	"42"	"2.0"	"170.0"	"2/2"	"131"	"14"	"5"	1.0	"E"	"iii"	""	"i"	""	""	""	""	false
"V7"	""	"42"	"3.0"	"171.0"	"2/2"	"131"	"14"	"5"	1.0	"E"	"iii"	""	"V"	""	"7"	""	""	false
"V(64)"	""	"42"	"4.0"	"172.0"	"2/2"	"131"	"14"	"5"	1.0	"E"	"iii"	""	"V"	""	""	"64"	""	false
"V7"	""	"43"	"1.0"	"173.0"	"2/2"	"131"	"14"	"5"	1.0	"E"	"iii"	""	"V"	""	"7"	""	""	false
"V(64)"	""	"43"	"2.0"	"174.0"	"2/2"	"131"	"14"	"5"	1.0	"E"	"iii"	""	"V"	""	""	"64"	""	false
"V7"	""	"43"	"3.0"	"175.0"	"2/2"	"131"	"14"	"5"	2.0	"E"	"iii"	""	"V"	""	"7"	""	""	false
"I.I"	""	"44"	"1.0"	"177.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"I"	""	"I"	""	""	""	""	false
"I"	""	"45"	"1.0"	"181.0"	"2/2"	"131"	"14"	"5"	4.0	"E"	"I"	""	"I"	""	""	""	""	false
