"chords"	"altchords"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"
".c#.i"	NA	1	1.0	"c#"	"I"	""	"i"	""	""	""	""
"V6"	NA	1	1.0	"c#"	"I"	""	"V"	""	"6"	""	""
"i"	NA	1	3.0	"c#"	"I"	""	"i"	""	""	""	""
"iv6"	NA	2	1.0	"c#"	"I"	""	"iv"	""	"6"	""	""
"i"	NA	2	4.0	"c#"	"I"	""	"i"	""	""	""	""
"iv"	NA	3	1.0	"c#"	"I"	""	"iv"	""	""	""	""
"V7"	NA	3	3.0	"c#"	"I"	""	"V"	""	"7"	""	""
"i6"	NA	4	1.0	"c#"	"I"	""	"i"	""	"6"	""	""
"i"	NA	4	3.0	"c#"	"I"	""	"i"	""	""	""	""
"V65/iv"	NA	5	1.0	"c#"	"I"	""	"V"	""	"65"	""	"iv"
"iv(4)"	NA	5	4.0	"c#"	"I"	""	"iv"	""	""	"(4)"	""
"iv"	NA	5	5.0	"c#"	"I"	""	"iv"	""	""	""	""
"II"	NA	6	1.0	"c#"	"I"	""	"II"	""	""	""	""
"II(#9)"	NA	6	2.0	"c#"	"I"	""	"II"	""	""	"(#9)"	""
"II"	NA	6	3.0	"c#"	"I"	""	"II"	""	""	""	""
"iv64"	NA	6	4.0	"c#"	"I"	""	"iv"	""	"64"	""	""
".bII6/iv"	NA	7	1.0	"c#"	"I"	""	"bII"	""	"6"	""	"iv"
"V/iv(+9)"	NA	7	2.0	"c#"	"I"	""	""	""	""	""	""
"V2/iv"	NA	7	4.0	"c#"	"I"	""	"V"	""	"2"	""	"iv"
"iv6"	NA	8	1.0	"c#"	"I"	""	"iv"	""	"6"	""	""
"V(64)"	NA	8	3.0	"c#"	"I"	""	"V"	""	""	"(64)"	""
"V"	NA	8	4.0	"c#"	"I"	""	"V"	""	""	""	""
"V6"	NA	9	1.0	"c#"	"I"	""	"V"	""	"6"	""	""
"V7"	NA	9	2.0	"c#"	"I"	""	"V"	""	"7"	""	""
"I64"	NA	9	3.0	"c#"	"I"	""	"I"	""	"64"	""	""
"I"	NA	9	4.0	"c#"	"I"	""	"I"	""	""	""	""
"#viio2(5)"	NA	10	1.0	"c#"	"I"	""	"#vii"	"o"	"2"	"(5)"	""
"#viio7"	NA	10	2.0	"c#"	"I"	""	"#vii"	"o"	"7"	""	""
"#viio2(3)"	NA	10	4.0	"c#"	"I"	""	"#vii"	"o"	"2"	"(3)"	""
"III6"	NA	10	5.0	"c#"	"I"	""	"III"	""	"6"	""	""
"V7/vii"	NA	11	1.0	"c#"	"I"	""	"V"	""	"7"	""	"vii"
"VI"	NA	11	1.0	"c#"	"I"	""	"VI"	""	""	""	""
"III6"	NA	11	1.0	"c#"	"I"	""	"III"	""	"6"	""	""
"II6"	NA	11	4.0	"c#"	"I"	""	"II"	""	"6"	""	""
"V7/vi"	NA	12	1.0	"c#"	"I"	""	"V"	""	"7"	""	"vi"
"iv"	NA	12	2.0	"c#"	"I"	""	"iv"	""	""	""	""
"V"	NA	12	3.0	"c#"	"I"	""	"V"	""	""	""	""
"V7/iv"	NA	12	4.0	"c#"	"I"	""	"V"	""	"7"	""	"iv"
"viio2/vi"	NA	13	1.0	"c#"	"I"	""	"vii"	"o"	"2"	""	"vi"
"IV"	NA	13	3.0	"c#"	"I"	""	"IV"	""	""	""	""
"II+"	NA	14	1.0	"c#"	"I"	""	"II"	"+"	""	""	""
"vii6(6)"	NA	14	2.0	"c#"	"I"	""	"vii"	""	"6"	"(6)"	""
"vii6"	NA	14	4.0	"c#"	"I"	""	"vii"	""	"6"	""	""
"#viio6/vii"	NA	14	5.0	"c#"	"I"	""	"#vii"	"o"	"6"	""	"vii"
"vii"	NA	15	1.0	"c#"	"I"	""	"vii"	""	""	""	""
"viio43/VI"	NA	15	2.0	"c#"	"I"	""	"vii"	"o"	"43"	""	"VI"
"VI"	NA	15	3.0	"c#"	"I"	""	"VI"	""	""	""	""
"vii"	NA	15	4.0	"c#"	"I"	""	"vii"	""	""	""	""
"VI"	NA	16	1.0	"c#"	"I"	""	"VI"	""	""	""	""
"I\"VI6"	NA	16	4.0	"c#"	"I"	"I"	"VI"	""	"6"	""	""
"vii6"	NA	16	5.0	"c#"	"I"	"I"	"vii"	""	"6"	""	""
"IV+\""	NA	17	1.0	"c#"	"I"	"I"	"IV"	"+"	""	""	""
"#viio43/vii"	NA	17	2.0	"c#"	"I"	""	"#vii"	"o"	"43"	""	"vii"
"vii"	NA	17	3.0	"c#"	"I"	""	"vii"	""	""	""	""
"vii.i"	NA	18	1.0	"c#"	"vii"	""	"i"	""	""	""	""
"i6"	NA	18	4.0	"c#"	"vii"	""	"i"	""	"6"	""	""
"#io6"	NA	18	5.0	"c#"	"vii"	""	"#i"	"o"	"6"	""	""
"#io65"	NA	19	1.0	"c#"	"vii"	""	"#i"	"o"	"65"	""	""
"ii6"	NA	19	2.0	"c#"	"vii"	""	"ii"	""	"6"	""	""
"#viio6/iv"	NA	19	3.0	"c#"	"vii"	""	"#vii"	"o"	"6"	""	"iv"
"#vo7"	NA	19	4.0	"c#"	"vii"	""	"#v"	"o"	"7"	""	""
"i.V(64)"	NA	20	1.0	"c#"	"i"	""	"V"	""	""	"(64)"	""
"V"	NA	20	3.0	"c#"	"i"	""	"V"	""	""	""	""
"V2"	NA	20	4.0	"c#"	"i"	""	"V"	""	"2"	""	""
"V2"	NA	21	1.0	"c#"	"i"	""	"V"	""	"2"	""	""
"V6(7)/iv"	NA	21	1.0	"c#"	"i"	""	"V"	""	"6"	"(7)"	"iv"
"V6/iv"	NA	21	3.0	"c#"	"i"	""	"V"	""	"6"	""	"iv"
"V65/iv"	NA	22	1.0	"c#"	"i"	""	"V"	""	"65"	""	"iv"
"iv(7)"	NA	22	2.0	"c#"	"i"	""	"iv"	""	""	"(7)"	""
"V/vii"	NA	22	4.0	"c#"	"i"	""	"V"	""	""	""	"vii"
"V2/vii"	NA	23	1.0	"c#"	"i"	""	"V"	""	"2"	""	"vii"
"V/III"	NA	23	3.0	"c#"	"i"	""	"V"	""	""	""	"III"
"vii64"	NA	23	3.0	"c#"	"i"	""	"vii"	""	"64"	""	""
"vo64(5)"	NA	24	1.0	"c#"	"i"	""	"v"	"o"	"64"	"(5)"	""
"vo64"	NA	24	2.0	"c#"	"i"	""	"v"	"o"	"64"	""	""
"III.I(42)"	NA	24	3.0	"c#"	"III"	""	"I"	""	""	"(42)"	""
"I64"	NA	24	4.0	"c#"	"III"	""	"I"	""	"64"	""	""
"V65"	NA	25	1.0	"c#"	"III"	""	"V"	""	"65"	""	""
"iii64"	NA	25	2.0	"c#"	"III"	""	"iii"	""	"64"	""	""
"\"I(42)"	NA	25	3.0	"c#"	"III"	""	""	""	""	""	""
"I"	NA	25	4.0	"c#"	"III"	""	"I"	""	""	""	""
