"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"i64"	""	24	1.0	"a"	"I"	"i"	"i"	""	"64"	""	""	false
"i"	""	24	2.0	"a"	"I"	"i"	"i"	""	""	""	""	false
"#viio"	""	24	2.5	"a"	"I"	"i"	"#vii"	"o"	""	""	""	false
"i64"	""	25	1.0	"a"	"I"	"i"	"i"	""	"64"	""	""	false
"i"	""	25	2.0	"a"	"I"	"i"	"i"	""	""	""	""	false
"#viio"	""	25	2.5	"a"	"I"	"i"	"#vii"	"o"	""	""	""	false
"i64"	""	25	3.5	"a"	"I"	"i"	"i"	""	"64"	""	""	false
"i64"	""	26	1.0	"a"	"I"	"i"	"i"	""	"64"	""	""	false
"i"	""	26	2.0	"a"	"I"	"i"	"i"	""	""	""	""	false
"#viio"	""	26	2.5	"a"	"I"	"i"	"#vii"	"o"	""	""	""	false
"i"	""	27	1.0	"a"	"I"	"i"	"i"	""	""	""	""	false
"i]\\\\"	""	28	1.0	"a"	"I"	"i"	"i"	""	""	""	""	true
"vi.V9"	""	28	2.5	"a"	"vi"	""	"V"	""	"9"	""	""	false
"V7"	""	29	1.0	"a"	"vi"	""	"V"	""	"7"	""	""	false
"V"	""	29	2.5	"a"	"vi"	""	"V"	""	""	""	""	false
"V9"	""	30	1.0	"a"	"vi"	""	"V"	""	"9"	""	""	false
"V9(4)"	""	30	3.5	"a"	"vi"	""	"V"	""	"9"	"(4)"	""	false
"V9"	""	31	1.0	"a"	"vi"	""	"V"	""	"9"	""	""	false
"V7"	""	31	2.0	"a"	"vi"	""	"V"	""	"7"	""	""	false
"V9(4)"	""	31	3.5	"a"	"vi"	""	"V"	""	"9"	"(4)"	""	false
"V9"	""	32	1.0	"a"	"vi"	""	"V"	""	"9"	""	""	false
"V9(4)"	""	32	3.5	"a"	"vi"	""	"V"	""	"9"	"(4)"	""	false
"V"	""	33	1.5	"a"	"vi"	""	"V"	""	""	""	""	false
"V7"	""	33	2.5	"a"	"vi"	""	"V"	""	"7"	""	""	false
"i"	""	34	1.0	"a"	"vi"	""	"i"	""	""	""	""	false
"VI"	""	34	2.5	"a"	"vi"	""	"VI"	""	""	""	""	false
"i64"	""	34	3.5	"a"	"vi"	""	"i"	""	"64"	""	""	false
"#viio7/V"	""	35	1.0	"a"	"vi"	""	"#vii"	"o"	"7"	""	"V"	false
"VI"	""	35	2.5	"a"	"vi"	""	"VI"	""	""	""	""	false
"i64"	""	35	3.5	"a"	"vi"	""	"i"	""	"64"	""	""	false
"#viio7/V"	""	36	1.0	"a"	"vi"	""	"#vii"	"o"	"7"	""	"V"	false
"VI"	""	36	2.5	"a"	"vi"	""	"VI"	""	""	""	""	false
"i64"	""	36	3.5	"a"	"vi"	""	"i"	""	"64"	""	""	false
"iii.#viio7"	""	37	1.0	"a"	"iii"	""	"#vii"	"o"	"7"	""	""	false
"V43"	""	37	1.5	"a"	"iii"	""	"V"	""	"43"	""	""	false
"#viio2"	""	37	2.0	"a"	"iii"	""	"#vii"	"o"	"2"	""	""	false
"V7"	""	37	2.5	"a"	"iii"	""	"V"	""	"7"	""	""	false
"ivo64"	""	38	1.0	"a"	"iii"	""	"iv"	"o"	"64"	""	""	false
"VI6"	""	38	1.5	"a"	"iii"	""	"VI"	""	"6"	""	""	false
"ii%43"	""	38	2.0	"a"	"iii"	""	"ii"	"%"	"43"	""	""	false
".Ger6"	""	38	2.5	"a"	"iii"	""	"Ger"	""	"6"	""	""	false
"i64"	""	38	3.0	"a"	"iii"	""	"i"	""	"64"	""	""	false
"#vii/V"	""	38	3.5	"a"	"iii"	""	"#vii"	""	""	""	"V"	false
"V[V64"	""	39	1.0	"a"	"iii"	"V"	"V"	""	"64"	""	""	false
"#viio2/V"	""	39	2.5	"a"	"iii"	"V"	"#vii"	"o"	"2"	""	"V"	false
"V64"	""	40	1.0	"a"	"iii"	"V"	"V"	""	"64"	""	""	false
"#viio2"	""	40	2.5	"a"	"iii"	"V"	"#vii"	"o"	"2"	""	""	false
"#viio43/V"	""	40	3.5	"a"	"iii"	"V"	"#vii"	"o"	"43"	""	"V"	false
"V64"	""	41	1.0	"a"	"iii"	"V"	"V"	""	"64"	""	""	false
"#viio2/V"	""	41	2.5	"a"	"iii"	"V"	"#vii"	"o"	"2"	""	"V"	false
"V64"	""	42	1.0	"a"	"iii"	"V"	"V"	""	"64"	""	""	false
"#viio2/V"	""	42	2.5	"a"	"iii"	"V"	"#vii"	"o"	"2"	""	"V"	false
"#viio43/V"	""	42	3.5	"a"	"iii"	"V"	"#vii"	"o"	"43"	""	"V"	false
"V64"	""	43	1.0	"a"	"iii"	"V"	"V"	""	"64"	""	""	false
"V64"	""	43	2.5	"a"	"iii"	"V"	"V"	""	"64"	""	""	false
"V2"	""	44	1.0	"a"	"iii"	"V"	"V"	""	"2"	""	""	false
"V]"	""	44	2.5	"a"	"iii"	"V"	"V"	""	""	""	""	false
"III.V2"	""	44	3.5	"a"	"III"	""	"V"	""	"2"	""	""	false
"I6"	""	45	1.0	"a"	"III"	""	"I"	""	"6"	""	""	false
"IV(4#2)"	""	45	2.5	"a"	"III"	""	"IV"	""	""	"(4#2)"	""	false
"IV"	""	45	3.0	"a"	"III"	""	"IV"	""	""	""	""	false
"V7"	""	46	1.0	"a"	"III"	""	"V"	""	"7"	""	""	false
"I"	""	46	2.5	"a"	"III"	""	"I"	""	""	""	""	false
"V2"	""	46	3.5	"a"	"III"	""	"V"	""	"2"	""	""	false
"I6"	""	47	1.0	"a"	"III"	""	"I"	""	"6"	""	""	false
"IV(4#2)"	""	47	2.5	"a"	"III"	""	"IV"	""	""	"(4#2)"	""	false
"IV"	""	47	3.0	"a"	"III"	""	"IV"	""	""	""	""	false
"V7"	""	48	1.0	"a"	"III"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	48	2.5	"a"	"III"	""	"I"	""	""	""	""	true
"V65"	""	49	1.0	"a"	"III"	""	"V"	""	"65"	""	""	false
"V2"	""	49	2.5	"a"	"III"	""	"V"	""	"2"	""	""	false
"V"	""	50	1.0	"a"	"III"	""	"V"	""	""	""	""	false
"I"	""	50	2.5	"a"	"III"	""	"I"	""	""	""	""	false
"V65"	""	51	1.0	"a"	"III"	""	"V"	""	"65"	""	""	false
"ii6"	""	51	2.5	"a"	"III"	""	"ii"	""	"6"	""	""	false
"V(64)"	""	52	1.0	"a"	"III"	""	"V"	""	""	"(64)"	""	false
"V7"	""	52	2.5	"a"	"III"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	53	1.0	"a"	"III"	""	"I"	""	""	""	""	true
"vi.V[i"	""	53	2.5	"a"	"vi"	"V"	"i"	""	""	""	""	false
"V6/V"	""	53	3.5	"a"	"vi"	"V"	"V"	""	"6"	""	"V"	false
"V64"	""	54	1.0	"a"	"vi"	"V"	"V"	""	"64"	""	""	false
"i"	""	54	2.5	"a"	"vi"	"V"	"i"	""	""	""	""	false
"V6/V"	""	54	3.5	"a"	"vi"	"V"	"V"	""	"6"	""	"V"	false
"V"	""	55	1.0	"a"	"vi"	"V"	"V"	""	""	""	""	false
"i"	""	55	2.5	"a"	"vi"	"V"	"i"	""	""	""	""	false
"V6/V"	""	55	3.5	"a"	"vi"	"V"	"V"	""	"6"	""	"V"	false
"V6"	""	56	1.0	"a"	"vi"	"V"	"V"	""	"6"	""	""	false
"viio2/V"	""	56	2.5	"a"	"vi"	"V"	"vii"	"o"	"2"	""	"V"	false
"V6"	""	57	1.0	"a"	"vi"	"V"	"V"	""	"6"	""	""	false
"viio2/V"	""	57	2.5	"a"	"vi"	"V"	"vii"	"o"	"2"	""	"V"	false
"V6"	""	58	1.0	"a"	"vi"	"V"	"V"	""	"6"	""	""	false
"viio2/V"	""	58	2.5	"a"	"vi"	"V"	"vii"	"o"	"2"	""	"V"	false
"V6"	""	59	1.0	"a"	"vi"	"V"	"V"	""	"6"	""	""	false
"viio43/V"	""	59	2.0	"a"	"vi"	"V"	"vii"	"o"	"43"	""	"V"	false
"V6"	""	59	2.5	"a"	"vi"	"V"	"V"	""	"6"	""	""	false
"viio43/V"	""	59	3.5	"a"	"vi"	"V"	"vii"	"o"	"43"	""	"V"	false
"V6"	""	60	1.0	"a"	"vi"	"V"	"V"	""	"6"	""	""	false
"viio43/V"	""	60	2.0	"a"	"vi"	"V"	"vii"	"o"	"43"	""	"V"	false
"V6"	""	60	2.5	"a"	"vi"	"V"	"V"	""	"6"	""	""	false
"viio43/V"	""	60	3.5	"a"	"vi"	"V"	"vii"	"o"	"43"	""	"V"	false
"V"	""	61	1.0	"a"	"vi"	"V"	"V"	""	""	""	""	false
"V]\\\\"	""	62	1.0	"a"	"vi"	"V"	"V"	""	""	""	""	true
"V"	""	62	2.5	"a"	"vi"	""	"V"	""	""	""	""	false
"VI"	""	63	1.0	"a"	"vi"	""	"VI"	""	""	""	""	false
"VI6"	""	63	2.5	"a"	"vi"	""	"VI"	""	"6"	""	""	false
"#viio7"	""	64	1.0	"a"	"vi"	""	"#vii"	"o"	"7"	""	""	false
"VI6"	""	64	1.0	"a"	"vi"	""	"VI"	""	"6"	""	""	false
"V2"	""	64	2.5	"a"	"vi"	""	"V"	""	"2"	""	""	false
"#viio7"	""	65	1.0	"a"	"vi"	""	"#vii"	"o"	"7"	""	""	false
"VI6"	""	65	1.0	"a"	"vi"	""	"VI"	""	"6"	""	""	false
"V2"	""	65	2.5	"a"	"vi"	""	"V"	""	"2"	""	""	false
"#viio7"	""	66	1.0	"a"	"vi"	""	"#vii"	"o"	"7"	""	""	false
