"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"i"	""	144	1.0	"a"	"i"	""	"i"	""	""	""	""	false
"V[V"	""	146	1.0	"a"	"i"	"V"	"V"	""	""	""	""	false
"i6"	""	146	2.5	"a"	"i"	"V"	"i"	""	"6"	""	""	false
"i"	""	146	3.5	"a"	"i"	"V"	"i"	""	""	""	""	false
"V65"	""	147	1.0	"a"	"i"	"V"	"V"	""	"65"	""	""	false
"i"	""	148	1.0	"a"	"i"	"V"	"i"	""	""	""	""	false
"V6"	""	148	2.5	"a"	"i"	"V"	"V"	""	"6"	""	""	false
"i"	""	149	1.0	"a"	"i"	"V"	"i"	""	""	""	""	false
"V7"	""	149	2.5	"a"	"i"	"V"	"V"	""	"7"	""	""	false
"#viio64]"	""	149	3.5	"a"	"i"	"V"	"#vii"	"o"	"64"	""	""	false
"i\\\\"	""	150	1.0	"a"	"i"	""	"i"	""	""	""	""	true
"III.viio6"	""	151	3.5	"a"	"III"	""	"vii"	"o"	"6"	""	""	false
"I"	""	152	1.0	"a"	"III"	""	"I"	""	""	""	""	false
"V7/IV"	""	152	2.5	"a"	"III"	""	"V"	""	"7"	""	"IV"	false
"IV(742)"	""	153	1.0	"a"	"III"	""	"IV"	""	""	"(742)"	""	false
"IV"	""	153	1.5	"a"	"III"	""	"IV"	""	""	""	""	false
"V7/ii"	""	153	2.5	"a"	"III"	""	"V"	""	"7"	""	"ii"	false
"ii(#742)"	""	154	1.0	"a"	"III"	""	"ii"	""	""	"(#742)"	""	false
"ii"	""	154	1.5	"a"	"III"	""	"ii"	""	""	""	""	false
"ii"	""	154	2.5	"a"	"III"	""	"ii"	""	""	""	""	false
"V7/ii"	""	155	1.0	"a"	"III"	""	"V"	""	"7"	""	"ii"	false
"ii"	""	156	1.0	"a"	"III"	""	"ii"	""	""	""	""	false
"i.V7"	""	156	2.5	"a"	"i"	""	"V"	""	"7"	""	""	false
"i"	""	157	1.0	"a"	"i"	""	"i"	""	""	""	""	false
"#viio2/V"	""	157	2.5	"a"	"i"	""	"#vii"	"o"	"2"	""	"V"	false
"V"	""	158	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"V7"	""	158	2.5	"a"	"i"	""	"V"	""	"7"	""	""	false
"i\\\\"	""	159	1.0	"a"	"i"	""	"i"	""	""	""	""	true
"#viio2/V"	""	159	2.5	"a"	"i"	""	"#vii"	"o"	"2"	""	"V"	false
"V"	""	160	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"#viio2/V"	""	160	2.5	"a"	"i"	""	"#vii"	"o"	"2"	""	"V"	false
"V"	""	161	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"V2"	""	161	2.5	"a"	"i"	""	"V"	""	"2"	""	""	false
"i6"	""	162	1.0	"a"	"i"	""	"i"	""	"6"	""	""	false
"VI"	""	162	1.5	"a"	"i"	""	"VI"	""	""	""	""	false
"iv7"	""	162	2.5	"a"	"i"	""	"iv"	""	"7"	""	""	false
"V"	""	162	3.5	"a"	"i"	""	"V"	""	""	""	""	false
"#viio2"	""	163	1.0	"a"	"i"	""	"#vii"	"o"	"2"	""	""	false
"#viio43"	""	163	2.5	"a"	"i"	""	"#vii"	"o"	"43"	""	""	false
"#viio65"	""	163	3.5	"a"	"i"	""	"#vii"	"o"	"65"	""	""	false
"i6"	""	164	1.0	"a"	"i"	""	"i"	""	"6"	""	""	false
"VI"	""	164	1.5	"a"	"i"	""	"VI"	""	""	""	""	false
"iv7"	""	164	2.5	"a"	"i"	""	"iv"	""	"7"	""	""	false
"V7"	""	164	3.5	"a"	"i"	""	"V"	""	"7"	""	""	false
"i\\\\"	""	165	1.0	"a"	"i"	""	"i"	""	""	""	""	true
"III.viio6"	""	165	3.5	"a"	"III"	""	"vii"	"o"	"6"	""	""	false
"I"	""	166	1.0	"a"	"III"	""	"I"	""	""	""	""	false
"V2/IV"	""	166	2.5	"a"	"III"	""	"V"	""	"2"	""	"IV"	false
"IV6"	""	166	3.0	"a"	"III"	""	"IV"	""	"6"	""	""	false
"V65/IV"	""	166	3.5	"a"	"III"	""	"V"	""	"65"	""	"IV"	false
"V65/IV"	""	167	1.0	"a"	"III"	""	"V"	""	"65"	""	"IV"	false
"IV"	""	167	1.5	"a"	"III"	""	"IV"	""	""	""	""	false
"V2/ii"	""	167	2.5	"a"	"III"	""	"V"	""	"2"	""	"ii"	false
"ii6"	""	167	2.5	"a"	"III"	""	"ii"	""	"6"	""	""	false
"V65/ii"	""	168	1.0	"a"	"III"	""	"V"	""	"65"	""	"ii"	false
"ii"	""	168	2.0	"a"	"III"	""	"ii"	""	""	""	""	false
"ii6"	""	168	2.5	"a"	"III"	""	"ii"	""	"6"	""	""	false
"ii"	""	168	3.5	"a"	"III"	""	"ii"	""	""	""	""	false
"V65/ii"	""	169	1.0	"a"	"III"	""	"V"	""	"65"	""	"ii"	false
"#viio6/ii"	""	169	3.5	"a"	"III"	""	"#vii"	"o"	"6"	""	"ii"	false
"i.iv"	""	170	1.0	"a"	"i"	""	"iv"	""	""	""	""	false
"iv6"	""	170	2.0	"a"	"i"	""	"iv"	""	"6"	""	""	false
"V7"	""	170	2.5	"a"	"i"	""	"V"	""	"7"	""	""	false
"i64"	""	171	1.0	"a"	"i"	""	"i"	""	"64"	""	""	false
"i"	""	171	2.0	"a"	"i"	""	"i"	""	""	""	""	false
"#viio2/V"	""	171	2.5	"a"	"i"	""	"#vii"	"o"	"2"	""	"V"	false
"#viio43/V"	""	171	3.5	"a"	"i"	""	"#vii"	"o"	"43"	""	"V"	false
"V"	""	172	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"V7"	""	172	2.5	"a"	"i"	""	"V"	""	"7"	""	""	false
"i"	""	173	1.0	"a"	"i"	""	"i"	""	""	""	""	false
"#viio2/V"	""	173	2.5	"a"	"i"	""	"#vii"	"o"	"2"	""	"V"	false
"#viio43/V"	""	173	3.5	"a"	"i"	""	"#vii"	"o"	"43"	""	"V"	false
"V"	""	174	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"#viio2/V"	""	174	2.5	"a"	"i"	""	"#vii"	"o"	"2"	""	"V"	false
"#viio43/V"	""	174	3.5	"a"	"i"	""	"#vii"	"o"	"43"	""	"V"	false
"V"	""	175	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"#viio2"	""	175	2.5	"a"	"i"	""	"#vii"	"o"	"2"	""	""	false
"V"	""	175	3.0	"a"	"i"	""	"V"	""	""	""	""	false
"#viio64"	""	175	3.5	"a"	"i"	""	"#vii"	"o"	"64"	""	""	false
"i6"	""	176	1.0	"a"	"i"	""	"i"	""	"6"	""	""	false
"VI"	""	176	2.0	"a"	"i"	""	"VI"	""	""	""	""	false
"iv7"	""	176	2.5	"a"	"i"	""	"iv"	""	"7"	""	""	false
"V"	""	176	3.5	"a"	"i"	""	"V"	""	""	""	""	false
"#viio2"	""	177	1.0	"a"	"i"	""	"#vii"	"o"	"2"	""	""	false
"i64"	""	177	2.0	"a"	"i"	""	"i"	""	"64"	""	""	false
"#viio64"	""	177	2.5	"a"	"i"	""	"#vii"	"o"	"64"	""	""	false
"i6"	""	177	3.0	"a"	"i"	""	"i"	""	"6"	""	""	false
"#viio65"	""	177	3.5	"a"	"i"	""	"#vii"	"o"	"65"	""	""	false
"i6"	""	178	1.0	"a"	"i"	""	"i"	""	"6"	""	""	false
"VI"	""	178	2.0	"a"	"i"	""	"VI"	""	""	""	""	false
"iv7"	""	178	2.5	"a"	"i"	""	"iv"	""	"7"	""	""	false
"V"	""	178	3.5	"a"	"i"	""	"V"	""	""	""	""	false
"i[i"	""	179	1.0	"a"	"i"	"i"	"i"	""	""	""	""	false
"#viio"	""	179	2.5	"a"	"i"	"i"	"#vii"	"o"	""	""	""	false
"i"	""	179	3.0	"a"	"i"	"i"	"i"	""	""	""	""	false
"i64"	""	180	1.0	"a"	"i"	"i"	"i"	""	"64"	""	""	false
"#viio"	""	180	2.5	"a"	"i"	"i"	"#vii"	"o"	""	""	""	false
"i64"	""	181	1.0	"a"	"i"	"i"	"i"	""	"64"	""	""	false
"#viio"	""	181	2.5	"a"	"i"	"i"	"#vii"	"o"	""	""	""	false
"i64"	""	182	1.0	"a"	"i"	"i"	"i"	""	"64"	""	""	false
"#viio"	""	182	2.5	"a"	"i"	"i"	"#vii"	"o"	""	""	""	false
"i"	""	183	1.0	"a"	"i"	"i"	"i"	""	""	""	""	false
"i]\\\\"	""	184	1.0	"a"	"i"	"i"	"i"	""	""	""	""	true
"vi.VI6"	""	184	3.5	"a"	"vi"	""	"VI"	""	"6"	""	""	false
"V65(2)"	""	185	1.0	"a"	"vi"	""	"V"	""	"65"	"(2)"	""	false
"V2"	""	185	2.0	"a"	"vi"	""	"V"	""	"2"	""	""	false
"VI6"	""	185	3.5	"a"	"vi"	""	"VI"	""	"6"	""	""	false
"V65(2)"	""	186	1.0	"a"	"vi"	""	"V"	""	"65"	"(2)"	""	false
"V2"	""	186	2.0	"a"	"vi"	""	"V"	""	"2"	""	""	false
"i.#viio65/iv"	""	187	1.0	"a"	"i"	""	"#vii"	"o"	"65"	""	"iv"	false
"iv6"	""	187	2.0	"a"	"i"	""	"iv"	""	"6"	""	""	false
"#viio/iv"	""	187	2.5	"a"	"i"	""	"#vii"	"o"	""	""	"iv"	false
"iv"	""	187	3.0	"a"	"i"	""	"iv"	""	""	""	""	false
"iv6"	""	187	3.5	"a"	"i"	""	"iv"	""	"6"	""	""	false
"V(64)"	""	188	1.0	"a"	"i"	""	"V"	""	""	"(64)"	""	false
"V"	""	188	2.5	"a"	"i"	""	"V"	""	""	""	""	false
"vi.#viio"	""	188	3.5	"a"	"vi"	""	"#vii"	"o"	""	""	""	false
"#viio"	""	189	1.0	"a"	"vi"	""	"#vii"	"o"	""	""	""	false
"vo"	""	189	2.5	"a"	"vi"	""	"v"	"o"	""	""	""	false
"VI"	""	189	3.5	"a"	"vi"	""	"VI"	""	""	""	""	false
"V7(2)"	""	190	1.0	"a"	"vi"	""	"V"	""	"7"	"(2)"	""	false
"V7"	""	190	2.0	"a"	"vi"	""	"V"	""	"7"	""	""	false
"VI"	""	190	3.5	"a"	"vi"	""	"VI"	""	""	""	""	false
"V7(2)"	""	191	1.0	"a"	"vi"	""	"V"	""	"7"	"(2)"	""	false
"V7"	""	191	2.0	"a"	"vi"	""	"V"	""	"7"	""	""	false
"i.#viio7/iv"	""	191	3.5	"a"	"i"	""	"#vii"	"o"	"7"	""	"iv"	false
"V65/iv"	""	192	3.5	"a"	"i"	""	"V"	""	"65"	""	"iv"	false
"iv"	""	193	1.0	"a"	"i"	""	"iv"	""	""	""	""	false
"iv6"	""	193	2.0	"a"	"i"	""	"iv"	""	"6"	""	""	false
"V(64)"	""	193	2.5	"a"	"i"	""	"V"	""	""	"(64)"	""	false
"V"	""	193	3.5	"a"	"i"	""	"V"	""	""	""	""	false
"i\\\\"	""	194	1.0	"a"	"i"	""	"i"	""	""	""	""	true
"i[#viio"	""	194	2.5	"a"	"i"	"i"	"#vii"	"o"	""	""	""	false
"i64"	""	195	1.0	"a"	"i"	"i"	"i"	""	"64"	""	""	false
"i"	""	195	2.0	"a"	"i"	"i"	"i"	""	""	""	""	false
"#viio"	""	195	2.5	"a"	"i"	"i"	"#vii"	"o"	""	""	""	false
"i64"	""	196	1.0	"a"	"i"	"i"	"i"	""	"64"	""	""	false
"i"	""	196	2.0	"a"	"i"	"i"	"i"	""	""	""	""	false
"#viio"	""	196	2.5	"a"	"i"	"i"	"#vii"	"o"	""	""	""	false
"i64"	""	197	1.0	"a"	"i"	"i"	"i"	""	"64"	""	""	false
"i"	""	197	2.0	"a"	"i"	"i"	"i"	""	""	""	""	false
"#viio"	""	197	2.5	"a"	"i"	"i"	"#vii"	"o"	""	""	""	false
"i]"	""	198	1.0	"a"	"i"	"i"	"i"	""	""	""	""	false
"i"	""	198	2.5	"a"	"i"	""	"i"	""	""	""	""	false
"i"	""	200	1.0	"a"	"i"	""	"i"	""	""	""	""	false
"i64"	""	200	2.5	"a"	"i"	""	"i"	""	"64"	""	""	false
"i6"	""	201	1.0	"a"	"i"	""	"i"	""	"6"	""	""	false
"i64"	""	201	2.5	"a"	"i"	""	"i"	""	"64"	""	""	false
"i"	""	202	1.0	"a"	"i"	""	"i"	""	""	""	""	false
"i64"	""	202	2.5	"a"	"i"	""	"i"	""	"64"	""	""	false
"i64(2)"	""	203	1.0	"a"	"i"	""	"i"	""	"64"	"(2)"	""	false
"i6"	""	203	2.5	"a"	"i"	""	"i"	""	"6"	""	""	false
"i"	""	204	2.5	"a"	"i"	""	"i"	""	""	""	""	false
"i"	""	206	1.0	"a"	"i"	""	"i"	""	""	""	""	false
"i\\\\"	""	207	1.0	"a"	"i"	""	"i"	""	""	""	""	true
