"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".C.#ivo7"	""	1	1.0	"C"	"I"	""	"#iv"	"o"	"7"	""	""	false
"IV7"	""	3	1.0	"C"	"I"	""	"IV"	""	"7"	""	""	false
"vi64"	""	5	1.0	"C"	"I"	""	"vi"	""	"64"	""	""	false
"V7/V"	""	6	1.0	"C"	"I"	""	"V"	""	"7"	""	"V"	false
"V2/V"	""	6	3.0	"C"	"I"	""	"V"	""	"2"	""	"V"	false
"V6(#7)"	""	7	1.0	"C"	"I"	""	"V"	""	"6"	"#7"	""	false
"V6"	""	7	2.0	"C"	"I"	""	"V"	""	"6"	""	""	false
"V43/V"	""	7	3.0	"C"	"I"	""	"V"	""	"43"	""	"V"	false
"ii%43"	""	8	1.0	"C"	"I"	""	"ii"	"%"	"43"	""	""	false
"viio2"	""	9	1.0	"C"	"I"	""	"vii"	"o"	"2"	""	""	false
".bVII2"	""	11	1.0	"C"	"I"	""	"bVII"	""	"2"	""	""	false
".bIII6(4)"	""	12	1.0	"C"	"I"	""	"bIII"	""	"6"	"4"	""	false
".bIII6"	""	12	3.0	"C"	"I"	""	"bIII"	""	"6"	""	""	false
"viio43"	""	13	3.0	"C"	"I"	""	"vii"	"o"	"43"	""	""	false
"iiio7(2)"	""	14	1.0	"C"	"I"	""	"iii"	"o"	"7"	"2"	""	false
"iiio7"	""	15	1.0	"C"	"I"	""	"iii"	"o"	"7"	""	""	false
"V65/IV"	""	16	1.0	"C"	"I"	""	"V"	""	"65"	""	"IV"	false
"i6"	""	17	1.0	"C"	"I"	""	"i"	""	"6"	""	""	false
"II7(b5)"	""	18	1.0	"C"	"I"	""	"II"	""	"7"	"b5"	""	false
"II7(4)"	""	18	3.0	"C"	"I"	""	"II"	""	"7"	"4"	""	false
"ii%7"	""	19	1.0	"C"	"I"	""	"ii"	"%"	"7"	""	""	false
"viio65"	""	20	1.0	"C"	"I"	""	"vii"	"o"	"65"	""	""	false
"iv64"	""	21	1.0	"C"	"I"	""	"iv"	""	"64"	""	""	false
"viio7"	""	22	1.0	"C"	"I"	""	"vii"	"o"	"7"	""	""	false
"V65"	""	29	1.0	"C"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	30	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V7"	""	31	1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"V9"	""	33	3.0	"C"	"I"	""	"V"	""	"9"	""	""	false
"viio"	""	35	-2.0	"C"	"I"	""	"vii"	"o"	""	""	""	false
"I"	""	35	-1.0	"C"	"I"	""	"I"	""	""	""	""	false
"ii"	""	35	4.0	"C"	"I"	""	"ii"	""	""	""	""	false
"V7/ii"	""	36	1.0	"C"	"I"	""	"V"	""	"7"	""	"ii"	false
"#viio/ii"	""	41	-2.0	"C"	"I"	""	"#vii"	"o"	""	""	"ii"	false
"ii"	""	41	-1.0	"C"	"I"	""	"ii"	""	""	""	""	false
"V7/IV"	""	42	1.0	"C"	"I"	""	"V"	""	"7"	""	"IV"	false
"V7"	""	43	1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I[I6"	""	44	1.0	"C"	"I"	"I"	"I"	""	"6"	""	""	false
"IV"	""	45	1.0	"C"	"I"	"I"	"IV"	""	""	""	""	false
"viio6"	""	45	3.0	"C"	"I"	"I"	"vii"	"o"	"6"	""	""	false
"I"	""	46	1.0	"C"	"I"	"I"	"I"	""	""	""	""	false
"I6"	""	46	2.0	"C"	"I"	"I"	"I"	""	"6"	""	""	false
"IV"	""	47	1.0	"C"	"I"	"I"	"IV"	""	""	""	""	false
"viio6"	""	47	3.0	"C"	"I"	"I"	"vii"	"o"	"6"	""	""	false
"I]"	""	48	1.0	"C"	"I"	"I"	"I"	""	""	""	""	false
"V7/ii"	""	48	3.0	"C"	"I"	""	"V"	""	"7"	""	"ii"	false
"ii"	""	49	1.0	"C"	"I"	""	"ii"	""	""	""	""	false
"V7/ii"	""	49	3.0	"C"	"I"	""	"V"	""	"7"	""	"ii"	false
"ii64"	""	50	1.0	"C"	"I"	""	"ii"	""	"64"	""	""	false
"ii"	""	50	2.0	"C"	"I"	""	"ii"	""	""	""	""	false
"V64"	""	50	3.0	"C"	"I"	""	"V"	""	"64"	""	""	false
"V7"	""	50	4.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I64"	""	51	1.0	"C"	"I"	""	"I"	""	"64"	""	""	false
"I"	""	51	2.0	"C"	"I"	""	"I"	""	""	""	""	false
"IV"	""	51	3.0	"C"	"I"	""	"IV"	""	""	""	""	false
"V[I64"	""	52	1.0	"C"	"I"	"V"	"I"	""	"64"	""	""	false
"V7"	""	52	3.0	"C"	"I"	"V"	"V"	""	"7"	""	""	false
"I64"	""	53	1.0	"C"	"I"	"V"	"I"	""	"64"	""	""	false
"V7]"	""	53	4.0	"C"	"I"	"V"	"V"	""	"7"	""	""	false
"I"	""	54	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"I6"	""	54	2.0	"C"	"I"	""	"I"	""	"6"	""	""	false
"I64"	""	54	3.0	"C"	"I"	""	"I"	""	"64"	""	""	false
"I"	""	54	4.0	"C"	"I"	""	"I"	""	""	""	""	false
"IV"	""	55	1.0	"C"	"I"	""	"IV"	""	""	""	""	false
"IV6"	""	55	2.0	"C"	"I"	""	"IV"	""	"6"	""	""	false
"IV"	""	55	4.0	"C"	"I"	""	"IV"	""	""	""	""	false
"V(64)"	""	56	1.0	"C"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	56	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	57	1.0	"C"	"I"	""	"I"	""	""	""	""	true
"V7(6#4)"	""	58	-2.0	"C"	"I"	""	"V"	""	"7"	"6#4"	""	false
"V7"	""	58	-1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"V7"	""	59	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	60	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"I6"	""	60	3.0	"C"	"I"	""	"I"	""	"6"	""	""	false
"V43"	""	61	1.0	"C"	"I"	""	"V"	""	"43"	""	""	false
"V7"	""	61	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	62	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"I6"	""	62	3.0	"C"	"I"	""	"I"	""	"6"	""	""	false
"V43"	""	63	1.0	"C"	"I"	""	"V"	""	"43"	""	""	false
"V7"	""	63	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	64	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"I6"	""	66	3.0	"C"	"I"	""	"I"	""	"6"	""	""	false
"#viio7/V"	""	66	0.0	"C"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"ii(+2)"	""	67	1.0	"C"	"I"	""	"ii"	""	""	"+2"	""	false
