"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".C.I"	""	1	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V43"	""	1	3.0	"C"	"I"	""	"V"	""	"43"	""	""	false
"V7"	""	2	1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"#viio7/vi"	""	2	2.0	"C"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"vi"	""	2	3.0	"C"	"I"	""	"vi"	""	""	""	""	false
"ii65"	""	3	1.0	"C"	"I"	""	"ii"	""	"65"	""	""	false
"V65/V"	""	3	2.0	"C"	"I"	""	"V"	""	"65"	""	"V"	false
"V(+2)"	""	4	1.0	"C"	"I"	""	"V"	""	""	"+2"	""	false
"V"	""	4	1.5	"C"	"I"	""	"V"	""	""	""	""	false
"V7/V"	""	4	2.0	"C"	"I"	""	"V"	""	"7"	""	"V"	false
"V7"	""	4	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	5	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V43"	""	5	3.0	"C"	"I"	""	"V"	""	"43"	""	""	false
"V7"	""	6	1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"#viio7/vi"	""	6	2.0	"C"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"vi"	""	6	3.0	"C"	"I"	""	"vi"	""	""	""	""	false
"ii65"	""	7	1.0	"C"	"I"	""	"ii"	""	"65"	""	""	false
"V65/V"	""	7	2.0	"C"	"I"	""	"V"	""	"65"	""	"V"	false
"V7"	""	7	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	8	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V7(6)"	""	8	2.0	"C"	"I"	""	"V"	""	"7"	"6"	""	false
"V7"	""	8	2.75	"C"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	8	3.0	"C"	"I"	""	"I"	""	""	""	""	true
"I"	""	9	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V43"	""	9	3.0	"C"	"I"	""	"V"	""	"43"	""	""	false
"V7"	""	10	1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"#viio7/vi"	""	10	2.0	"C"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"vi"	""	10	3.0	"C"	"I"	""	"vi"	""	""	""	""	false
"ii65"	""	11	1.0	"C"	"I"	""	"ii"	""	"65"	""	""	false
"V65/V"	""	11	2.0	"C"	"I"	""	"V"	""	"65"	""	"V"	false
"V(+2)"	""	12	1.0	"C"	"I"	""	"V"	""	""	"+2"	""	false
"V"	""	12	1.5	"C"	"I"	""	"V"	""	""	""	""	false
"V7/V"	""	12	2.0	"C"	"I"	""	"V"	""	"7"	""	"V"	false
"V7"	""	12	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	13	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V43"	""	13	3.0	"C"	"I"	""	"V"	""	"43"	""	""	false
"V7"	""	14	1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"#viio7/vi"	""	14	2.0	"C"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"vi"	""	14	3.0	"C"	"I"	""	"vi"	""	""	""	""	false
"ii65"	""	15	1.0	"C"	"I"	""	"ii"	""	"65"	""	""	false
"V65/V"	""	15	2.0	"C"	"I"	""	"V"	""	"65"	""	"V"	false
"V7"	""	15	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	16	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V7(6)"	""	16	2.0	"C"	"I"	""	"V"	""	"7"	"6"	""	false
"V7"	""	16	2.75	"C"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	16	3.0	"C"	"I"	""	"I"	""	""	""	""	true
"V[V6"	""	17	1.0	"C"	"I"	"V"	"V"	""	"6"	""	""	false
"V2/V"	""	18	1.0	"C"	"I"	"V"	"V"	""	"2"	""	"V"	false
"V6"	""	19	1.0	"C"	"I"	"V"	"V"	""	"6"	""	""	false
"viio6"	""	19	2.0	"C"	"I"	"V"	"vii"	"o"	"6"	""	""	false
"I"	""	19	3.0	"C"	"I"	"V"	"I"	""	""	""	""	false
"V6]"	""	20	2.0	"C"	"I"	"V"	"V"	""	"6"	""	""	false
"I"	""	23	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V2"	""	24	1.0	"C"	"I"	""	"V"	""	"2"	""	""	false
"I6"	""	24	3.0	"C"	"I"	""	"I"	""	"6"	""	""	false
"V43"	""	25	1.0	"C"	"I"	""	"V"	""	"43"	""	""	false
"V"	""	25	2.0	"C"	"I"	""	"V"	""	""	""	""	false
"V65/V"	""	25	3.5	"C"	"I"	""	"V"	""	"65"	""	"V"	false
"V43/V"	""	26	1.0	"C"	"I"	""	"V"	""	"43"	""	"V"	false
"V"	""	26	2.5	"C"	"I"	""	"V"	""	""	""	""	false
"V2"	""	26	3.0	"C"	"I"	""	"V"	""	"2"	""	""	false
"V43"	""	26	3.5	"C"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	27	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V43"	""	27	3.0	"C"	"I"	""	"V"	""	"43"	""	""	false
"V7"	""	28	1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"#viio7/vi"	""	28	2.0	"C"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"vi"	""	28	3.0	"C"	"I"	""	"vi"	""	""	""	""	false
"ii65"	""	29	1.0	"C"	"I"	""	"ii"	""	"65"	""	""	false
"V65/V"	""	29	2.0	"C"	"I"	""	"V"	""	"65"	""	"V"	false
"V7"	""	29	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"V65/vi"	""	30	1.0	"C"	"I"	""	"V"	""	"65"	""	"vi"	false
"vi"	""	30	2.0	"C"	"I"	""	"vi"	""	""	""	""	false
"IV6"	""	30	3.5	"C"	"I"	""	"IV"	""	"6"	""	""	false
"V65"	""	31	1.0	"C"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	31	3.0	"C"	"I"	""	"I"	""	""	""	""	false
"IV64(42)"	""	32	1.0	"C"	"I"	""	"IV"	""	"64"	"42"	""	false
"IV"	""	32	1.5	"C"	"I"	""	"IV"	""	""	""	""	false
"V(64)"	""	32	2.0	"C"	"I"	""	"V"	""	""	"64"	""	false
"V7"	""	32	3.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"V2"	""	32	3.5	"C"	"I"	""	"V"	""	"2"	""	""	false
"I6"	""	33	1.0	"C"	"I"	""	"I"	""	"6"	""	""	false
"V2"	""	33	2.0	"C"	"I"	""	"V"	""	"2"	""	""	false
"V43"	""	34	1.0	"C"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	35	1.0	"C"	"I"	""	"I"	""	""	""	""	false
"V65"	""	35	2.0	"C"	"I"	""	"V"	""	"65"	""	""	false
"V65"	""	36	1.0	"C"	"I"	""	"V"	""	"65"	""	""	false
"V7"	""	36	2.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"V7"	""	37	1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	38	3.0	"C"	"I"	""	"I"	""	""	""	""	true
"IV.I"	""	39	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	41	2.5	"C"	"IV"	""	"I"	""	""	""	""	false
"V6"	""	41	3.0	"C"	"IV"	""	"V"	""	"6"	""	""	false
"V43"	""	41	3.5	"C"	"IV"	""	"V"	""	"43"	""	""	false
"I"	""	42	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	42	2.5	"C"	"IV"	""	"I"	""	""	""	""	false
"V6"	""	42	3.0	"C"	"IV"	""	"V"	""	"6"	""	""	false
"V43"	""	42	3.5	"C"	"IV"	""	"V"	""	"43"	""	""	false
"I"	""	43	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	43	2.5	"C"	"IV"	""	"I"	""	""	""	""	false
"V6"	""	43	3.0	"C"	"IV"	""	"V"	""	"6"	""	""	false
"V43/V"	""	43	3.5	"C"	"IV"	""	"V"	""	"43"	""	"V"	false
"V"	""	44	1.0	"C"	"IV"	""	"V"	""	""	""	""	false
"V"	""	45	1.0	"C"	"IV"	""	"V"	""	""	""	""	false
"V"	""	46	1.0	"C"	"IV"	""	"V"	""	""	""	""	false
"V64"	""	47	1.0	"C"	"IV"	""	"V"	""	"64"	""	""	false
"V64"	""	47	2.0	"C"	"IV"	""	"V"	""	"64"	""	""	false
"V7/V"	""	47	3.0	"C"	"IV"	""	"V"	""	"7"	""	"V"	false
"V"	""	48	1.0	"C"	"IV"	""	"V"	""	""	""	""	false
"V"	""	49	1.0	"C"	"IV"	""	"V"	""	""	""	""	false
"V"	""	50	1.0	"C"	"IV"	""	"V"	""	""	""	""	false
"V64"	""	51	1.0	"C"	"IV"	""	"V"	""	"64"	""	""	false
"V64"	""	51	2.0	"C"	"IV"	""	"V"	""	"64"	""	""	false
"V7/V"	""	51	3.0	"C"	"IV"	""	"V"	""	"7"	""	"V"	false
"V64"	""	52	1.0	"C"	"IV"	""	"V"	""	"64"	""	""	false
"V64"	""	52	2.0	"C"	"IV"	""	"V"	""	"64"	""	""	false
"V7/V"	""	52	3.0	"C"	"IV"	""	"V"	""	"7"	""	"V"	false
"V64"	""	53	1.0	"C"	"IV"	""	"V"	""	"64"	""	""	false
"V64"	""	53	2.0	"C"	"IV"	""	"V"	""	"64"	""	""	false
"V7/V"	""	53	3.0	"C"	"IV"	""	"V"	""	"7"	""	"V"	false
"V\\\\"	""	54	1.0	"C"	"IV"	""	"V"	""	""	""	""	true
"V/V"	""	54	3.0	"C"	"IV"	""	"V"	""	""	""	"V"	false
"V"	""	54	3.5	"C"	"IV"	""	"V"	""	""	""	""	false
"V\\\\"	""	55	1.0	"C"	"IV"	""	"V"	""	""	""	""	true
"V2"	""	55	3.0	"C"	"IV"	""	"V"	""	"2"	""	""	false
"V/vi"	""	56	1.0	"C"	"IV"	""	"V"	""	""	""	"vi"	false
"ii.V"	""	58	1.0	"C"	"ii"	""	"V"	""	""	""	""	false
"i"	""	58	2.5	"C"	"ii"	""	"i"	""	""	""	""	false
"V6"	""	58	3.0	"C"	"ii"	""	"V"	""	"6"	""	""	false
"V43"	""	58	3.5	"C"	"ii"	""	"V"	""	"43"	""	""	false
"i"	""	59	1.0	"C"	"ii"	""	"i"	""	""	""	""	false
"i"	""	59	2.5	"C"	"ii"	""	"i"	""	""	""	""	false
"VI6"	""	59	3.5	"C"	"ii"	""	"VI"	""	"6"	""	""	false
"iio"	""	60	1.0	"C"	"ii"	""	"ii"	"o"	""	""	""	false
"iio"	""	60	2.5	"C"	"ii"	""	"ii"	"o"	""	""	""	false
"VI6"	""	60	3.0	"C"	"ii"	""	"VI"	""	"6"	""	""	false
"VI43"	""	60	3.5	"C"	"ii"	""	"VI"	""	"43"	""	""	false
"iio"	""	61	1.0	"C"	"ii"	""	"ii"	"o"	""	""	""	false
"iio"	""	61	2.5	"C"	"ii"	""	"ii"	"o"	""	""	""	false
"V6/III"	""	61	3.0	"C"	"ii"	""	"V"	""	"6"	""	"III"	false
"V6/III"	""	61	3.5	"C"	"ii"	""	"V"	""	"6"	""	"III"	false
"IV.I"	""	62	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	62	2.5	"C"	"IV"	""	"I"	""	""	""	""	false
"V6"	""	62	3.0	"C"	"IV"	""	"V"	""	"6"	""	""	false
"V43"	""	62	3.5	"C"	"IV"	""	"V"	""	"43"	""	""	false
"I"	""	63	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	63	2.5	"C"	"IV"	""	"I"	""	""	""	""	false
"V6"	""	63	3.0	"C"	"IV"	""	"V"	""	"6"	""	""	false
"V43"	""	63	3.5	"C"	"IV"	""	"V"	""	"43"	""	""	false
"I"	""	64	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	64	2.5	"C"	"IV"	""	"I"	""	""	""	""	false
"V6"	""	64	3.0	"C"	"IV"	""	"V"	""	"6"	""	""	false
"V7"	""	64	3.5	"C"	"IV"	""	"V"	""	"7"	""	""	false
"I"	""	65	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	66	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	67	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"V(64)"	""	68	1.0	"C"	"IV"	""	"V"	""	""	"64"	""	false
"V7"	""	68	3.0	"C"	"IV"	""	"V"	""	"7"	""	""	false
"I"	""	69	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	70	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"I"	""	71	1.0	"C"	"IV"	""	"I"	""	""	""	""	false
"V(64)"	""	72	1.0	"C"	"IV"	""	"V"	""	""	"64"	""	false
"V7"	""	72	3.0	"C"	"IV"	""	"V"	""	"7"	""	""	false
"V(64)"	""	73	1.0	"C"	"IV"	""	"V"	""	""	"64"	""	false
"V7"	""	73	3.0	"C"	"IV"	""	"V"	""	"7"	""	""	false
"V(64)"	""	74	1.0	"C"	"IV"	""	"V"	""	""	"64"	""	false
"V7"	""	74	3.0	"C"	"IV"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	75	1.0	"C"	"IV"	""	"I"	""	""	""	""	true
"I\\\\"	""	76	1.0	"C"	"IV"	""	"I"	""	""	""	""	true
"I.V7"	""	77	1.0	"C"	"I"	""	"V"	""	"7"	""	""	false
"V2"	""	78	1.0	"C"	"I"	""	"V"	""	"2"	""	""	false
"i.i"	""	79	1.0	"C"	"i"	""	"i"	""	""	""	""	false
"iv"	""	80	1.0	"C"	"i"	""	"iv"	""	""	""	""	false
"V65(2)/III"	""	81	1.0	"C"	"i"	""	"V"	""	"65"	"2"	"III"	false
"V65/III"	""	81	2.0	"C"	"i"	""	"V"	""	"65"	""	"III"	false
"V7/III"	""	82	1.0	"C"	"i"	""	"V"	""	"7"	""	"III"	false
"III"	""	83	1.0	"C"	"i"	""	"III"	""	""	""	""	false
"VI(7)"	""	84	1.0	"C"	"i"	""	"VI"	""	""	"7"	""	false
"VI"	""	84	2.0	"C"	"i"	""	"VI"	""	""	""	""	false
"iv"	""	85	1.0	"C"	"i"	""	"iv"	""	""	""	""	false
"iio"	""	86	1.0	"C"	"i"	""	"ii"	"o"	""	""	""	false
"iio"	""	87	1.0	"C"	"i"	""	"ii"	"o"	""	""	""	false
"#viio7"	""	88	1.0	"C"	"i"	""	"#vii"	"o"	"7"	""	""	false
"#viio2"	""	88	3.0	"C"	"i"	""	"#vii"	"o"	"2"	""	""	false
"V"	""	89	1.0	"C"	"i"	""	"V"	""	""	""	""	false
"i"	""	89	3.0	"C"	"i"	""	"i"	""	""	""	""	false
"i"	""	90	1.0	"C"	"i"	""	"i"	""	""	""	""	false
"V"	""	91	1.0	"C"	"i"	""	"V"	""	""	""	""	false
"i64"	""	91	3.0	"C"	"i"	""	"i"	""	"64"	""	""	false
"i"	""	92	1.0	"C"	"i"	""	"i"	""	""	""	""	false
"V(64)"	""	93	1.0	"C"	"i"	""	"V"	""	""	"64"	""	false
"V"	""	93	2.0	"C"	"i"	""	"V"	""	""	""	""	false
".It6"	""	93	3.0	"C"	"i"	""	"It"	""	"6"	""	""	false
"#viio65/V"	""	94	1.0	"C"	"i"	""	"#vii"	"o"	"65"	""	"V"	false
"iv6"	""	94	2.0	"C"	"i"	""	"iv"	""	"6"	""	""	false
"V65"	""	94	3.0	"C"	"i"	""	"V"	""	"65"	""	""	false
"V65"	""	95	1.0	"C"	"i"	""	"V"	""	"65"	""	""	false
"V43"	""	96	1.0	"C"	"i"	""	"V"	""	"43"	""	""	false
"V"	""	96	2.0	"C"	"i"	""	"V"	""	""	""	""	false
