mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5		0	0	3/4	4	1	1/8		1/8	1		-3	51	Eb3	3	9
1	1	0	0	0.5		0	0	3/4	1	1	1/8		1/8	1		1	55	G3	3	0
1	1	0	0	0.5		0	0	3/4	3	1	1/8		1/8	1		-2	58	Bb3	3	6
1	1	0	0	0.5		0	0	3/4	1	1	1/8		1/8	1		-3	63	Eb4	4	0
1	1	0	0	0.5		0	0	3/4	3	1	1/8		1/8	1		-3	63	Eb4	4	6
1	1	0	0	0.5		0	0	3/4	2	1	1/8		1/8	1		1	67	G4	4	3
1	1	0	0	0.5		0	0	3/4	2	1	1/8		1/8	1		-2	70	Bb4	4	3
1	1	0	0	0.5		0	0	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	0
1	1	1	1	0.5		1/4	1/4	3/4	4	1	1/8		1/8	1		-2	46	Bb2	2	10
1	1	1	1	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		-2	58	Bb3	3	1
1	1	1	1	0.5		1/4	1/4	3/4	3	1	1/8		1/8	1		-2	58	Bb3	3	7
1	1	1	1	0.5		1/4	1/4	3/4	3	1	1/8		1/8	1		2	62	D4	4	7
1	1	1	1	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		-1	65	F4	4	1
1	1	1	1	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		-1	65	F4	4	4
1	1	1	1	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		-2	70	Bb4	4	4
1	1	1	1	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	1
1	1	2	2	0.5		1/2	1/2	3/4	4	1	1/8		1/8	1		-3	51	Eb3	3	11
1	1	2	2	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		-2	58	Bb3	3	2
1	1	2	2	0.5		1/2	1/2	3/4	3	1	1/8		1/8	1		-2	58	Bb3	3	8
1	1	2	2	0.5		1/2	1/2	3/4	3	1	1/8		1/8	1		-3	63	Eb4	4	8
1	1	2	2	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	G4	4	2
1	1	2	2	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		1	67	G4	4	5
1	1	2	2	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		-2	70	Bb4	4	5
1	1	2	2	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	2
2	2	3	3	1.0		0	0	3/4	4	1	1/4		1/4	1		-2	46	Bb2	2	15
2	2	3	3	1.0		0	0	3/4	3	1	1/4		1/4	1		-2	58	Bb3	3	14
2	2	3	3	1.0		0	0	3/4	1	1	1/4		1/4	1		2	62	D4	4	12
2	2	3	3	1.0		0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	13
2	2	3	3	1.0		0	0	3/4	3	1	1/4		1/4	1		2	62	D4	4	14
2	2	3	3	1.0		0	0	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	12
2	2	3	3	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	70	Bb4	4	13
2	2	3	3	1.0		0	0	3/4	1	1	1/4		1/4	1		-1	77	F5	5	12
2	2	19/4	19/4	0.25		7/16	7/16	3/4	4	1	1/16		1/16	1		-2	46	Bb2	2	16
2	2	5	5	0.5		1/2	1/2	3/4	4	1	1/8		1/8	1		0	48	C3	3	17
2	2	23/4	23/4	0.25		11/16	11/16	3/4	4	1	1/16		1/16	1		-3	51	Eb3	3	18
3	3	6	6	1.0		0	0	3/4	4	1	1/4		1/4	1		2	50	D3	3	19
3	3	31/4	31/4	0.25		7/16	7/16	3/4	4	1	1/16		1/16	1		2	50	D3	3	20
3	3	8	8	0.5		1/2	1/2	3/4	4	1	1/8		1/8	1		-3	51	Eb3	3	21
3	3	35/4	35/4	0.25		11/16	11/16	3/4	4	1	1/16		1/16	1		1	55	G3	3	22
4	4	9	9	1.0		0	0	3/4	4	1	1/4		1/4	1		-1	53	F3	3	23
4	4	43/4	43/4	0.25		7/16	7/16	3/4	4	1	1/16		1/16	1		-1	53	F3	3	24
4	4	11	11	0.5		1/2	1/2	3/4	4	1	1/8		1/8	1		1	55	G3	3	25
4	4	47/4	47/4	0.25		11/16	11/16	3/4	4	1	1/16		1/16	1		-2	58	Bb3	3	26
5	5	12	12	2.0		0	0	3/4	4	1	1/2		1/2	1		3	57	A3	3	27
5	5	14	14	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		-2	58	Bb3	3	28
6	6	15	15	1.0		0	0	3/4	4	1	1/4		1/4	1		0	60	C4	4	32
6	6	16	16	1.0		1/4	1/4	3/4	4	1	1/4		1/4	1		2	50	D3	3	33
6	6	67/4	67/4	0.25		7/16	7/16	3/4	3	1	1/16		1/16	1		0	72	C5	5	29
6	6	17	17	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		4	52	E3	3	34
6	6	17	17	0.5		1/2	1/2	3/4	3	1	1/8		1/8	1		-2	70	Bb4	4	30
6	6	71/4	71/4	0.25		11/16	11/16	3/4	3	1	1/16		1/16	1		1	67	G4	4	31
7	7	18	18	2.0		0	0	3/4	4	1	1/2		1/2	1		-1	53	F3	3	39
7	7	18	18	1.0		0	0	3/4	3	1	1/4		1/4	1		-4	68	Ab4	4	35
7	7	79/4	79/4	0.25		7/16	7/16	3/4	3	1	1/16		1/16	1		-4	68	Ab4	4	36
7	7	20	20	1.0		1/2	1/2	3/4	4	1	1/4		1/4	1		1	55	G3	3	40
7	7	20	20	0.5		1/2	1/2	3/4	3	1	1/8		1/8	1		1	67	G4	4	37
7	7	83/4	83/4	0.25		11/16	11/16	3/4	3	1	1/16		1/16	1		4	64	E4	4	38
8	8	21	21	2.0		0	0	3/4	4	1	1/2		1/2	1		-4	56	Ab3	3	45
8	8	21	21	1.0		0	0	3/4	3	1	1/4		1/4	1		-1	65	F4	4	41
8	8	91/4	91/4	0.25		7/16	7/16	3/4	3	1	1/16		1/16	1		-1	65	F4	4	42
