quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
0	0.25	1	1	0	0	4/4	4	1	1/16		1/16	1		-1	41	30
0	0.25	1	1	0	0	4/4	3	1	1/16		1/16	1		-1	53	20
0	0.25	1	1	0	0	4/4	1	1	1/16		1/16	1		-1	65	0
0	0.25	1	1	0	0	4/4	2	1	1/16		1/16	1		-1	65	10
1/4	0.25	1	1	1/16	1/16	4/4	4	1	1/16		1/16	1		1	43	31
1/4	0.25	1	1	1/16	1/16	4/4	3	1	1/16		1/16	1		1	55	21
1/4	0.25	1	1	1/16	1/16	4/4	1	1	1/16		1/16	1		1	67	1
1/4	0.25	1	1	1/16	1/16	4/4	2	1	1/16		1/16	1		1	67	11
1/2	0.25	1	1	1/8	1/8	4/4	4	1	1/16		1/16	1		-4	44	32
1/2	0.25	1	1	1/8	1/8	4/4	3	1	1/16		1/16	1		-4	56	22
1/2	0.25	1	1	1/8	1/8	4/4	1	1	1/16		1/16	1		-4	68	2
1/2	0.25	1	1	1/8	1/8	4/4	2	1	1/16		1/16	1		-4	68	12
3/4	0.25	1	1	3/16	3/16	4/4	4	1	1/16		1/16	1		1	43	33
3/4	0.25	1	1	3/16	3/16	4/4	3	1	1/16		1/16	1		1	55	23
3/4	0.25	1	1	3/16	3/16	4/4	1	1	1/16		1/16	1		1	67	3
3/4	0.25	1	1	3/16	3/16	4/4	2	1	1/16		1/16	1		1	67	13
1	0.5	1	1	1/4	1/4	4/4	4	1	1/8		1/8	1		-1	41	34
1	0.5	1	1	1/4	1/4	4/4	3	1	1/8		1/8	1		-1	53	24
1	0.5	1	1	1/4	1/4	4/4	1	1	1/8		1/8	1		-1	65	4
1	0.5	1	1	1/4	1/4	4/4	2	1	1/8		1/8	1		-1	65	14
3/2	0.5	1	1	3/8	3/8	4/4	4	1	1/8		1/8	1		-3	39	35
3/2	0.5	1	1	3/8	3/8	4/4	3	1	1/8		1/8	1		-3	51	25
3/2	0.5	1	1	3/8	3/8	4/4	1	1	1/8		1/8	1		-3	63	5
3/2	0.5	1	1	3/8	3/8	4/4	2	1	1/8		1/8	1		-3	63	15
2	0.5	1	1	1/2	1/2	4/4	4	1	1/8		1/8	1		-5	37	36
2	0.5	1	1	1/2	1/2	4/4	3	1	1/8		1/8	1		-5	49	26
