quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
0	2.0	1	1	0	0	3/4	4	1	1/2	1/2	1		0	60		15
0	2.0	1	1	0	0	3/4	3	1	1/2	1/2	1		4	64		10
0	2.0	1	1	0	0	3/4	2	1	1/2	1/2	1		1	67		5
0	2.0	1	1	0	0	3/4	1	1	1/2	1/2	1		0	72		0
2	0.25	1	1	1/2	1/2	3/4	4	1	1/16	1/16	1		2	62		16
2	0.25	1	1	1/2	1/2	3/4	3	1	1/16	1/16	1		-1	65		11
2	0.25	1	1	1/2	1/2	3/4	2	1	1/16	1/16	1		1	67		6
2	0.25	1	1	1/2	1/2	3/4	1	1	1/16	1/16	1		5	71		1
9/4	0.25	1	1	9/16	9/16	3/4	4	1	1/16	1/16	1		0	60		17
9/4	0.25	1	1	9/16	9/16	3/4	3	1	1/16	1/16	1		4	64		12
9/4	0.25	1	1	9/16	9/16	3/4	2	1	1/16	1/16	1		3	69		7
9/4	0.25	1	1	9/16	9/16	3/4	1	1	1/16	1/16	1		0	72		2
5/2	0.25	1	1	5/8	5/8	3/4	4	1	1/16	1/16	1		5	59		18
5/2	0.25	1	1	5/8	5/8	3/4	3	1	1/16	1/16	1		2	62		13
5/2	0.25	1	1	5/8	5/8	3/4	2	1	1/16	1/16	1		5	71		8
5/2	0.25	1	1	5/8	5/8	3/4	1	1	1/16	1/16	1		2	74		3
11/4	0.25	1	1	11/16	11/16	3/4	4	1	1/16	1/16	1		3	57		19
11/4	0.25	1	1	11/16	11/16	3/4	3	1	1/16	1/16	1		0	60		14
11/4	0.25	1	1	11/16	11/16	3/4	2	1	1/16	1/16	1		0	72		9
11/4	0.25	1	1	11/16	11/16	3/4	1	1	1/16	1/16	1		4	76		4
3	1.0	2	2	0	0	3/4	4	1	1/4	1/4	1		1	55		26
3	2.0	2	2	0	0	3/4	3	1	1/2	1/2	1		5	59		24
3	2.0	2	2	0	0	3/4	2	1	1/2	1/2	1		2	74		22
3	2.0	2	2	0	0	3/4	1	1	1/2	1/2	1		-1	77		20
4	1.0	2	2	1/4	1/4	3/4	4	1	1/4	1/4	1		8	56		27
5	1.0	2	2	1/2	1/2	3/4	4	1	1/4	1/4	1		3	57		28
5	1.0	2	2	1/2	1/2	3/4	3	1	1/4	1/4	1		0	60		25
5	1.0	2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		0	72		23
5	1.0	2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		21
6	1.0	3	3	0	0	3/4	4	1	1/4	1/4	1		-1	53		35
6	2.0	3	3	0	0	3/4	3	1	1/2	1/2	1		0	60		33
6	2.0	3	3	0	0	3/4	2	1	1/2	1/2	1		0	72		31
6	2.0	3	3	0	0	3/4	1	1	1/2	1/2	1		2	74		29
7	2.0	3	3	1/4	1/4	3/4	4	1	1/2	1/2	1		6	54		36
8	1.0	3	3	1/2	1/2	3/4	3	1	1/4	1/4	1		2	62		34
8	1.0	3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		0	72		32
8	1.0	3	3	1/2	1/2	3/4	1	1	1/4	1/4	1	1	3	81		30
9	1.0	4	4	0	0	3/4	4	1	1/4	1/4	1		1	55		51
9	1.0	4	4	0	0	3/4	3	1	1/4	1/4	1		2	62		46
9	1.0	4	4	0	0	3/4	2	1	1/4	1/4	1		5	71		43
9	0.5	4	4	0	0	3/4	1	1	1/8	1/8	1	-1	3	81		37
19/2	1.0	4	4	1/8	1/8	3/4	1	1	1/4	1/4	1		1	79		38
10	1.0	4	4	1/4	1/4	3/4	4	1	1/4	1/4	1		2	50		52
10	1.0	4	4	1/4	1/4	3/4	3	1	1/4	1/4	1		0	60		47
10	1.0	4	4	1/4	1/4	3/4	2	1	1/4	1/4	1		3	69		44
21/2	0.5	4	4	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78		39
11	1.0	4	4	1/2	1/2	3/4	4	1	1/4	1/4	1		1	55		53
11	0.3333333333333333	4	4	1/2	1/2	3/4	3	1	1/12	1/8	2/3		5	59		48
11	1.0	4	4	1/2	1/2	3/4	2	1	1/4	1/4	1	1	1	67		45
11	0.3333333333333333	4	4	1/2	1/2	3/4	1	1	1/12	1/8	2/3		1	79		40
34/3	0.3333333333333333	4	4	7/12	7/12	3/4	3	1	1/12	1/8	2/3		2	62		49
34/3	0.3333333333333333	4	4	7/12	7/12	3/4	1	1	1/12	1/8	2/3		-1	77		41
35/3	0.3333333333333333	4	4	2/3	2/3	3/4	3	1	1/12	1/8	2/3		1	67		50
35/3	0.3333333333333333	4	4	2/3	2/3	3/4	1	1	1/12	1/8	2/3		2	74		42
12	2.0	5	5	0	0	3/4	4	1	1/2	1/2	1		0	60		75
12	2.0	5	5	0	0	3/4	3	1	1/2	1/2	1		4	64		70
12	0.5	5	5	0	0	3/4	2	1	1/8	1/8	1	-1	1	67		59
12	2.0	5	5	0	0	3/4	1	1	1/2	1/2	1		0	72		54
25/2	0.25	5	5	1/8	1/8	3/4	2	1	1/16	1/16	1		1	67		60
51/4	0.25	5	5	3/16	3/16	3/4	2	1	1/16	1/16	1		3	69		61
13	0.25	5	5	1/4	1/4	3/4	2	1	1/16	1/16	1		1	67		62
53/4	0.25	5	5	5/16	5/16	3/4	2	1	1/16	1/16	1		3	69		63
27/2	0.25	5	5	3/8	3/8	3/4	2	1	1/16	1/16	1		1	67		64
55/4	0.25	5	5	7/16	7/16	3/4	2	1	1/16	1/16	1		3	69		65
14	0.25	5	5	1/2	1/2	3/4	4	1	1/16	1/16	1		2	62		76
14	0.25	5	5	1/2	1/2	3/4	3	1	1/16	1/16	1		-1	65		71
14	0.25	5	5	1/2	1/2	3/4	2	1	1/16	1/16	1		1	67		66
14	0.25	5	5	1/2	1/2	3/4	1	1	1/16	1/16	1		5	71		55
57/4	0.25	5	5	9/16	9/16	3/4	4	1	1/16	1/16	1		0	60		77
57/4	0.25	5	5	9/16	9/16	3/4	3	1	1/16	1/16	1		4	64		72
57/4	0.25	5	5	9/16	9/16	3/4	2	1	1/16	1/16	1		3	69		67
57/4	0.25	5	5	9/16	9/16	3/4	1	1	1/16	1/16	1		0	72		56
29/2	0.25	5	5	5/8	5/8	3/4	4	1	1/16	1/16	1		5	59		78
29/2	0.25	5	5	5/8	5/8	3/4	3	1	1/16	1/16	1		2	62		73
29/2	0.25	5	5	5/8	5/8	3/4	2	1	1/16	1/16	1		5	71		68
29/2	0.25	5	5	5/8	5/8	3/4	1	1	1/16	1/16	1		2	74		57
59/4	0.25	5	5	11/16	11/16	3/4	4	1	1/16	1/16	1		3	57		79
59/4	0.25	5	5	11/16	11/16	3/4	3	1	1/16	1/16	1		0	60		74
59/4	0.25	5	5	11/16	11/16	3/4	2	1	1/16	1/16	1		0	72		69
59/4	0.25	5	5	11/16	11/16	3/4	1	1	1/16	1/16	1		4	76		58
15	1.0	6	6	0	0	3/4	4	1	1/4	1/4	1		1	55		86
15	2.0	6	6	0	0	3/4	3	1	1/2	1/2	1		5	59		84
15	2.0	6	6	0	0	3/4	2	1	1/2	1/2	1		2	74		82
15	2.0	6	6	0	0	3/4	1	1	1/2	1/2	1		-1	77		80
16	1.0	6	6	1/4	1/4	3/4	4	1	1/4	1/4	1		8	56		87
17	1.0	6	6	1/2	1/2	3/4	4	1	1/4	1/4	1		3	57		88
17	1.0	6	6	1/2	1/2	3/4	3	1	1/4	1/4	1		0	60		85
17	1.0	6	6	1/2	1/2	3/4	2	1	1/4	1/4	1		0	72		83
17	1.0	6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		81
18	1.0	7	7	0	0	3/4	4	1	1/4	1/4	1		-1	53		99
18	1.0	7	7	0	0	3/4	3	1	1/4	1/4	1		0	60		95
18	2.0	7	7	0	0	3/4	2	1	1/2	1/2	1		0	72		93
18	1.5	7	7	0	0	3/4	1	1	3/8	1/4	3/2		2	74		89
19	1.0	7	7	1/4	1/4	3/4	4	1	1/4	1/4	1		6	54		100
19	1.5	7	7	1/4	1/4	3/4	3	1	3/8	1/4	3/2		2	62		96
39/2	0.5	7	7	3/8	3/8	3/4	1	1	1/8	1/8	1		3	81		90
20	1.0	7	7	1/2	1/2	3/4	4	1	1/4	1/4	1		1	55		101
20	1.0	7	7	1/2	1/2	3/4	2	1	1/4	1/4	1		5	71		94
20	0.5	7	7	1/2	1/2	3/4	1	1	1/8	1/8	1		1	79		91
