mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.75	0	0	4/4	1	1	3/16		1/8	3/2		4	64	E4	4	0
1	1	3/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		3	69	A4	4	1
1	1	1	1.0	1/4	1/4	4/4	4	1	1/4		1/4	1	1	3	45	A2	2	19
1	1	1	0.75	1/4	1/4	4/4	3	1	3/16		1/8	3/2		4	52	E3	3	13
1	1	1	0.75	1/4	1/4	4/4	2	1	3/16		1/8	3/2		7	61	C#4	4	7
1	1	1	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1	1	7	73	C#5	5	2
1	1	7/4	0.25	7/16	7/16	4/4	3	1	1/16		1/16	1		3	57	A3	3	14
1	1	7/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		4	64	E4	4	8
1	1	2	0.75	1/2	1/2	4/4	4	1	3/16		1/8	3/2	-1	3	45	A2	2	20
1	1	2	0.75	1/2	1/2	4/4	3	1	3/16		1/8	3/2		7	61	C#4	4	15
1	1	2	0.75	1/2	1/2	4/4	2	1	3/16		1/8	3/2		3	69	A4	4	9
1	1	2	0.75	1/2	1/2	4/4	1	1	3/16		1/8	3/2	-1	7	73	C#5	5	3
1	1	11/4	0.25	11/16	11/16	4/4	4	1	1/16		1/16	1		7	49	C#3	3	21
1	1	11/4	0.25	11/16	11/16	4/4	2	1	1/16		1/16	1		4	64	E4	4	10
1	1	11/4	0.25	11/16	11/16	4/4	3	1	1/16		1/16	1		4	64	E4	4	16
1	1	11/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		3	69	A4	4	4
1	1	3	0.5	3/4	3/4	4/4	4	1	1/8		1/8	1		5	47	B2	2	22
1	1	3	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		2	62	D4	4	17
1	1	3	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		8	68	G#4	4	11
1	1	3	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4	5
1	1	15/4	0.25	15/16	15/16	4/4	4	1	1/16		1/16	1		3	45	A2	2	23
1	1	15/4	0.25	15/16	15/16	4/4	3	1	1/16		1/16	1		4	52	E3	3	18
1	1	15/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		7	61	C#4	4	12
1	1	15/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		3	69	A4	4	12
1	1	15/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		7	73	C#5	5	6
2	2	4	0.5	0	0	4/4	4	1	1/8		1/8	1		8	44	G#2	2	30
2	2	4	0.5	0	0	4/4	3	1	1/8		1/8	1		4	52	E3	3	28
2	2	4	0.5	0	0	4/4	2	1	1/8		1/8	1		5	59	B3	3	26
2	2	4	0.5	0	0	4/4	1	1	1/8		1/8	1		2	74	D5	5	24
2	2	5	0.5	1/4	1/4	4/4	4	1	1/8		1/8	1		3	45	A2	2	31
2	2	5	0.5	1/4	1/4	4/4	3	1	1/8		1/8	1		4	52	E3	3	29
2	2	5	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		3	57	A3	3	27
2	2	5	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		7	73	C#5	5	25
3	3	8	0.75	0	0	4/4	4	1	3/16		1/8	3/2		3	45	A2	2	52
3	3	8	0.75	0	0	4/4	3	1	3/16		1/8	3/2		3	57	A3	3	45
3	3	8	0.75	0	0	4/4	1	1	3/16		1/8	3/2		3	69	A4	4	32
3	3	35/4	0.25	3/16	3/16	4/4	4	1	1/16		1/16	1		4	40	E2	2	53
3	3	35/4	0.25	3/16	3/16	4/4	3	1	1/16		1/16	1		4	52	E3	3	46
3	3	35/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		7	73	C#5	5	33
3	3	9	1.0	1/4	1/4	4/4	4	1	1/4		1/4	1	1	7	37	C#2	2	54
3	3	9	1.0	1/4	1/4	4/4	3	1	1/4		1/4	1	1	7	49	C#3	3	47
3	3	9	0.75	1/4	1/4	4/4	2	1	3/16		1/8	3/2		3	57	A3	3	39
3	3	9	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1	1	4	76	E5	5	34
3	3	39/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		7	61	C#4	4	40
3	3	10	0.75	1/2	1/2	4/4	4	1	3/16		1/8	3/2	-1	7	37	C#2	2	55
3	3	10	0.75	1/2	1/2	4/4	3	1	3/16		1/8	3/2	-1	7	49	C#3	3	48
3	3	10	0.75	1/2	1/2	4/4	2	1	3/16		1/8	3/2		4	64	E4	4	41
3	3	10	0.75	1/2	1/2	4/4	1	1	3/16		1/8	3/2	-1	4	76	E5	5	35
3	3	43/4	0.25	11/16	11/16	4/4	4	1	1/16		1/16	1		3	45	A2	2	56
3	3	43/4	0.25	11/16	11/16	4/4	3	1	1/16		1/16	1		3	57	A3	3	49
3	3	43/4	0.25	11/16	11/16	4/4	2	1	1/16		1/16	1		7	61	C#4	4	42
3	3	43/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		7	73	C#5	5	36
3	3	11	0.5	3/4	3/4	4/4	4	1	1/8		1/8	1		6	42	F#2	2	57
3	3	11	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		6	54	F#3	3	50
3	3	11	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		3	69	A4	4	43
3	3	11	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5	37
3	3	47/4	0.25	15/16	15/16	4/4	4	1	1/16		1/16	1		2	38	D2	2	58
