mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.5		0	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	0
1	0	1/2	0.5		1/8	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	1
1	0	1	0.5		1/4	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	2
2	1	3/2	1.0		0	0	3/4	4	1	1/4	1/4	1		0	36	C2	2	19
2	1	3/2	1.0		0	0	3/4	4	1	1/4	1/4	1		0	48	C3	3	19
2	1	3/2	0.5		0	0	3/4	3	1	1/8	1/8	1		0	60	C4	4	13
2	1	3/2	1.5		0	0	3/4	1	1	3/8	1/4	3/2		0	60	C4	4	3
2	1	3/2	0.5		0	0	3/4	2	1	1/8	1/8	1		-3	63	Eb4	4	7
2	1	2	0.5		1/8	1/8	3/4	3	1	1/8	1/8	1		2	62	D4	4	14
2	1	2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	8
2	1	5/2	0.5		1/4	1/4	3/4	3	1	1/8	1/8	1		-3	63	Eb4	4	15
2	1	5/2	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		1	67	G4	4	9
2	1	3	0.5		3/8	3/8	3/4	3	1	1/8	1/8	1		-1	65	F4	4	16
2	1	3	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		-4	68	Ab4	4	10
2	1	3	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	4
2	1	7/2	0.5		1/2	1/2	3/4	3	1	1/8	1/8	1		-3	63	Eb4	4	17
2	1	7/2	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		1	67	G4	4	11
2	1	7/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	5
2	1	4	0.5		5/8	5/8	3/4	3	1	1/8	1/8	1		2	62	D4	4	18
2	1	4	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	12
2	1	4	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	6
3	2	9/2	1.0		0	0	3/4	4	1	1/4	1/4	1		0	36	C2	2	36
3	2	9/2	1.0		0	0	3/4	4	1	1/4	1/4	1		0	48	C3	3	36
3	2	9/2	0.5		0	0	3/4	3	1	1/8	1/8	1		0	60	C4	4	30
3	2	9/2	0.5		0	0	3/4	2	1	1/8	1/8	1		-3	63	Eb4	4	24
3	2	9/2	1.5		0	0	3/4	1	1	3/8	1/4	3/2		-3	63	Eb4	4	20
3	2	5	0.5		1/8	1/8	3/4	3	1	1/8	1/8	1		2	62	D4	4	31
3	2	5	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	25
3	2	11/2	0.5		1/4	1/4	3/4	3	1	1/8	1/8	1		-3	63	Eb4	4	32
3	2	11/2	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		1	67	G4	4	26
3	2	6	0.5		3/8	3/8	3/4	3	1	1/8	1/8	1		-1	65	F4	4	33
3	2	6	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		-4	68	Ab4	4	27
3	2	6	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	21
3	2	13/2	0.5		1/2	1/2	3/4	3	1	1/8	1/8	1		-3	63	Eb4	4	34
3	2	13/2	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		1	67	G4	4	28
3	2	13/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	22
3	2	7	0.5		5/8	5/8	3/4	3	1	1/8	1/8	1		2	62	D4	4	35
3	2	7	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	29
3	2	7	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	23
4	3	15/2	1.0		0	0	3/4	4	1	1/4	1/4	1		0	36	C2	2	52
4	3	15/2	1.0		0	0	3/4	4	1	1/4	1/4	1		0	48	C3	3	52
4	3	15/2	0.5		0	0	3/4	3	1	1/8	1/8	1		0	60	C4	4	46
4	3	15/2	0.5		0	0	3/4	2	1	1/8	1/8	1		-3	63	Eb4	4	40
4	3	15/2	1.0		0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	37
4	3	8	0.5		1/8	1/8	3/4	3	1	1/8	1/8	1		2	62	D4	4	47
4	3	8	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	41
4	3	17/2	1.0		1/4	1/4	3/4	4	1	1/4	1/4	1		0	36	C2	2	53
4	3	17/2	1.0		1/4	1/4	3/4	4	1	1/4	1/4	1		0	48	C3	3	53
4	3	17/2	0.5		1/4	1/4	3/4	3	1	1/8	1/8	1		-3	63	Eb4	4	48
4	3	17/2	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		1	67	G4	4	42
4	3	17/2	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		0	84	C6	6	38
4	3	9	0.5		3/8	3/8	3/4	3	1	1/8	1/8	1		-1	65	F4	4	49
4	3	9	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		-4	68	Ab4	4	43
4	3	19/2	1.0		1/2	1/2	3/4	4	1	1/4	1/4	1		0	36	C2	2	54
4	3	19/2	1.0		1/2	1/2	3/4	4	1	1/4	1/4	1		0	48	C3	3	54
4	3	19/2	0.5		1/2	1/2	3/4	3	1	1/8	1/8	1		6	66	F#4	4	50
4	3	19/2	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		3	69	A4	4	44
