quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
0	1.0	1	1	0	0	3/4	4	1	1/4		1/4	1		-1	41	3
0	3.0	1	1	0	0	3/4	3	1	3/4		1/2	3/2		3	57	2
0	3.0	1	1	0	0	3/4	2	1	3/4		1/2	3/2	1	0	60	1
0	3.0	1	1	0	0	3/4	1	1	3/4		1/2	3/2	1	-1	65	0
1	1.0	1	1	1/4	1/4	3/4	4	1	1/4		1/4	1		3	45	4
2	1.0	1	1	1/2	1/2	3/4	4	1	1/4		1/4	1		-2	46	5
3	2.0	2	2	0	0	3/4	4	1	1/2		1/2	1		0	48	13
3	2.0	2	2	0	0	3/4	3	1	1/2		1/2	1		1	55	11
3	2.0	2	2	0	0	3/4	2	1	1/2		1/2	1	-1	0	60	9
3	1.0	2	2	0	0	3/4	1	1	1/4		1/4	1	-1	-1	65	6
4	1.0	2	2	1/4	1/4	3/4	1	1	1/4		1/4	1		4	64	7
5	0.5	2	2	1/2	1/2	3/4	4	1	1/8		1/8	1		-2	46	14
5	1.0	2	2	1/2	1/2	3/4	3	1	1/4		1/4	1		0	60	12
5	1.0	2	2	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	10
5	1.0	2	2	1/2	1/2	3/4	1	1	1/4		1/4	1		6	66	8
11/2	0.5	2	2	5/8	5/8	3/4	4	1	1/8		1/8	1		3	45	15
6	1.0	3	3	0	0	3/4	4	1	1/4		1/4	1		1	43	19
6	3.0	3	3	0	0	3/4	3	1	3/4		1/2	3/2		-2	58	18
6	3.0	3	3	0	0	3/4	2	1	3/4		1/2	3/2	1	2	62	17
6	3.0	3	3	0	0	3/4	1	1	3/4		1/2	3/2	1	1	67	16
7	1.0	3	3	1/4	1/4	3/4	4	1	1/4		1/4	1		-2	46	20
8	1.0	3	3	1/2	1/2	3/4	4	1	1/4		1/4	1		0	48	21
9	2.0	4	4	0	0	3/4	4	1	1/2		1/2	1		2	50	29
9	2.0	4	4	0	0	3/4	3	1	1/2		1/2	1		3	57	27
9	2.0	4	4	0	0	3/4	2	1	1/2		1/2	1	-1	2	62	25
9	1.0	4	4	0	0	3/4	1	1	1/4		1/4	1	-1	1	67	22
10	1.0	4	4	1/4	1/4	3/4	1	1	1/4		1/4	1		6	66	23
11	0.5	4	4	1/2	1/2	3/4	4	1	1/8		1/8	1		0	48	30
11	1.0	4	4	1/2	1/2	3/4	3	1	1/4		1/4	1		2	62	28
11	1.0	4	4	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	26
11	1.0	4	4	1/2	1/2	3/4	1	1	1/4		1/4	1		8	68	24
23/2	0.5	4	4	5/8	5/8	3/4	4	1	1/8		1/8	1		5	47	31
12	1.0	5	5	0	0	3/4	4	1	1/4		1/4	1		3	45	38
12	2.0	5	5	0	0	3/4	3	1	1/2		1/2	1		0	60	36
12	2.0	5	5	0	0	3/4	2	1	1/2		1/2	1		4	64	34
12	2.0	5	5	0	0	3/4	1	1	1/2		1/2	1		3	69	32
13	1.0	5	5	1/4	1/4	3/4	4	1	1/4		1/4	1		0	48	39
14	1.0	5	5	1/2	1/2	3/4	4	1	1/4		1/4	1		4	52	40
14	1.0	5	5	1/2	1/2	3/4	3	1	1/4		1/4	1	1	4	64	37
14	1.0	5	5	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68	35
14	1.0	5	5	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	33
15	1.0	6	6	0	0	3/4	4	1	1/4		1/4	1		3	57	44
15	1.0	6	6	0	0	3/4	3	1	1/4		1/4	1	-1	4	64	43
15	1.0	6	6	0	0	3/4	2	1	1/4		1/4	1		3	69	42
15	1.0	6	6	0	0	3/4	1	1	1/4		1/4	1		0	72	41
18	0.0	7	7	0	0	3/4	1	1	0	grace16after	1/16	1		2	74	45
18	0.0	7	7	0	0	3/4	1	1	0	grace16after	1/16	1		0	72	46
18	0.0	7	7	0	0	3/4	2	1	0	grace16after	1/16	1		5	71	48
18	0.0	7	7	0	0	3/4	2	1	0	grace16after	1/16	1		3	69	49
18	3.0	7	7	0	0	3/4	4	1	3/4		1/2	3/2		1	55	52
18	3.0	7	7	0	0	3/4	3	1	3/4		1/2	3/2		-1	65	51
18	3.0	7	7	0	0	3/4	2	1	3/4		1/2	3/2		5	71	50
18	3.0	7	7	0	0	3/4	1	1	3/4		1/2	3/2		2	74	47
21	1.0	8	8	0	0	3/4	4	1	1/4		1/4	1		0	60	56
21	1.0	8	8	0	0	3/4	3	1	1/4		1/4	1		4	64	55
21	1.0	8	8	0	0	3/4	2	1	1/4		1/4	1		0	72	54
21	1.0	8	8	0	0	3/4	1	1	1/4		1/4	1		4	76	53
24	0.0	9	9	0	0	3/4	1	1	0	grace16after	1/16	1		2	62	57
24	0.0	9	9	0	0	3/4	1	1	0	grace16after	1/16	1		0	60	58
24	0.0	9	9	0	0	3/4	2	1	0	grace16after	1/16	1		5	59	60
24	0.0	9	9	0	0	3/4	2	1	0	grace16after	1/16	1		3	57	61
24	0.0	9	9	0	0	3/4	3	1	0	grace16after	1/16	1		-1	53	63
24	0.0	9	9	0	0	3/4	3	1	0	grace16after	1/16	1		4	52	64
24	3.0	9	9	0	0	3/4	4	1	3/4		1/2	3/2		1	43	66
24	3.0	9	9	0	0	3/4	3	1	3/4		1/2	3/2		-1	53	65
24	3.0	9	9	0	0	3/4	2	1	3/4		1/2	3/2		5	59	62
24	3.0	9	9	0	0	3/4	1	1	3/4		1/2	3/2		2	62	59
27	1.0	10	10	0	0	3/4	4	1	1/4		1/4	1		0	48	70
27	1.0	10	10	0	0	3/4	3	1	1/4		1/4	1		4	52	69
27	1.0	10	10	0	0	3/4	1	1	1/4		1/4	1		0	60	67
27	1.0	10	10	0	0	3/4	2	1	1/4		1/4	1		0	60	68
30	2.0	11	11	0	0	3/4	4	1	1/2		1/2	1		-4	56	77
30	2.0	11	11	0	0	3/4	2	1	1/2		1/2	1		0	60	73
30	2.0	11	11	0	0	3/4	3	1	1/2		1/2	1		-3	63	75
30	2.0	11	11	0	0	3/4	1	1	1/2		1/2	1		0	72	71
32	1.0	11	11	1/2	1/2	3/4	4	1	1/4		1/4	1		0	60	78
32	1.0	11	11	1/2	1/2	3/4	3	1	1/4		1/4	1		-3	63	76
32	1.0	11	11	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	68	74
32	1.0	11	11	1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75	72
33	2.0	12	12	0	0	3/4	4	1	1/2		1/2	1		-2	58	86
33	2.0	12	12	0	0	3/4	3	1	1/2		1/2	1		-3	63	84
33	2.0	12	12	0	0	3/4	2	1	1/2		1/2	1		1	67	82
33	1.0	12	12	0	0	3/4	1	1	1/4		1/4	1		-3	75	79
34	1.0	12	12	1/4	1/4	3/4	1	1	1/4		1/4	1		-5	73	80
35	1.0	12	12	1/2	1/2	3/4	4	1	1/4		1/4	1		-3	51	87
35	1.0	12	12	1/2	1/2	3/4	3	1	1/4		1/4	1		-2	58	85
35	1.0	12	12	1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	83
35	1.0	12	12	1/2	1/2	3/4	1	1	1/4		1/4	1		-5	73	81
36	2.0	13	13	0	0	3/4	4	1	1/2		1/2	1		-4	56	97
36	1.0	13	13	0	0	3/4	3	1	1/4		1/4	1		-2	58	94
36	1.0	13	13	0	0	3/4	2	1	1/4		1/4	1		1	67	91
36	1.0	13	13	0	0	3/4	1	1	1/4		1/4	1		-5	73	88
37	1.0	13	13	1/4	1/4	3/4	3	1	1/4		1/4	1		-4	56	95
37	1.0	13	13	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	68	92
37	1.0	13	13	1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	89
