quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1/2	0.5	1	1	1/8	1/8	3/8	4	1	1/8		1/8	1		-4	44		4
1/2	0.5	1	1	1/8	1/8	3/8	3	1	1/8		1/8	1		-3	51		2
1/2	0.5	1	1	1/8	1/8	3/8	3	1	1/8		1/8	1		-4	56		2
1/2	0.5	1	1	1/8	1/8	3/8	2	1	1/8		1/8	1		0	60		0
1	0.5	1	1	1/4	1/4	3/8	4	1	1/8		1/8	1		-4	44		5
1	0.5	1	1	1/4	1/4	3/8	3	1	1/8		1/8	1		-3	51		3
1	0.5	1	1	1/4	1/4	3/8	3	1	1/8		1/8	1		-4	56		3
1	0.5	1	1	1/4	1/4	3/8	2	1	1/8		1/8	1		0	60		1
3/2	1.5	2	2	0	0	3/8	4	1	3/8		1/4	3/2	1	-4	44		16
3/2	0.75	2	2	0	0	3/8	3	1	3/16		1/8	3/2		-3	51		12
3/2	0.5	2	2	0	0	3/8	2	1	1/8		1/8	1		0	60		9
3/2	1.0	2	2	0	0	3/8	1	1	1/4		1/4	1		0	84		6
2	0.5	2	2	1/8	1/8	3/8	2	1	1/8		1/8	1		-4	68		10
9/4	0.25	2	2	3/16	3/16	3/8	3	1	1/16		1/16	1		4	52		13
5/2	0.25	2	2	1/4	1/4	3/8	3	1	1/16		1/16	1		-1	53		14
5/2	0.5	2	2	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	68		11
5/2	0.25	2	2	1/4	1/4	3/8	1	1	1/16		1/16	1		-5	85		7
11/4	0.25	2	2	5/16	5/16	3/8	3	1	1/16		1/16	1		-3	51		15
11/4	0.25	2	2	5/16	5/16	3/8	1	1	1/16		1/16	1		0	84		8
3	1.5	3	3	0	0	3/8	4	1	3/8		1/4	3/2	-1	-4	44		26
3	0.5	3	3	0	0	3/8	3	1	1/8		1/8	1		2	50		23
3	0.5	3	3	0	0	3/8	2	1	1/8		1/8	1		-1	65		20
3	0.5	3	3	0	0	3/8	1	1	1/8		1/8	1		0	84		17
7/2	0.5	3	3	1/8	1/8	3/8	3	1	1/8		1/8	1		-5	49		24
7/2	0.5	3	3	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55		21
7/2	0.5	3	3	1/8	1/8	3/8	2	1	1/8		1/8	1		-8	64		21
7/2	0.5	3	3	1/8	1/8	3/8	1	1	1/8		1/8	1		-2	82		18
4	0.5	3	3	1/4	1/4	3/8	3	1	1/8		1/8	1		0	48		25
4	0.5	3	3	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	56		22
4	0.5	3	3	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	63		22
4	0.5	3	3	1/4	1/4	3/8	1	1	1/8		1/8	1		0	84		19
9/2	0.25	4	4	0	0	3/8	4	1	1/16		1/16	1		-1	41		38
9/2	0.25	4	4	0	0	3/8	3	1	1/16		1/16	1		-4	56		34
9/2	0.25	4	4	0	0	3/8	2	1	1/16		1/16	1		-5	61		30
9/2	0.5	4	4	0	0	3/8	1	1	1/8		1/8	1		-5	85		27
19/4	0.25	4	4	1/16	1/16	3/8	4	1	1/16		1/16	1		1	43		39
19/4	0.25	4	4	1/16	1/16	3/8	3	1	1/16		1/16	1		-3	51		35
19/4	0.25	4	4	1/16	1/16	3/8	2	1	1/16		1/16	1		-2	58		31
5	0.5	4	4	1/8	1/8	3/8	4	1	1/8		1/8	1		-4	44		40
5	0.5	4	4	1/8	1/8	3/8	3	1	1/8		1/8	1		-3	51		36
5	0.5	4	4	1/8	1/8	3/8	2	1	1/8		1/8	1		0	60		32
5	0.75	4	4	1/8	1/8	3/8	1	1	3/16		1/8	3/2		0	84		28
11/2	0.5	4	4	1/4	1/4	3/8	4	1	1/8		1/8	1		0	48		41
11/2	0.5	4	4	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	56		33
11/2	0.5	4	4	1/4	1/4	3/8	3	1	1/8		1/8	1		-3	63		37
23/4	0.25	4	4	5/16	5/16	3/8	1	1	1/16		1/16	1		-3	87		29
6	0.5	5	5	0	0	3/8	4	1	1/8		1/8	1		-3	51		48
6	0.5	5	5	0	0	3/8	2	1	1/8		1/8	1		1	55		44
6	0.5	5	5	0	0	3/8	3	1	1/8		1/8	1		-3	63		46
6	1.0	5	5	0	0	3/8	1	1	1/4		1/4	1		-2	82		42
13/2	1.0	5	5	1/8	1/8	3/8	3	1	1/4		1/4	1		1	55		47
7	0.5	5	5	1/4	1/4	3/8	4	1	1/8		1/8	1		-3	51		49
7	0.5	5	5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	63		45
7	0.5	5	5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	82		43
15/2	1.5	6	6	0	0	3/8	4	1	3/8		1/4	3/2		-4	44		59
15/2	0.5	6	6	0	0	3/8	3	1	1/8		1/8	1		-4	56		56
15/2	0.5	6	6	0	0	3/8	2	1	1/8		1/8	1		-3	63		53
15/2	0.5	6	6	0	0	3/8	1	1	1/8		1/8	1		0	84		50
8	0.5	6	6	1/8	1/8	3/8	3	1	1/8		1/8	1		-3	51		57
8	0.5	6	6	1/8	1/8	3/8	2	1	1/8		1/8	1		0	60		54
8	0.5	6	6	1/8	1/8	3/8	1	1	1/8		1/8	1		-4	80		51
17/2	0.5	6	6	1/4	1/4	3/8	3	1	1/8		1/8	1		-3	63		58
17/2	0.5	6	6	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	68		55
17/2	0.5	6	6	1/4	1/4	3/8	1	1	1/8		1/8	1		0	84		52
9	1.0	7	7	0	0	3/8	4	1	1/4		1/4	1		1	43		68
9	0.5	7	7	0	0	3/8	3	1	1/8		1/8	1		4	64		65
9	1.0	7	7	0	0	3/8	2	1	1/4		1/4	1		-2	70		63
9	0.5	7	7	0	0	3/8	1	1	1/8		1/8	1		-5	85		60
19/2	0.5	7	7	1/8	1/8	3/8	3	1	1/8		1/8	1		4	52		66
19/2	0.5	7	7	1/8	1/8	3/8	1	1	1/8		1/8	1		-2	82		61
10	0.5	7	7	1/4	1/4	3/8	4	1	1/8		1/8	1		-1	41		69
10	0.5	7	7	1/4	1/4	3/8	3	1	1/8		1/8	1		-1	53		67
10	0.5	7	7	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	68		64
10	0.5	7	7	1/4	1/4	3/8	1	1	1/8		1/8	1		-5	85		62
21/2	0.5	8	8	0	0	3/8	4	1	1/8		1/8	1		4	40		84
21/2	0.5	8	8	0	0	3/8	3	1	1/8		1/8	1		1	55		79
21/2	0.5	8	8	0	0	3/8	2	1	1/8		1/8	1		1	67		74
21/2	0.75	8	8	0	0	3/8	1	1	3/16		1/8	3/2		0	84		70
11	0.25	8	8	1/8	1/8	3/8	4	1	1/16		1/16	1		-1	41		85
11	0.25	8	8	1/8	1/8	3/8	3	1	1/16		1/16	1		-4	56		80
11	0.25	8	8	1/8	1/8	3/8	2	1	1/16		1/16	1		0	60		75
45/4	0.25	8	8	3/16	3/16	3/8	4	1	1/16		1/16	1		-4	44		86
45/4	0.25	8	8	3/16	3/16	3/8	3	1	1/16		1/16	1		0	60		81
45/4	0.25	8	8	3/16	3/16	3/8	2	1	1/16		1/16	1		-1	65		76
45/4	0.25	8	8	3/16	3/16	3/8	1	1	1/16		1/16	1		-4	80		71
23/2	0.25	8	8	1/4	1/4	3/8	4	1	1/16		1/16	1		-2	46		87
23/2	0.25	8	8	1/4	1/4	3/8	3	1	1/16		1/16	1		-2	58		82
23/2	0.25	8	8	1/4	1/4	3/8	2	1	1/16		1/16	1		-3	63		77
23/2	0.25	8	8	1/4	1/4	3/8	1	1	1/16		1/16	1		1	79		72
47/4	0.25	8	8	5/16	5/16	3/8	4	1	1/16		1/16	1		-2	46		88
47/4	0.25	8	8	5/16	5/16	3/8	3	1	1/16		1/16	1		-4	56		83
47/4	0.25	8	8	5/16	5/16	3/8	2	1	1/16		1/16	1		2	62		78
47/4	0.25	8	8	5/16	5/16	3/8	1	1	1/16		1/16	1		-1	77		73
12	0.5	9	9	0	0	3/8	4	1	1/8		1/8	1		-3	39		99
12	0.5	9	9	0	0	3/8	3	1	1/8		1/8	1		-4	56		97
12	0.5	9	9	0	0	3/8	2	1	1/8		1/8	1		2	62		93
12	0.5	9	9	0	0	3/8	1	1	1/8		1/8	1		-1	77		89
25/2	0.25	9	9	1/8	1/8	3/8	4	1	1/16		1/16	1		-3	51		100
25/2	0.25	9	9	1/8	1/8	3/8	3	1	1/16		1/16	1		1	55		98
25/2	0.25	9	9	1/8	1/8	3/8	2	1	1/16		1/16	1		-2	58		94
25/2	0.5	9	9	1/8	1/8	3/8	1	1	1/8		1/8	1		-3	75		90
13	0.25	9	9	1/4	1/4	3/8	2	1	1/16		1/16	1		1	67		95
13	0.25	9	9	1/4	1/4	3/8	1	1	1/16		1/16	1		-2	70		91
53/4	0.25	9	9	5/16	5/16	3/8	2	1	1/16		1/16	1		-1	65		96
53/4	0.25	9	9	5/16	5/16	3/8	1	1	1/16		1/16	1		-4	68		92
27/2	0.5	10	10	0	0	3/8	3	1	1/8		1/8	1		-5	61		107
27/2	0.5	10	10	0	0	3/8	2	1	1/8		1/8	1		-3	63		104
27/2	0.5	10	10	0	0	3/8	1	1	1/8		1/8	1		1	67		101
14	0.5	10	10	1/8	1/8	3/8	3	1	1/8		1/8	1		0	60		108
14	0.5	10	10	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	65		105
14	0.5	10	10	1/8	1/8	3/8	1	1	1/8		1/8	1		-4	68		102
29/2	0.5	10	10	1/4	1/4	3/8	3	1	1/8		1/8	1		-2	58		109
29/2	0.5	10	10	1/4	1/4	3/8	2	1	1/8		1/8	1		1	67		106
29/2	0.5	10	10	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70		103
15	1.5	11	11	0	0	3/8	3	1	3/8		1/4	3/2	1	-4	56		116
