quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
0	0.5	1	0	0	1	12/8	4	1	1/8		1/8	1	1	-3	39	0
1/2	1.0	1	0	1/8	9/8	12/8	4	1	1/4		1/4	1	-1	-3	39	1
3/2	0.5	1	0	3/8	11/8	12/8	4	1	1/8		1/8	1	1	-3	39	2
2	6.0	2	1	0	0	12/8	4	1	3/2		1	3/2	0	-3	39	10
3	0.5	2	1	1/4	1/4	12/8	3	1	1/8		1/8	1	1	-5	49	6
7/2	1.0	2	1	3/8	3/8	12/8	3	1	1/4		1/4	1	-1	-5	49	7
9/2	0.5	2	1	5/8	5/8	12/8	3	1	1/8		1/8	1	1	-5	49	8
5	3.0	2	1	3/4	3/4	12/8	3	1	3/4		1/2	3/2	0	-5	49	9
6	0.5	2	1	1	1	12/8	2	1	1/8		1/8	1	1	-2	58	3
13/2	1.0	2	1	9/8	9/8	12/8	2	1	1/4		1/4	1	-1	-2	58	4
15/2	0.5	2	1	11/8	11/8	12/8	2	1	1/8		1/8	1	1	-2	58	5
8	3.0	3	2	0	0	12/8	4	1	3/4		1/2	3/2	0	-3	39	28
8	3.0	3	2	0	0	12/8	3	1	3/4		1/2	3/2	0	-5	49	23
8	3.0	3	2	0	0	12/8	2	1	3/4		1/2	3/2	0	-2	58	18
9	0.5	3	2	1/4	1/4	12/8	1	1	1/8		1/8	1	1	-5	61	11
19/2	1.0	3	2	3/8	3/8	12/8	1	1	1/4		1/4	1	-1	-5	61	12
21/2	0.5	3	2	5/8	5/8	12/8	1	1	1/8		1/8	1	1	-5	61	13
11	1.0	3	2	3/4	3/4	12/8	4	1	1/4		1/4	1	-1	-3	39	29
11	1.0	3	2	3/4	3/4	12/8	3	1	1/4		1/4	1	-1	-5	49	24
11	1.0	3	2	3/4	3/4	12/8	2	1	1/4		1/4	1	-1	-2	58	19
11	1.0	3	2	3/4	3/4	12/8	1	1	1/4		1/4	1	-1	-5	61	14
12	0.5	3	2	1	1	12/8	4	1	1/8		1/8	1	1	-3	39	30
12	0.5	3	2	1	1	12/8	3	1	1/8		1/8	1	1	-5	49	25
12	0.5	3	2	1	1	12/8	2	1	1/8		1/8	1	1	-2	58	20
12	0.5	3	2	1	1	12/8	1	1	1/8		1/8	1		-3	63	15
25/2	1.0	3	2	9/8	9/8	12/8	4	1	1/4		1/4	1	-1	-3	39	31
25/2	1.0	3	2	9/8	9/8	12/8	3	1	1/4		1/4	1	-1	-5	49	26
25/2	1.0	3	2	9/8	9/8	12/8	2	1	1/4		1/4	1	-1	-2	58	21
25/2	1.0	3	2	9/8	9/8	12/8	1	1	1/4		1/4	1		-1	65	16
27/2	0.5	3	2	11/8	11/8	12/8	4	1	1/8		1/8	1		-3	39	32
27/2	0.5	3	2	11/8	11/8	12/8	3	1	1/8		1/8	1		-5	49	27
27/2	0.5	3	2	11/8	11/8	12/8	2	1	1/8		1/8	1		-2	58	22
27/2	0.5	3	2	11/8	11/8	12/8	1	1	1/8		1/8	1		1	67	17
14	1.5	4	3	0	0	12/8	4	1	3/8		1/4	3/2		-3	39	45
14	3.0	4	3	0	0	12/8	3	1	3/4		1/2	3/2	1	0	48	43
14	1.5	4	3	0	0	12/8	2	1	3/8		1/4	3/2		-4	56	40
14	1.5	4	3	0	0	12/8	1	1	3/8		1/4	3/2	1	-4	68	33
31/2	1.5	4	3	3/8	3/8	12/8	4	1	3/8		1/4	3/2	1	-4	44	46
31/2	1.5	4	3	3/8	3/8	12/8	2	1	3/8		1/4	3/2		0	60	41
31/2	1.0	4	3	3/8	3/8	12/8	1	1	1/4		1/4	1	-1	-4	68	34
33/2	0.5	4	3	5/8	5/8	12/8	1	1	1/8		1/8	1		-2	70	35
17	3.0	4	3	3/4	3/4	12/8	4	1	3/4		1/2	3/2	-1	-4	44	47
17	3.0	4	3	3/4	3/4	12/8	3	1	3/4		1/2	3/2	-1	0	48	44
17	3.0	4	3	3/4	3/4	12/8	2	1	3/4		1/2	3/2		0	60	42
17	3.0	4	3	3/4	3/4	12/8	2	1	3/4		1/2	3/2		-3	63	42
17	1.0	4	3	3/4	3/4	12/8	1	1	1/4		1/4	1		0	72	36
18	0.5	4	3	1	1	12/8	1	1	1/8		1/8	1		-5	73	37
