mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	2/2	4	1	1/4			1/4	1		0	36	C2	2	11
1	1	0	0	1.0	0	0	2/2	3	1	1/4			1/4	1		4	52	E3	3	7
1	1	0	0	1.0	0	0	2/2	2	1	1/4			1/4	1		1	55	G3	3	3
1	1	0	0	3.0	0	0	2/2	1	1	3/4			1/2	3/2		0	60	C4	4	0
1	1	3/2	3/2	0.5	3/8	3/8	2/2	4	1	1/8			1/8	1		0	48	C3	3	12
1	1	3/2	3/2	0.5	3/8	3/8	2/2	3	1	1/8			1/8	1		4	52	E3	3	8
1	1	3/2	3/2	0.5	3/8	3/8	2/2	2	1	1/8			1/8	1		1	55	G3	3	4
1	1	2	2	1.0	1/2	1/2	2/2	4	1	1/4			1/4	1		0	48	C3	3	13
1	1	2	2	1.0	1/2	1/2	2/2	3	1	1/4			1/4	1		4	52	E3	3	9
1	1	2	2	1.0	1/2	1/2	2/2	2	1	1/4			1/4	1		1	55	G3	3	5
1	1	3	3	0.5	3/4	3/4	2/2	1	1	1/8			1/8	1		0	84	C6	6	1
1	1	7/2	7/2	0.5	7/8	7/8	2/2	4	1	1/8			1/8	1		0	48	C3	3	14
1	1	7/2	7/2	0.5	7/8	7/8	2/2	3	1	1/8			1/8	1		4	52	E3	3	10
1	1	7/2	7/2	0.5	7/8	7/8	2/2	2	1	1/8			1/8	1		1	55	G3	3	6
1	1	7/2	7/2	0.5	7/8	7/8	2/2	1	1	1/8			1/8	1		2	86	D6	6	2
2	2	4	4	1.0	0	0	2/2	4	1	1/4			1/4	1		0	48	C3	3	27
2	2	4	4	1.0	0	0	2/2	3	1	1/4			1/4	1		4	52	E3	3	23
2	2	4	4	1.0	0	0	2/2	2	1	1/4			1/4	1		1	55	G3	3	19
2	2	4	4	1.0	0	0	2/2	1	1	1/4			1/4	1		4	88	E6	6	15
2	2	11/2	11/2	0.5	3/8	3/8	2/2	4	1	1/8			1/8	1		0	48	C3	3	28
2	2	11/2	11/2	0.5	3/8	3/8	2/2	3	1	1/8			1/8	1		4	52	E3	3	24
2	2	11/2	11/2	0.5	3/8	3/8	2/2	2	1	1/8			1/8	1		1	55	G3	3	20
2	2	11/2	11/2	0.5	3/8	3/8	2/2	1	1	1/8			1/8	1		2	86	D6	6	16
2	2	6	6	1.0	1/2	1/2	2/2	4	1	1/4			1/4	1		0	48	C3	3	29
2	2	6	6	1.0	1/2	1/2	2/2	3	1	1/4			1/4	1		-1	53	F3	3	25
2	2	6	6	1.0	1/2	1/2	2/2	2	1	1/4			1/4	1		3	57	A3	3	21
2	2	6	6	1.0	1/2	1/2	2/2	1	1	1/4			1/4	1		0	84	C6	6	17
2	2	15/2	15/2	0.5	7/8	7/8	2/2	4	1	1/8			1/8	1		0	48	C3	3	30
