mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0	0	0	4/4	4	1	1/2			1/2	1		-3	51	Eb3	3	9
1	1	0	2.0	0	0	4/4	3	1	1/2			1/2	1		-2	58	Bb3	3	6
1	1	0	2.0	0	0	4/4	2	1	1/2			1/2	1		1	67	G4	4	3
1	1	0	2.0	0	0	4/4	1	1	1/2			1/2	1		-3	75	Eb5	5	0
1	1	2	1.5	1/2	1/2	4/4	4	1	3/8			1/4	3/2		-5	49	Db3	3	10
1	1	2	1.5	1/2	1/2	4/4	3	1	3/8			1/4	3/2		-2	58	Bb3	3	7
1	1	2	1.5	1/2	1/2	4/4	2	1	3/8			1/4	3/2		-3	63	Eb4	4	4
1	1	2	1.5	1/2	1/2	4/4	1	1	3/8			1/4	3/2		1	67	G4	4	1
1	1	7/2	0.5	7/8	7/8	4/4	4	1	1/8			1/8	1		0	48	C3	3	11
1	1	7/2	0.5	7/8	7/8	4/4	3	1	1/8			1/8	1		-4	56	Ab3	3	8
1	1	7/2	0.5	7/8	7/8	4/4	2	1	1/8			1/8	1		-3	63	Eb4	4	5
1	1	7/2	0.5	7/8	7/8	4/4	1	1	1/8			1/8	1		-4	68	Ab4	4	2
2	2	4	1.0	0	0	4/4	4	1	1/4			1/4	1		-2	46	Bb2	2	15
2	2	4	1.0	0	0	4/4	3	1	1/4			1/4	1		1	55	G3	3	14
2	2	4	1.0	0	0	4/4	2	1	1/4			1/4	1		-3	63	Eb4	4	13
2	2	4	1.0	0	0	4/4	1	1	1/4			1/4	1		-5	73	Db5	5	12
3	3	8	2.0	0	0	4/4	4	1	1/2			1/2	1		-3	51	Eb3	3	25
3	3	8	2.0	0	0	4/4	3	1	1/2			1/2	1		-2	58	Bb3	3	22
3	3	8	2.0	0	0	4/4	2	1	1/2			1/2	1		1	67	G4	4	19
3	3	8	2.0	0	0	4/4	1	1	1/2			1/2	1		-3	75	Eb5	5	16
3	3	10	1.5	1/2	1/2	4/4	4	1	3/8			1/4	3/2		-5	49	Db3	3	26
3	3	10	1.5	1/2	1/2	4/4	3	1	3/8			1/4	3/2		-2	58	Bb3	3	23
3	3	10	1.5	1/2	1/2	4/4	2	1	3/8			1/4	3/2		-3	63	Eb4	4	20
3	3	10	1.5	1/2	1/2	4/4	1	1	3/8			1/4	3/2		1	67	G4	4	17
3	3	23/2	0.5	7/8	7/8	4/4	4	1	1/8			1/8	1		0	48	C3	3	27
3	3	23/2	0.5	7/8	7/8	4/4	3	1	1/8			1/8	1		-4	56	Ab3	3	24
3	3	23/2	0.5	7/8	7/8	4/4	2	1	1/8			1/8	1		-3	63	Eb4	4	21
3	3	23/2	0.5	7/8	7/8	4/4	1	1	1/8			1/8	1		-4	68	Ab4	4	18
4	4	12	1.0	0	0	4/4	4	1	1/4			1/4	1		1	43	G2	2	33
4	4	12	1.0	0	0	4/4	3	1	1/4			1/4	1		-2	58	Bb3	3	31
4	4	12	1.0	0	0	4/4	2	1	1/4			1/4	1		4	64	E4	4	29
4	4	12	4.0	0	0	4/4	1	1	1			1	1	1	-5	73	Db5	5	28
4	4	14	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1	1	-2	82	Bb5	5	30
4	4	15	1.0	3/4	3/4	4/4	3	1	1/4			1/4	1	1	4	64	E4	4	32
5	5	16	3.0	0	0	4/4	4	1	3/4			1/2	3/2		-1	41	F2	2	40
5	5	16	2.0	0	0	4/4	3	1	1/2			1/2	1	-1	4	64	E4	4	38
5	5	16	3.0	0	0	4/4	1	1	3/4			1/2	3/2	-1	-5	73	Db5	5	34
5	5	16	2.0	0	0	4/4	2	1	1/2			1/2	1	-1	-2	82	Bb5	5	36
5	5	18	2.0	1/2	1/2	4/4	3	1	1/2			1/2	1	1	-1	65	F4	4	39
5	5	18	2.0	1/2	1/2	4/4	2	1	1/2			1/2	1	1	-4	80	Ab5	5	37
