quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
0	3.0	1	1	0	0	6/8	3	1	3/4	1/2	3/2	1	-1	53		1
3/2	1.5	1	1	3/8	3/8	6/8	2	1	3/8	1/4	3/2	1	-4	56		0
3	1.5	2	2	0	0	6/8	3	1	3/8	1/4	3/2	0	-1	53		6
3	1.5	2	2	0	0	6/8	2	1	3/8	1/4	3/2	0	-4	56		4
3	1.5	2	2	0	0	6/8	1	1	3/8	1/4	3/2	1	-5	61		2
9/2	1.5	2	2	3/8	3/8	6/8	4	1	3/8	1/4	3/2		-5	37		8
9/2	1.5	2	2	3/8	3/8	6/8	4	1	3/8	1/4	3/2		-5	49		8
9/2	1.5	2	2	3/8	3/8	6/8	3	1	3/8	1/4	3/2	-1	-1	53		7
9/2	1.5	2	2	3/8	3/8	6/8	2	1	3/8	1/4	3/2	-1	-4	56		5
9/2	1.5	2	2	3/8	3/8	6/8	1	1	3/8	1/4	3/2	-1	-5	61		3
9/2	1.5	2	2	3/8	3/8	6/8	1	1	3/8	1/4	3/2		-1	65		3
6	1.5	3	3	0	0	6/8	4	1	3/8	1/4	3/2		-5	37		18
6	3.0	3	3	0	0	6/8	4	2	3/4	1/2	3/2		-4	44		20
6	1.5	3	3	0	0	6/8	3	1	3/8	1/4	3/2		-1	53		16
6	3.0	3	3	0	0	6/8	2	1	3/4	1/2	3/2	1	-4	56		15
6	0.5	3	3	0	0	6/8	1	1	1/8	1/8	1		-5	61		9
13/2	0.5	3	3	1/8	1/8	6/8	1	1	1/8	1/8	1		0	60		10
7	0.5	3	3	1/4	1/4	6/8	1	1	1/8	1/8	1		-2	58		11
15/2	1.5	3	3	3/8	3/8	6/8	4	1	3/8	1/4	3/2		-3	39		19
15/2	1.5	3	3	3/8	3/8	6/8	3	1	3/8	1/4	3/2		-6	54		17
15/2	0.5	3	3	3/8	3/8	6/8	1	1	1/8	1/8	1		-4	56		12
8	0.5	3	3	1/2	1/2	6/8	1	1	1/8	1/8	1		-2	58		13
17/2	0.5	3	3	5/8	5/8	6/8	1	1	1/8	1/8	1		0	60		14
9	1.5	4	4	0	0	6/8	4	1	3/8	1/4	3/2		-5	37		28
9	3.0	4	4	0	0	6/8	4	2	3/4	1/2	3/2		-4	44		30
9	1.5	4	4	0	0	6/8	3	1	3/8	1/4	3/2		-1	53		26
9	3.0	4	4	0	0	6/8	2	1	3/4	1/2	3/2	-1	-4	56		25
9	0.5	4	4	0	0	6/8	1	1	1/8	1/8	1		-5	61		21
19/2	0.5	4	4	1/8	1/8	6/8	1	1	1/8	1/8	1		-3	63		22
10	0.5	4	4	1/4	1/4	6/8	1	1	1/8	1/8	1		-1	65		23
21/2	1.5	4	4	3/8	3/8	6/8	4	1	3/8	1/4	3/2		0	36		29
21/2	1.5	4	4	3/8	3/8	6/8	3	1	3/8	1/4	3/2		-6	54		27
21/2	1.5	4	4	3/8	3/8	6/8	1	1	3/8	1/4	3/2		-3	63		24
12	1.5	5	5	0	0	6/8	4	1	3/8	1/4	3/2		-5	37		40
12	3.0	5	5	0	0	6/8	4	2	3/4	1/2	3/2		-4	44		42
12	1.5	5	5	0	0	6/8	3	1	3/8	1/4	3/2		-1	53		38
12	3.0	5	5	0	0	6/8	2	1	3/4	1/2	3/2	1	-4	56		37
12	0.5	5	5	0	0	6/8	1	1	1/8	1/8	1		-5	61		31
25/2	0.5	5	5	1/8	1/8	6/8	1	1	1/8	1/8	1		0	60		32
13	0.5	5	5	1/4	1/4	6/8	1	1	1/8	1/8	1		-2	58		33
27/2	1.5	5	5	3/8	3/8	6/8	4	1	3/8	1/4	3/2		-3	39		41
27/2	1.5	5	5	3/8	3/8	6/8	3	1	3/8	1/4	3/2		-6	54		39
27/2	0.5	5	5	3/8	3/8	6/8	1	1	1/8	1/8	1		-4	56		34
