quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
0	1.0	1	1	0	0	6/8	4	1	1/4		1/4	1		4	40		4
1	0.5	1	1	1/4	1/4	6/8	1	1	1/8		1/8	1		4	64		0
3/2	1.0	1	1	3/8	3/8	6/8	4	1	1/4		1/4	1		4	40		5
3/2	0.5	1	1	3/8	3/8	6/8	1	1	1/8		1/8	1		3	69		1
2	0.5	1	1	1/2	1/2	6/8	1	1	1/8		1/8	1		5	71		2
5/2	0.5	1	1	5/8	5/8	6/8	1	1	1/8		1/8	1		0	72		3
3	1.0	2	2	0	0	6/8	4	1	1/4		1/4	1		4	40		12
3	0.5	2	2	0	0	6/8	1	1	1/8		1/8	1		5	71		6
7/2	0.5	2	2	1/8	1/8	6/8	1	1	1/8		1/8	1		3	69		7
4	0.5	2	2	1/4	1/4	6/8	1	1	1/8		1/8	1		8	68		8
9/2	1.0	2	2	3/8	3/8	6/8	4	1	1/4		1/4	1		4	40		13
9/2	0.5	2	2	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	65		9
5	0.5	2	2	1/2	1/2	6/8	1	1	1/8		1/8	1		4	64		10
11/2	0.5	2	2	5/8	5/8	6/8	1	1	1/8		1/8	1		2	62		11
6	1.0	3	3	0	0	6/8	4	1	1/4		1/4	1		4	40		26
6	0.5	3	3	0	0	6/8	1	1	1/8		1/8	1		0	60		14
13/2	0.5	3	3	1/8	1/8	6/8	1	1	1/8		1/8	1		5	59		15
7	0.5	3	3	1/4	1/4	6/8	1	1	1/8		1/8	1		3	57		16
7	0.5	3	3	1/4	1/4	6/8	2	1	1/8		1/8	1		3	57		18
7	0.5	3	3	1/4	1/4	6/8	3	1	1/8		1/8	1		3	57		22
15/2	1.0	3	3	3/8	3/8	6/8	4	1	1/4		1/4	1		4	40		27
15/2	0.5	3	3	3/8	3/8	6/8	3	1	1/8		1/8	1		8	56		23
15/2	0.5	3	3	3/8	3/8	6/8	2	1	1/8		1/8	1		5	59		19
15/2	1.5	3	3	3/8	3/8	6/8	1	1	3/8		1/4	3/2	1	4	64		17
8	0.5	3	3	1/2	1/2	6/8	3	1	1/8		1/8	1		3	57		24
8	0.5	3	3	1/2	1/2	6/8	2	1	1/8		1/8	1		0	60		20
17/2	0.5	3	3	5/8	5/8	6/8	3	1	1/8		1/8	1		5	59		25
17/2	0.5	3	3	5/8	5/8	6/8	2	1	1/8		1/8	1		2	62		21
9	1.0	4	4	0	0	6/8	4	1	1/4		1/4	1		4	40		43
9	0.5	4	4	0	0	6/8	3	1	1/8		1/8	1		3	57		38
9	0.5	4	4	0	0	6/8	2	1	1/8		1/8	1		0	60		32
9	1.5	4	4	0	0	6/8	1	1	3/8		1/4	3/2	0	4	64		28
19/2	0.5	4	4	1/8	1/8	6/8	3	1	1/8		1/8	1		8	56		39
19/2	0.5	4	4	1/8	1/8	6/8	2	1	1/8		1/8	1		5	59		33
10	0.5	4	4	1/4	1/4	6/8	3	1	1/8		1/8	1		-1	53		40
10	0.5	4	4	1/4	1/4	6/8	2	1	1/8		1/8	1		3	57		34
21/2	1.0	4	4	3/8	3/8	6/8	4	1	1/4		1/4	1		4	40		44
21/2	1.0	4	4	3/8	3/8	6/8	3	1	1/4		1/4	1		4	52		41
21/2	0.5	4	4	3/8	3/8	6/8	2	1	1/8		1/8	1		8	56		35
21/2	0.5	4	4	3/8	3/8	6/8	1	1	1/8		1/8	1	-1	4	64		29
11	0.5	4	4	1/2	1/2	6/8	2	1	1/8		1/8	1		3	57		36
11	0.5	4	4	1/2	1/2	6/8	1	1	1/8		1/8	1		6	66		30
23/2	0.5	4	4	5/8	5/8	6/8	3	1	1/8		1/8	1		2	50		42
23/2	0.5	4	4	5/8	5/8	6/8	2	1	1/8		1/8	1		5	59		37
23/2	0.5	4	4	5/8	5/8	6/8	1	1	1/8		1/8	1		8	68		31
	0.5	5	5	0	0	6/8	4	1	1/8		1/8	1		3	45	1	48
	1.0	5	5	0	0	6/8	3	1	1/4		1/4	1		0	48	1	47
	1.0	5	5	0	0	6/8	2	1	1/4		1/4	1		0	60	1	46
	1.0	5	5	0	0	6/8	1	1	1/4		1/4	1		3	69	1	45
	0.5	5	5	1/8	1/8	6/8	4	1	1/8		1/8	1		5	47	1	49
	0.5	5	5	1/4	1/4	6/8	4	1	1/8		1/8	1		3	45	1	50
	0.5	5	5	3/8	3/8	6/8	4	1	1/8		1/8	1		8	44	1	51
	0.5	5	5	1/2	1/2	6/8	4	1	1/8		1/8	1		3	45	1	52
	0.5	5	5	5/8	5/8	6/8	4	1	1/8		1/8	1		1	43	1	53
	0.5	6	6	0	0	6/8	4	1	1/8		1/8	1		-1	41	1	54
	0.5	6	6	1/8	1/8	6/8	4	1	1/8		1/8	1		4	40	1	55
	0.5	6	6	1/4	1/4	6/8	4	1	1/8		1/8	1		2	38	1	56
	0.5	6	6	3/8	3/8	6/8	4	1	1/8		1/8	1		0	36	1	57
	0.5	6	6	1/2	1/2	6/8	4	1	1/8		1/8	1		2	38	1	58
	0.5	6	6	5/8	5/8	6/8	4	1	1/8		1/8	1		9	39	1	59
