quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
0	1.0	1	1	0	0	2/4	4	1	1/4		1/4	1		2	50		0
1	1.0	1	1	1/4	1/4	2/4	4	1	1/4		1/4	1		1	55		1
2	1.5	2	2	0	0	2/4	4	1	3/8		1/4	3/2		5	59		2
7/2	0.25	2	2	3/8	3/8	2/4	4	1	1/16		1/16	1		3	57		3
15/4	0.25	2	2	7/16	7/16	2/4	4	1	1/16		1/16	1		1	55		4
4	0.5	3	3	0	0	2/4	4	1	1/8		1/8	1		6	54		5
9/2	0.5	3	3	1/8	1/8	2/4	4	1	1/8		1/8	1		1	55		6
5	0.5	3	3	1/4	1/4	2/4	4	1	1/8		1/8	1		3	57		7
11/2	0.5	3	3	3/8	3/8	2/4	4	1	1/8		1/8	1		5	59		8
6	0.5	4	4	0	0	2/4	4	1	1/8		1/8	1		0	60		9
8	1.0	5	5	0	0	2/4	4	1	1/4		1/4	1		1	55		16
8	1.0	5	5	0	0	2/4	2	1	1/4		1/4	1		5	59		12
8	1.0	5	5	0	0	2/4	3	1	1/4		1/4	1		5	59		14
8	1.0	5	5	0	0	2/4	1	1	1/4		1/4	1		2	62		10
9	1.0	5	5	1/4	1/4	2/4	4	1	1/4		1/4	1		1	55		17
9	1.0	5	5	1/4	1/4	2/4	3	1	1/4		1/4	1		5	59		15
9	1.0	5	5	1/4	1/4	2/4	2	1	1/4		1/4	1		2	62		13
9	1.0	5	5	1/4	1/4	2/4	1	1	1/4		1/4	1		1	67		11
10	1.5	6	6	0	0	2/4	4	1	3/8		1/4	3/2		4	52		27
10	1.5	6	6	0	0	2/4	3	1	3/8		1/4	3/2		1	55		24
10	1.5	6	6	0	0	2/4	2	1	3/8		1/4	3/2		1	67		21
10	1.5	6	6	0	0	2/4	1	1	3/8		1/4	3/2		5	71		18
23/2	0.25	6	6	3/8	3/8	2/4	4	1	1/16		1/16	1		6	54		28
23/2	0.25	6	6	3/8	3/8	2/4	3	1	1/16		1/16	1		3	57		25
23/2	0.25	6	6	3/8	3/8	2/4	2	1	1/16		1/16	1		6	66		22
23/2	0.25	6	6	3/8	3/8	2/4	1	1	1/16		1/16	1		3	69		19
47/4	0.25	6	6	7/16	7/16	2/4	4	1	1/16		1/16	1		1	55		29
47/4	0.25	6	6	7/16	7/16	2/4	3	1	1/16		1/16	1		5	59		26
47/4	0.25	6	6	7/16	7/16	2/4	2	1	1/16		1/16	1		4	64		23
47/4	0.25	6	6	7/16	7/16	2/4	1	1	1/16		1/16	1		1	67		20
12	0.5	7	7	0	0	2/4	3	1	1/8		1/8	1		3	57		38
12	0.5	7	7	0	0	2/4	4	1	1/8		1/8	1		3	57		42
12	0.5	7	7	0	0	2/4	2	1	1/8		1/8	1		2	62		34
12	0.5	7	7	0	0	2/4	1	1	1/8		1/8	1		6	66		30
25/2	0.5	7	7	1/8	1/8	2/4	4	1	1/8		1/8	1		3	45		43
25/2	0.5	7	7	1/8	1/8	2/4	3	1	1/8		1/8	1		6	54		39
25/2	0.5	7	7	1/8	1/8	2/4	2	1	1/8		1/8	1		2	62		35
25/2	0.5	7	7	1/8	1/8	2/4	1	1	1/8		1/8	1		3	69		31
13	0.5	7	7	1/4	1/4	2/4	4	1	1/8		1/8	1		3	45		44
13	0.5	7	7	1/4	1/4	2/4	3	1	1/8		1/8	1		4	52		40
13	0.5	7	7	1/4	1/4	2/4	2	1	1/8		1/8	1		7	61		36
13	0.5	7	7	1/4	1/4	2/4	1	1	1/8		1/8	1		1	67		32
27/2	0.5	7	7	3/8	3/8	2/4	4	1	1/8		1/8	1		3	45		45
27/2	0.5	7	7	3/8	3/8	2/4	3	1	1/8		1/8	1		1	55		41
27/2	0.5	7	7	3/8	3/8	2/4	2	1	1/8		1/8	1		7	61		37
27/2	0.5	7	7	3/8	3/8	2/4	1	1	1/8		1/8	1		4	64		33
14	0.5	8	8	0	0	2/4	4	1	1/8		1/8	1		2	50		49
14	0.5	8	8	0	0	2/4	3	1	1/8		1/8	1		6	54		48
14	0.5	8	8	0	0	2/4	1	1	1/8		1/8	1		2	62		46
14	0.5	8	8	0	0	2/4	2	1	1/8		1/8	1		2	62		47
16	1.0	9	9	0	0	2/4	4	1	1/4		1/4	1		2	50		50
17	1.0	9	9	1/4	1/4	2/4	4	1	1/4		1/4	1		3	57		51
18	1.5	10	10	0	0	2/4	4	1	3/8		1/4	3/2		0	60		52
39/2	0.25	10	10	3/8	3/8	2/4	4	1	1/16		1/16	1		5	59		53
79/4	0.25	10	10	7/16	7/16	2/4	4	1	1/16		1/16	1		3	57		54
20	0.5	11	11	0	0	2/4	4	1	1/8		1/8	1		1	55		55
41/2	0.5	11	11	1/8	1/8	2/4	4	1	1/8		1/8	1		8	56		56
21	0.5	11	11	1/4	1/4	2/4	4	1	1/8		1/8	1		3	57		57
43/2	0.5	11	11	3/8	3/8	2/4	4	1	1/8		1/8	1		10	58		58
22	0.5	12	12	0	0	2/4	4	1	1/8		1/8	1		5	59		59
24	1.0	13	13	0	0	2/4	4	1	1/4		1/4	1		5	59		66
24	1.0	13	13	0	0	2/4	3	1	1/4		1/4	1		6	66		64
24	1.0	13	13	0	0	2/4	2	1	1/4		1/4	1		3	69		62
24	1.0	13	13	0	0	2/4	1	1	1/4		1/4	1		9	75		60
25	1.0	13	13	1/4	1/4	2/4	4	1	1/4		1/4	1		5	59		67
25	1.0	13	13	1/4	1/4	2/4	3	1	1/4		1/4	1		3	69		65
25	1.0	13	13	1/4	1/4	2/4	2	1	1/4		1/4	1		9	75		63
25	1.0	13	13	1/4	1/4	2/4	1	1	1/4		1/4	1		6	78		61
26	1.5	14	14	0	0	2/4	4	1	3/8		1/4	3/2		5	59		76
26	1.5	14	14	0	0	2/4	3	1	3/8		1/4	3/2		0	72		73
26	1.5	14	14	0	0	2/4	2	1	3/8		1/4	3/2		9	75		71
26	1.5	14	14	0	0	2/4	1	1	3/8		1/4	3/2		3	81		68
