quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
0	1.0	1	0	0	1/2	4/4	1	1	1/4		1/4	1		0	60		0
1	1.0	1	0	1/4	3/4	4/4	1	1	1/4		1/4	1		3	69		1
2	1.0	2	1	0	0	4/4	2	1	1/4		1/4	1		0	60		6
2	1.0	2	1	0	0	4/4	1	1	1/4		1/4	1		1	67		2
3	1.0	2	1	1/4	1/4	4/4	2	1	1/4		1/4	1		3	69		7
3	1.0	2	1	1/4	1/4	4/4	1	1	1/4		1/4	1		0	72		3
4	1.0	2	1	1/2	1/2	4/4	3	1	1/4		1/4	1		0	48		10
4	1.0	2	1	1/2	1/2	4/4	2	1	1/4		1/4	1		1	55		8
4	1.0	2	1	1/2	1/2	4/4	2	1	1/4		1/4	1		4	64		8
4	1.0	2	1	1/2	1/2	4/4	1	1	1/4		1/4	1		0	72		4
5	1.0	2	1	3/4	3/4	4/4	3	1	1/4		1/4	1		3	57		11
5	1.0	2	1	3/4	3/4	4/4	2	1	1/4		1/4	1		0	60		9
5	1.0	2	1	3/4	3/4	4/4	1	1	1/4		1/4	1		-1	65		5
6	1.0	3	2	0	0	4/4	4	1	1/4		1/4	1		0	36		21
6	1.0	3	2	0	0	4/4	3	1	1/4		1/4	1		1	55		18
6	1.0	3	2	0	0	4/4	2	1	1/4		1/4	1		4	64		15
6	1.0	3	2	0	0	4/4	1	1	1/4		1/4	1		1	67		12
7	1.0	3	2	1/4	1/4	4/4	4	1	1/4		1/4	1		3	45		22
7	1.0	3	2	1/4	1/4	4/4	3	1	1/4		1/4	1		0	48		19
7	1.0	3	2	1/4	1/4	4/4	3	1	1/4		1/4	1		0	60		19
7	1.0	3	2	1/4	1/4	4/4	1	1	1/4		1/4	1		-1	65		13
7	1.0	3	2	1/4	1/4	4/4	2	1	1/4		1/4	1		-1	65		16
8	2.0	3	2	1/2	1/2	4/4	4	1	1/2		1/2	1		-1	41		23
8	2.0	3	2	1/2	1/2	4/4	3	1	1/2		1/2	1		0	48		20
8	2.0	3	2	1/2	1/2	4/4	2	1	1/2		1/2	1		3	57		17
8	2.0	3	2	1/2	1/2	4/4	3	1	1/2		1/2	1		0	60		20
8	2.0	3	2	1/2	1/2	4/4	1	1	1/2		1/2	1		-1	65		14
10	2.0	4	3	0	0	4/4	4	1	1/2		1/2	1		3	45		30
10	2.0	4	3	0	0	4/4	3	1	1/2		1/2	1		0	48		28
10	2.0	4	3	0	0	4/4	2	1	1/2		1/2	1		0	60		26
10	2.0	4	3	0	0	4/4	1	1	1/2		1/2	1		-1	65		24
12	2.0	4	3	1/2	1/2	4/4	4	1	1/2		1/2	1		0	48		31
12	2.0	4	3	1/2	1/2	4/4	3	1	1/2		1/2	1		1	55		29
12	2.0	4	3	1/2	1/2	4/4	2	1	1/2		1/2	1		0	60		27
12	2.0	4	3	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64		25
14	2.0	5	4	0	0	4/4	4	1	1/2		1/2	1		2	50		38
14	2.0	5	4	0	0	4/4	3	1	1/2		1/2	1		-1	53		36
14	2.0	5	4	0	0	4/4	2	1	1/2		1/2	1		3	57		34
14	2.0	5	4	0	0	4/4	1	1	1/2		1/2	1		2	62		32
16	2.0	5	4	1/2	1/2	4/4	4	1	1/2		1/2	1		0	48		39
16	2.0	5	4	1/2	1/2	4/4	3	1	1/2		1/2	1		1	55		37
16	2.0	5	4	1/2	1/2	4/4	2	1	1/2		1/2	1		0	60		35
16	2.0	5	4	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64		33
18	2.0	6	5	0	0	4/4	4	1	1/2		1/2	1		3	45		48
18	2.0	6	5	0	0	4/4	3	1	1/2		1/2	1		0	48		45
18	2.0	6	5	0	0	4/4	2	1	1/2		1/2	1		0	60		42
18	2.0	6	5	0	0	4/4	1	1	1/2		1/2	1		-1	65		40
20	1.0	6	5	1/2	1/2	4/4	4	1	1/4		1/4	1		1	43		49
20	1.0	6	5	1/2	1/2	4/4	3	1	1/4		1/4	1		2	50		46
20	1.0	6	5	1/2	1/2	4/4	2	1	1/4		1/4	1		5	59		43
20	2.0	6	5	1/2	1/2	4/4	1	1	1/2		1/2	1		1	67		41
21	1.0	6	5	3/4	3/4	4/4	4	1	1/4		1/4	1		0	48		50
