mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.5		0	0	3/2	4	1	3/8			1/4	3/2		1	43	G2	2	4
1	1	0	0	1.5		0	0	3/2	3	1	3/8			1/4	3/2		1	55	G3	3	1
1	1	3/2	3/2	0.5		3/8	3/8	3/2	4	1	1/8			1/8	1		4	40	E2	2	5
1	1	3/2	3/2	0.5		3/8	3/8	3/2	3	1	1/8			1/8	1		4	52	E3	3	2
1	1	2	2	2.0		1/2	1/2	3/2	4	1	1/2			1/2	1		-4	44	Ab2	2	6
1	1	2	2	2.0		1/2	1/2	3/2	3	1	1/2			1/2	1		-4	56	Ab3	3	3
1	1	4	4	2.0		1	1	3/2	1	1	1/2			1/2	1	1	0	72	C5	5	0
2	2	6	6	2.0		0	0	3/2	3	1	1/2			1/2	1	1	0	60	C4	4	21
2	2	6	6	0.5		0	0	3/2	1	1	1/8			1/8	1	-1	0	72	C5	5	7
2	2	13/2	13/2	0.5		1/8	1/8	3/2	1	1	1/8			1/8	1		-2	70	Bb4	4	8
2	2	7	7	0.5		1/4	1/4	3/2	1	1	1/8			1/8	1		-4	68	Ab4	4	9
2	2	15/2	15/2	0.5		3/8	3/8	3/2	1	1	1/8			1/8	1		1	67	G4	4	10
2	2	8	8	0.5		1/2	1/2	3/2	3	1	1/8			1/8	1	-1	0	60	C4	4	22
2	2	8	8	0.5		1/2	1/2	3/2	1	1	1/8			1/8	1		-1	65	F4	4	11
2	2	8	8	2.0		1/2	1/2	3/2	2	1	1/2			1/2	1	1	0	72	C5	5	16
2	2	17/2	17/2	0.5		5/8	5/8	3/2	3	1	1/8			1/8	1		-2	58	Bb3	3	23
2	2	17/2	17/2	0.5		5/8	5/8	3/2	1	1	1/8			1/8	1		-4	68	Ab4	4	12
2	2	9	9	0.5		3/4	3/4	3/2	3	1	1/8			1/8	1		-4	56	Ab3	3	24
2	2	9	9	0.5		3/4	3/4	3/2	1	1	1/8			1/8	1		0	72	C5	5	13
2	2	19/2	19/2	0.5		7/8	7/8	3/2	3	1	1/8			1/8	1		1	55	G3	3	25
2	2	19/2	19/2	0.5		7/8	7/8	3/2	1	1	1/8			1/8	1		4	76	E5	5	14
2	2	10	10	0.5		1	1	3/2	3	1	1/8			1/8	1		-1	53	F3	3	26
2	2	10	10	0.5		1	1	3/2	2	1	1/8			1/8	1	-1	0	72	C5	5	17
2	2	10	10	1.0		1	1	3/2	1	1	1/4			1/4	1		-1	77	F5	5	15
2	2	21/2	21/2	0.5		9/8	9/8	3/2	3	1	1/8			1/8	1		-4	56	Ab3	3	27
2	2	21/2	21/2	0.5		9/8	9/8	3/2	2	1	1/8			1/8	1		-2	70	Bb4	4	18
2	2	11	11	0.5		5/4	5/4	3/2	3	1	1/8			1/8	1		0	60	C4	4	28
2	2	11	11	0.5		5/4	5/4	3/2	2	1	1/8			1/8	1		-4	68	Ab4	4	19
2	2	23/2	23/2	0.5		11/8	11/8	3/2	3	1	1/8			1/8	1		-1	65	F4	4	29
2	2	23/2	23/2	0.5		11/8	11/8	3/2	2	1	1/8			1/8	1		1	67	G4	4	20
3	3	12	12	1.5		0	0	3/2	4	1	3/8			1/4	3/2		0	48	C3	3	35
3	3	12	12	1.5		0	0	3/2	3	1	3/8			1/4	3/2		0	60	C4	4	32
3	3	12	12	1.0		0	0	3/2	2	1	1/4			1/4	1		-1	65	F4	4	31
3	3	27/2	27/2	0.5		3/8	3/8	3/2	4	1	1/8			1/8	1		3	45	A2	2	36
3	3	27/2	27/2	0.5		3/8	3/8	3/2	3	1	1/8			1/8	1		3	57	A3	3	33
3	3	14	14	2.0		1/2	1/2	3/2	4	1	1/2			1/2	1		-5	49	Db3	3	37
3	3	14	14	2.0		1/2	1/2	3/2	3	1	1/2			1/2	1		-5	61	Db4	4	34
3	3	16	16	2.0		1	1	3/2	1	1	1/2			1/2	1	1	-1	77	F5	5	30
4	4	18	18	2.0		0	0	3/2	2	1	1/2			1/2	1	1	-1	65	F4	4	47
4	4	18	18	0.5		0	0	3/2	1	1	1/8			1/8	1	-1	-1	77	F5	5	38
