mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0		0	0	6/8	4	1	1/4			1/4	1		4	52	E3	3	6
1	1	0	1.0		0	0	6/8	3	1	1/4			1/4	1		5	59	B3	3	4
1	1	0	1.0		0	0	6/8	1	1	1/4			1/4	1		4	64	E4	4	0
1	1	0	1.0		0	0	6/8	3	1	1/4			1/4	1		4	64	E4	4	4
1	1	0	1.0		0	0	6/8	2	1	1/4			1/4	1		1	67	G4	4	2
1	1	0	1.0		0	0	6/8	1	1	1/4			1/4	1		5	71	B4	4	0
1	1	0	1.0		0	0	6/8	2	1	1/4			1/4	1		5	71	B4	4	2
1	1	0	1.0		0	0	6/8	1	1	1/4			1/4	1		4	76	E5	5	0
1	1	0	1.0		0	0	6/8	2	1	1/4			1/4	1		4	76	E5	5	2
1	1	3/2	1.0		3/8	3/8	6/8	4	1	1/4			1/4	1		9	51	D#3	3	7
1	1	3/2	1.0		3/8	3/8	6/8	3	1	1/4			1/4	1		5	59	B3	3	5
1	1	3/2	1.0		3/8	3/8	6/8	3	1	1/4			1/4	1		6	66	F#4	4	5
1	1	3/2	1.0		3/8	3/8	6/8	1	1	1/4			1/4	1		5	71	B4	4	1
1	1	3/2	1.0		3/8	3/8	6/8	2	1	1/4			1/4	1		5	71	B4	4	3
1	1	3/2	1.0		3/8	3/8	6/8	2	1	1/4			1/4	1		6	78	F#5	5	3
1	1	3/2	1.0		3/8	3/8	6/8	1	1	1/4			1/4	1		5	83	B5	5	1
3	3	6	0.5		0	0	6/8	4	1	1/8			1/8	1		4	52	E3	3	13
3	3	6	0.5		0	0	6/8	1	1	1/8			1/8	1		4	64	E4	4	8
3	3	13/2	0.5		1/8	1/8	6/8	4	1	1/8			1/8	1		5	47	B2	2	14
3	3	13/2	0.5		1/8	1/8	6/8	1	1	1/8			1/8	1		5	59	B3	3	9
3	3	7	0.5		1/4	1/4	6/8	4	1	1/8			1/8	1		1	55	G3	3	15
3	3	7	0.5		1/4	1/4	6/8	1	1	1/8			1/8	1		1	67	G4	4	10
3	3	15/2	1.5		3/8	3/8	6/8	2	1	3/8			1/4	3/2		5	59	B3	3	12
3	3	15/2	1.5		3/8	3/8	6/8	4	1	3/8			1/4	3/2	1	5	59	B3	3	16
3	3	15/2	1.5		3/8	3/8	6/8	1	1	3/8			1/4	3/2	1	5	71	B4	4	11
4	4	9	1.5		0	0	6/8	3	1	3/8			1/4	3/2		6	54	F#3	3	26
4	4	9	1.5		0	0	6/8	2	1	3/8			1/4	3/2		3	57	A3	3	24
4	4	9	1.0		0	0	6/8	4	1	1/4			1/4	1	-1	5	59	B3	3	28
4	4	9	0.25		0	0	6/8	1	1	1/16			1/16	1	-1	5	71	B4	4	17
4	4	37/4	0.25		1/16	1/16	6/8	1	1	1/16			1/16	1		0	72	C5	5	18
4	4	19/2	0.25		1/8	1/8	6/8	1	1	1/16			1/16	1		3	69	A4	4	19
4	4	39/4	0.25		3/16	3/16	6/8	1	1	1/16			1/16	1		6	66	F#4	4	20
4	4	10	0.5		1/4	1/4	6/8	4	1	1/8			1/8	1		5	47	B2	2	29
4	4	10	0.25		1/4	1/4	6/8	1	1	1/16			1/16	1		9	63	D#4	4	21
4	4	41/4	0.25		5/16	5/16	6/8	1	1	1/16			1/16	1		5	59	B3	3	22
4	4	21/2	1.0		3/8	3/8	6/8	4	1	1/4			1/4	1		4	40	E2	2	30
4	4	21/2	1.0		3/8	3/8	6/8	3	1	1/4			1/4	1		4	52	E3	3	27
4	4	21/2	1.0		3/8	3/8	6/8	2	1	1/4			1/4	1		1	55	G3	3	25
4	4	21/2	1.0		3/8	3/8	6/8	1	1	1/4			1/4	1		4	64	E4	4	23
6	6	15	0.5		0	0	6/8	4	1	1/8			1/8	1		-1	41	F2	2	40
6	6	15	0.5		0	0	6/8	3	1	1/8			1/8	1		-1	53	F3	3	36
6	6	15	0.5		0	0	6/8	1	1	1/8			1/8	1		-1	65	F4	4	31
6	6	31/2	0.5		1/8	1/8	6/8	4	1	1/8			1/8	1		0	36	C2	2	41
6	6	31/2	0.5		1/8	1/8	6/8	3	1	1/8			1/8	1		0	48	C3	3	37
6	6	31/2	0.5		1/8	1/8	6/8	1	1	1/8			1/8	1		0	60	C4	4	32
6	6	16	0.5		1/4	1/4	6/8	4	1	1/8			1/8	1		3	45	A2	2	42
6	6	16	0.5		1/4	1/4	6/8	3	1	1/8			1/8	1		3	57	A3	3	38
6	6	16	0.5		1/4	1/4	6/8	1	1	1/8			1/8	1		3	69	A4	4	33
6	6	33/2	1.5		3/8	3/8	6/8	4	1	3/8			1/4	3/2	1	0	48	C3	3	43
6	6	33/2	1.5		3/8	3/8	6/8	2	1	3/8			1/4	3/2		0	60	C4	4	35
6	6	33/2	1.5		3/8	3/8	6/8	3	1	3/8			1/4	3/2		0	60	C4	4	39
6	6	33/2	1.5		3/8	3/8	6/8	1	1	3/8			1/4	3/2	1	0	72	C5	5	34
7	7	18	1.0		0	0	6/8	4	1	1/4			1/4	1	-1	0	48	C3	3	55
7	7	18	1.5		0	0	6/8	3	1	3/8			1/4	3/2		1	55	G3	3	53
7	7	18	1.5		0	0	6/8	2	1	3/8			1/4	3/2		-2	58	Bb3	3	51
7	7	18	0.25		0	0	6/8	1	1	1/16			1/16	1	-1	0	72	C5	5	44
7	7	73/4	0.25		1/16	1/16	6/8	1	1	1/16			1/16	1		2	74	D5	5	45
7	7	37/2	0.25		1/8	1/8	6/8	1	1	1/16			1/16	1		-2	70	Bb4	4	46
7	7	75/4	0.25		3/16	3/16	6/8	1	1	1/16			1/16	1		1	67	G4	4	47
7	7	19	0.5		1/4	1/4	6/8	4	1	1/8			1/8	1		0	48	C3	3	56
7	7	19	0.25		1/4	1/4	6/8	1	1	1/16			1/16	1		4	64	E4	4	48
7	7	77/4	0.25		5/16	5/16	6/8	1	1	1/16			1/16	1		0	60	C4	4	49
7	7	39/2	1.0		3/8	3/8	6/8	4	1	1/4			1/4	1		-1	41	F2	2	57
7	7	39/2	1.0		3/8	3/8	6/8	3	1	1/4			1/4	1		-1	53	F3	3	54
7	7	39/2	1.0		3/8	3/8	6/8	2	1	1/4			1/4	1		3	57	A3	3	52
7	7	39/2	1.0		3/8	3/8	6/8	1	1	1/4			1/4	1		-1	65	F4	4	50
9	9	24	0.5		0	0	6/8	3	1	1/8			1/8	1		6	66	F#4	4	61
9	9	49/2	0.5		1/8	1/8	6/8	3	1	1/8			1/8	1		9	63	D#4	4	62
