mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	3.0		0	0	3/4	4	1	3/4			1/2	3/2	1	6	54	F#3	3	3
1	1	0	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	0	60	C4	4	2
1	1	0	3.0		0	0	3/4	2	1	3/4			1/2	3/2	1	-3	63	Eb4	4	1
1	1	0	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	3	69	A4	4	0
2	2	3	1.0		0	0	3/4	4	1	1/4			1/4	1	-1	6	54	F#3	3	7
2	2	3	1.0		0	0	3/4	3	1	1/4			1/4	1	-1	0	60	C4	4	6
2	2	3	1.0		0	0	3/4	2	1	1/4			1/4	1	-1	-3	63	Eb4	4	5
2	2	3	1.0		0	0	3/4	1	1	1/4			1/4	1	-1	3	69	A4	4	4
3	3	6	3.0		0	0	3/4	4	1	3/4			1/2	3/2	1	-1	53	F3	3	11
3	3	6	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	0	60	C4	4	10
3	3	6	3.0		0	0	3/4	2	1	3/4			1/2	3/2	1	-3	63	Eb4	4	9
3	3	6	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	3	69	A4	4	8
4	4	9	1.0		0	0	3/4	4	1	1/4			1/4	1	-1	-1	53	F3	3	15
4	4	9	1.0		0	0	3/4	3	1	1/4			1/4	1	-1	0	60	C4	4	14
4	4	9	1.0		0	0	3/4	2	1	1/4			1/4	1	-1	-3	63	Eb4	4	13
4	4	9	1.0		0	0	3/4	1	1	1/4			1/4	1	-1	3	69	A4	4	12
5	5	12	3.0		0	0	3/4	4	1	3/4			1/2	3/2		4	52	E3	3	19
5	5	12	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	0	60	C4	4	18
5	5	12	3.0		0	0	3/4	2	1	3/4			1/2	3/2		4	64	E4	4	17
5	5	12	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	3	69	A4	4	16
6	6	15	2.0		0	0	3/4	4	1	1/2			1/2	1		2	50	D3	3	24
6	6	15	2.0		0	0	3/4	3	1	1/2			1/2	1	-1	0	60	C4	4	22
6	6	15	3.0		0	0	3/4	2	1	3/4			1/2	3/2	1	6	66	F#4	4	21
6	6	15	3.0		0	0	3/4	1	1	3/4			1/2	3/2	-1	3	69	A4	4	20
6	6	17	0.75		1/2	1/2	3/4	4	1	3/16			1/8	3/2		0	48	C3	3	25
6	6	17	1.0		1/2	1/2	3/4	3	1	1/4			1/4	1	1	2	62	D4	4	23
6	6	71/4	0.125		11/16	11/16	3/4	4	1	1/32			1/32	1		5	47	B2	2	26
6	6	143/8	0.125		23/32	23/32	3/4	4	1	1/32			1/32	1		0	48	C3	3	27
7	7	18	2.0		0	0	3/4	4	1	1/2			1/2	1		5	47	B2	2	35
7	7	18	1.0		0	0	3/4	3	1	1/4			1/4	1	-1	2	62	D4	4	32
7	7	18	1.0		0	0	3/4	2	1	1/4			1/4	1	-1	6	66	F#4	4	29
7	7	18	3.0		0	0	3/4	1	1	3/4			1/2	3/2		2	74	D5	5	28
7	7	19	1.0		1/4	1/4	3/4	3	1	1/4			1/4	1		1	67	G4	4	33
7	7	19	1.0		1/4	1/4	3/4	2	1	1/4			1/4	1		5	71	B4	4	30
7	7	20	1.0		1/2	1/2	3/4	4	1	1/4			1/4	1		3	45	A2	2	36
7	7	20	1.0		1/2	1/2	3/4	3	1	1/4			1/4	1		6	66	F#4	4	34
7	7	20	1.0		1/2	1/2	3/4	2	1	1/4			1/4	1		0	72	C5	5	31
8	8	21	3.0		0	0	3/4	4	1	3/4			1/2	3/2	1	-4	44	Ab2	2	40
8	8	21	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	2	62	D4	4	37
8	8	21	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	-1	65	F4	4	39
8	8	21	3.0		0	0	3/4	2	1	3/4			1/2	3/2		0	72	C5	5	38
8	8	21	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	2	74	D5	5	37
9	9	24	1.0		0	0	3/4	4	1	1/4			1/4	1	-1	-4	44	Ab2	2	44
9	9	24	1.0		0	0	3/4	1	1	1/4			1/4	1	-1	2	62	D4	4	41
9	9	24	1.0		0	0	3/4	3	1	1/4			1/4	1	-1	-1	65	F4	4	43
9	9	24	1.0		0	0	3/4	2	1	1/4			1/4	1		5	71	B4	4	42
9	9	24	1.0		0	0	3/4	1	1	1/4			1/4	1	-1	2	74	D5	5	41
10	10	27	3.0		0	0	3/4	4	1	3/4			1/2	3/2	1	-4	44	Ab2	2	48
10	10	27	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	2	62	D4	4	45
10	10	27	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	-1	65	F4	4	47
10	10	27	3.0		0	0	3/4	2	1	3/4			1/2	3/2		5	71	B4	4	46
10	10	27	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	2	74	D5	5	45
11	11	30	3.0		0	0	3/4	4	1	3/4			1/2	3/2	0	-4	44	Ab2	2	53
11	11	30	3.0		0	0	3/4	1	1	3/4			1/2	3/2	-1	2	62	D4	4	49
11	11	30	3.0		0	0	3/4	3	1	3/4			1/2	3/2	-1	-1	65	F4	4	52
11	11	30	2.0		0	0	3/4	2	1	1/2			1/2	1		-2	70	Bb4	4	50
11	11	30	3.0		0	0	3/4	1	1	3/4			1/2	3/2	-1	2	74	D5	5	49
11	11	32	1.0		1/2	1/2	3/4	2	1	1/4			1/4	1	1	-2	58	Bb3	3	51
12	12	33	2.0		0	0	3/4	4	1	1/2			1/2	1	-1	-4	44	Ab2	2	57
12	12	33	3.0		0	0	3/4	2	1	3/4			1/2	3/2	0	-2	58	Bb3	3	55
12	12	33	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	-3	63	Eb4	4	56
12	12	33	3.0		0	0	3/4	1	1	3/4			1/2	3/2		-3	75	Eb5	5	54
12	12	35	1.0		1/2	1/2	3/4	4	1	1/4			1/4	1	1	1	43	G2	2	58
13	13	36	2.0		0	0	3/4	4	1	1/2			1/2	1	-1	1	43	G2	2	68
13	13	36	2.0		0	0	3/4	2	1	1/2			1/2	1	-1	-2	58	Bb3	3	64
13	13	36	2.0		0	0	3/4	3	1	1/2			1/2	1	-1	-3	63	Eb4	4	66
13	13	36	2.0		0	0	3/4	1	1	1/2			1/2	1		1	79	G5	5	59
13	13	38	0.0		1/2	1/2	3/4	1	1	0		grace16	1/16	1		-2	82	Bb5	5	60
13	13	38	1.0		1/2	1/2	3/4	4	1	1/4			1/4	1	1	-1	41	F2	2	69
13	13	38	1.0		1/2	1/2	3/4	2	1	1/4			1/4	1		5	59	B3	3	65
13	13	38	1.0		1/2	1/2	3/4	3	1	1/4			1/4	1		2	62	D4	4	67
13	13	38	0.75		1/2	1/2	3/4	1	1	3/16			1/8	3/2		-4	80	Ab5	5	61
13	13	155/4	0.125		11/16	11/16	3/4	1	1	1/32			1/32	1		1	79	G5	5	62
13	13	311/8	0.125		23/32	23/32	3/4	1	1	1/32			1/32	1		-4	80	Ab5	5	63
14	14	39	3.0		0	0	3/4	4	1	3/4			1/2	3/2	-1	-1	41	F2	2	73
14	14	39	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	1	55	G3	3	72
14	14	39	3.0		0	0	3/4	2	1	3/4			1/2	3/2	1	-5	61	Db4	4	71
14	14	39	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	-2	82	Bb5	5	70
15	15	42	3.0		0	0	3/4	4	1	3/4			1/2	3/2	1	4	40	E2	2	77
15	15	42	3.0		0	0	3/4	3	1	3/4			1/2	3/2	0	1	55	G3	3	76
15	15	42	3.0		0	0	3/4	2	1	3/4			1/2	3/2	-1	-5	61	Db4	4	75
15	15	42	3.0		0	0	3/4	1	1	3/4			1/2	3/2	0	-2	82	Bb5	5	74
16	16	45	3.0		0	0	3/4	4	1	3/4			1/2	3/2	-1	4	40	E2	2	81
16	16	45	3.0		0	0	3/4	3	1	3/4			1/2	3/2	0	1	55	G3	3	80
16	16	45	3.0		0	0	3/4	2	1	3/4			1/2	3/2	1	0	60	C4	4	79
16	16	45	3.0		0	0	3/4	1	1	3/4			1/2	3/2	-1	-2	82	Bb5	5	78
17	17	48	3.0		0	0	3/4	4	1	3/4			1/2	3/2		-3	39	Eb2	2	86
17	17	48	3.0		0	0	3/4	3	1	3/4			1/2	3/2	-1	1	55	G3	3	85
17	17	48	2.0		0	0	3/4	2	1	1/2			1/2	1	-1	0	60	C4	4	83
17	17	48	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	0	84	C6	6	82
17	17	50	1.0		1/2	1/2	3/4	2	1	1/4			1/4	1		1	67	G4	4	84
18	18	51	3.0		0	0	3/4	4	1	3/4			1/2	3/2	1	2	38	D2	2	94
18	18	51	2.0		0	0	3/4	3	1	1/2			1/2	1		-4	56	Ab3	3	92
18	18	51	2.0		0	0	3/4	2	1	1/2			1/2	1		6	66	F#4	4	88
18	18	51	3.0		0	0	3/4	1	1	3/4			1/2	3/2	0	0	84	C6	6	87
18	18	53	1.0		1/2	1/2	3/4	3	1	1/4			1/4	1		1	55	G3	3	93
18	18	53	0.75		1/2	1/2	3/4	2	1	3/16			1/8	3/2		1	67	G4	4	89
18	18	215/4	0.125		11/16	11/16	3/4	2	1	1/32			1/32	1		6	66	F#4	4	90
18	18	431/8	0.125		23/32	23/32	3/4	2	1	1/32			1/32	1		1	67	G4	4	91
19	19	54	3.0		0	0	3/4	4	1	3/4			1/2	3/2	0	2	38	D2	2	98
19	19	54	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	-1	53	F3	3	97
19	19	54	3.0		0	0	3/4	2	1	3/4			1/2	3/2	1	-4	68	Ab4	4	96
19	19	54	3.0		0	0	3/4	1	1	3/4			1/2	3/2	-1	0	84	C6	6	95
20	20	57	3.0		0	0	3/4	4	1	3/4			1/2	3/2	-1	2	38	D2	2	102
20	20	57	3.0		0	0	3/4	3	1	3/4			1/2	3/2	0	-1	53	F3	3	101
20	20	57	3.0		0	0	3/4	2	1	3/4			1/2	3/2	0	-4	68	Ab4	4	100
20	20	57	3.0		0	0	3/4	1	1	3/4			1/2	3/2		5	83	B5	5	99
21	21	60	3.0		0	0	3/4	4	1	3/4			1/2	3/2		0	36	C2	2	106
21	21	60	3.0		0	0	3/4	3	1	3/4			1/2	3/2	-1	-1	53	F3	3	105
21	21	60	3.0		0	0	3/4	2	1	3/4			1/2	3/2	-1	-4	68	Ab4	4	104
21	21	60	3.0		0	0	3/4	1	1	3/4			1/2	3/2		0	84	C6	6	103
22	22	63	3.0		0	0	3/4	4	1	3/4			1/2	3/2	1	5	47	B2	2	110
22	22	63	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	-1	53	F3	3	109
22	22	63	3.0		0	0	3/4	2	1	3/4			1/2	3/2	1	-4	68	Ab4	4	108
22	22	63	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	2	86	D6	6	107
23	23	66	3.0		0	0	3/4	4	1	3/4			1/2	3/2	0	5	47	B2	2	114
23	23	66	3.0		0	0	3/4	3	1	3/4			1/2	3/2	0	-1	53	F3	3	113
23	23	66	3.0		0	0	3/4	2	1	3/4			1/2	3/2	0	-4	68	Ab4	4	112
23	23	66	3.0		0	0	3/4	1	1	3/4			1/2	3/2	0	2	86	D6	6	111
24	24	69	1.0		0	0	3/4	4	1	1/4			1/4	1	-1	5	47	B2	2	118
24	24	69	1.0		0	0	3/4	3	1	1/4			1/4	1	-1	-1	53	F3	3	117
24	24	69	1.0		0	0	3/4	2	1	1/4			1/4	1	-1	-4	68	Ab4	4	116
24	24	69	1.0		0	0	3/4	1	1	1/4			1/4	1	-1	2	86	D6	6	115
26	26	75	3.0		0	0	3/4	4	1	3/4			1/2	3/2	1	5	47	B2	2	122
26	26	75	3.0		0	0	3/4	3	1	3/4			1/2	3/2	1	-4	56	Ab3	3	121
26	26	75	3.0		0	0	3/4	2	1	3/4			1/2	3/2	1	2	62	D4	4	120
26	26	75	3.0		0	0	3/4	1	1	3/4			1/2	3/2	1	-1	65	F4	4	119
27	27	78	3.0		0	0	3/4	4	1	3/4			1/2	3/2	0	5	47	B2	2	126
27	27	78	3.0		0	0	3/4	3	1	3/4			1/2	3/2	0	-4	56	Ab3	3	125
27	27	78	3.0		0	0	3/4	2	1	3/4			1/2	3/2	0	2	62	D4	4	124
27	27	78	3.0		0	0	3/4	1	1	3/4			1/2	3/2	0	-1	65	F4	4	123
28	28	81	3.0		0	0	3/4	4	1	3/4			1/2	3/2	0	5	47	B2	2	130
28	28	81	3.0		0	0	3/4	3	1	3/4			1/2	3/2	-1	-4	56	Ab3	3	129
28	28	81	3.0		0	0	3/4	2	1	3/4			1/2	3/2	0	2	62	D4	4	128
28	28	81	3.0		0	0	3/4	1	1	3/4			1/2	3/2	0	-1	65	F4	4	127
29	29	84	2.0		0	0	3/4	4	1	1/2			1/2	1	-1	5	47	B2	2	134
29	29	84	2.0		0	0	3/4	3	1	1/2			1/2	1		1	55	G3	3	133
29	29	84	2.0		0	0	3/4	2	1	1/2			1/2	1	-1	2	62	D4	4	132
29	29	84	2.0		0	0	3/4	1	1	1/2			1/2	1	-1	-1	65	F4	4	131
30	30	86	0.5		0	3/4	4/4	4	1	1/8			1/8	1		0	48	C3	3	138
30	30	86	0.5		0	3/4	4/4	3	1	1/8			1/8	1		1	55	G3	3	137
30	30	86	0.5		0	3/4	4/4	2	1	1/8			1/8	1		0	60	C4	4	136
30	30	86	0.5		0	3/4	4/4	1	1	1/8			1/8	1		4	64	E4	4	135
31	31	87	3.0		0	0	4/4	4	1	3/4			1/2	3/2		1	43	G2	2	144
31	31	87	3.0		0	0	4/4	3	1	3/4			1/2	3/2		1	55	G3	3	143
31	31	87	3.0		0	0	4/4	2	1	3/4			1/2	3/2		5	59	B3	3	142
31	31	87	3.0		0	0	4/4	2	1	3/4			1/2	3/2		2	62	D4	4	142
31	31	87	3.0		0	0	4/4	1	1	3/4			1/2	3/2		-1	65	F4	4	139
31	31	90	0.5		3/4	3/4	4/4	1	1	1/8			1/8	1		2	74	D5	5	140
31	31	363/4	0.25		15/16	15/16	4/4	1	1	1/16			1/16	1		4	76	E5	5	141
32	32	91	0.5		0	0	4/4	1	1	1/8			1/8	1		1	79	G5	5	145
32	32	183/2	0.5		1/8	1/8	4/4	1	1	1/8			1/8	1		-1	77	F5	5	146
32	32	92	0.5		1/4	1/4	4/4	1	1	1/8			1/8	1		2	74	D5	5	147
32	32	371/4	0.25		7/16	7/16	4/4	1	1	1/16			1/16	1		4	76	E5	5	148
32	32	93	0.5		1/2	1/2	4/4	1	1	1/8			1/8	1		4	76	E5	5	149
32	32	187/2	0.5		5/8	5/8	4/4	1	1	1/8			1/8	1		2	74	D5	5	150
32	32	94	0.5		3/4	3/4	4/4	1	1	1/8			1/8	1		5	71	B4	4	151
32	32	379/4	0.25		15/16	15/16	4/4	1	1	1/16			1/16	1		0	72	C5	5	152
33	33	95	0.5		0	0	4/4	1	1	1/8			1/8	1		0	72	C5	5	153
33	33	191/2	0.5		1/8	1/8	4/4	1	1	1/8			1/8	1		5	71	B4	4	154
33	33	96	0.5		1/4	1/4	4/4	1	1	1/8			1/8	1		1	67	G4	4	155
33	33	387/4	0.25		7/16	7/16	4/4	1	1	1/16			1/16	1		3	69	A4	4	156
