mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1.0	1/4	1/4	2/4	2	1	1/4			1/4	1	1	0	60	C4	4	0
2	2	2	1.0	0	0	2/4	3	1	1/4			1/4	1		-1	53	F3	3	7
2	2	2	2.0	0	0	2/4	2	1	1/2			1/2	1	0	0	60	C4	4	6
2	2	2	0.5	0	0	2/4	1	1	1/8			1/8	1		0	72	C5	5	1
2	2	5/2	0.375	1/8	1/8	2/4	1	1	3/32			1/16	3/2		-3	75	Eb5	5	2
2	2	23/8	0.125	7/32	7/32	2/4	1	1	1/32			1/32	1		-5	73	Db5	5	3
2	2	3	1.0	1/4	1/4	2/4	4	1	1/4			1/4	1	1	0	48	C3	3	9
2	2	3	1.0	1/4	1/4	2/4	3	1	1/4			1/4	1		1	55	G3	3	8
2	2	3	0.5	1/4	1/4	2/4	1	1	1/8			1/8	1		-1	65	F4	4	4
2	2	7/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		4	64	E4	4	5
3	3	4	0.5	0	0	2/4	4	1	1/8			1/8	1	-1	0	48	C3	3	23
3	3	4	0.5	0	0	2/4	3	1	1/8			1/8	1		-4	56	Ab3	3	19
3	3	4	0.5	0	0	2/4	2	1	1/8			1/8	1	-1	0	60	C4	4	15
3	3	4	0.5	0	0	2/4	1	1	1/8			1/8	1		-1	65	F4	4	10
3	3	9/2	0.5	1/8	1/8	2/4	4	1	1/8			1/8	1		0	48	C3	3	24
3	3	9/2	0.5	1/8	1/8	2/4	3	1	1/8			1/8	1		4	52	E3	3	20
3	3	9/2	0.5	1/8	1/8	2/4	2	1	1/8			1/8	1	1	0	60	C4	4	16
3	3	9/2	0.375	1/8	1/8	2/4	1	1	3/32			1/16	3/2		0	72	C5	5	11
3	3	39/8	0.125	7/32	7/32	2/4	1	1	1/32			1/32	1		1	67	G4	4	12
3	3	5	0.5	1/4	1/4	2/4	4	1	1/8			1/8	1		-1	41	F2	2	25
3	3	5	0.5	1/4	1/4	2/4	3	1	1/8			1/8	1		1	55	G3	3	21
3	3	5	0.5	1/4	1/4	2/4	2	1	1/8			1/8	1	-1	0	60	C4	4	17
3	3	5	0.5	1/4	1/4	2/4	1	1	1/8			1/8	1		-2	70	Bb4	4	13
3	3	11/2	0.25	3/8	3/8	2/4	3	1	1/16			1/16	1		-1	53	F3	3	22
3	3	11/2	0.5	3/8	3/8	2/4	4	1	1/8			1/8	1	1	-1	53	F3	3	26
3	3	11/2	0.25	3/8	3/8	2/4	2	1	1/16			1/16	1		0	60	C4	4	18
3	3	11/2	0.25	3/8	3/8	2/4	1	1	1/16			1/16	1		-4	68	Ab4	4	14
4	4	6	0.5	0	0	2/4	4	1	1/8			1/8	1	-1	-1	53	F3	3	42
4	4	6	0.5	0	0	2/4	3	1	1/8			1/8	1		-4	56	Ab3	3	37
4	4	6	0.875	0	0	2/4	1	1	7/32			1/8	7/4		0	72	C5	5	27
4	4	13/2	0.5	1/8	1/8	2/4	4	1	1/8			1/8	1		-4	56	Ab3	3	43
4	4	13/2	0.5	1/8	1/8	2/4	3	1	1/8			1/8	1		0	60	C4	4	38
4	4	13/2	0.5	1/8	1/8	2/4	2	1	1/8			1/8	1		-1	65	F4	4	34
4	4	55/8	0.125	7/32	7/32	2/4	1	1	1/32			1/32	1		-1	77	F5	5	28
4	4	7	0.75	1/4	1/4	2/4	4	1	3/16			1/8	3/2		1	55	G3	3	44
4	4	7	0.5	1/4	1/4	2/4	3	1	1/8			1/8	1		-5	61	Db4	4	39
4	4	7	0.75	1/4	1/4	2/4	2	1	3/16			1/8	3/2		-2	70	Bb4	4	35
4	4	7	0.5	1/4	1/4	2/4	1	1	1/8			1/8	1		-1	77	F5	5	29
4	4	15/2	0.25	3/8	3/8	2/4	3	1	1/16			1/16	1		0	60	C4	4	40
4	4	15/2	0.25	3/8	3/8	2/4	1	1	1/16			1/16	1		4	76	E5	5	30
4	4	31/4	0.0	7/16	7/16	2/4	1	1	0	grace16after		1/16	1		-1	77	F5	5	31
4	4	31/4	0.0	7/16	7/16	2/4	1	1	0	grace16after		1/16	1		4	76	E5	5	32
4	4	31/4	0.25	7/16	7/16	2/4	4	1	1/16			1/16	1		-1	53	F3	3	45
4	4	31/4	0.25	7/16	7/16	2/4	3	1	1/16			1/16	1		0	60	C4	4	41
4	4	31/4	0.25	7/16	7/16	2/4	2	1	1/16			1/16	1		-4	68	Ab4	4	36
4	4	31/4	0.25	7/16	7/16	2/4	1	1	1/16			1/16	1		-1	77	F5	5	33
5	5	8	0.25	0	0	2/4	4	1	1/16			1/16	1		4	52	E3	3	64
5	5	8	0.25	0	0	2/4	3	1	1/16			1/16	1		0	60	C4	4	58
5	5	8	0.25	0	0	2/4	2	1	1/16			1/16	1		1	67	G4	4	52
5	5	8	0.25	0	0	2/4	1	1	1/16			1/16	1		1	79	G5	5	46
5	5	33/4	0.25	1/16	1/16	2/4	4	1	1/16			1/16	1		0	48	C3	3	65
5	5	33/4	0.25	1/16	1/16	2/4	3	1	1/16			1/16	1		1	67	G4	4	59
5	5	33/4	0.25	1/16	1/16	2/4	2	1	1/16			1/16	1		-2	70	Bb4	4	53
5	5	33/4	0.25	1/16	1/16	2/4	1	1	1/16			1/16	1		0	72	C5	5	47
5	5	17/2	0.25	1/8	1/8	2/4	4	1	1/16			1/16	1		-1	53	F3	3	66
5	5	17/2	0.25	1/8	1/8	2/4	3	1	1/16			1/16	1		-1	65	F4	4	60
5	5	17/2	0.25	1/8	1/8	2/4	2	1	1/16			1/16	1		-4	68	Ab4	4	54
5	5	17/2	0.25	1/8	1/8	2/4	1	1	1/16			1/16	1		0	72	C5	5	48
5	5	35/4	0.25	3/16	3/16	2/4	4	1	1/16			1/16	1		-4	56	Ab3	3	67
5	5	35/4	0.25	3/16	3/16	2/4	3	1	1/16			1/16	1		-1	65	F4	4	61
5	5	35/4	0.25	3/16	3/16	2/4	2	1	1/16			1/16	1		-4	68	Ab4	4	55
5	5	35/4	0.25	3/16	3/16	2/4	1	1	1/16			1/16	1		5	71	B4	4	49
5	5	9	1.0	1/4	1/4	2/4	4	1	1/4			1/4	1		0	60	C4	4	68
5	5	9	0.5	1/4	1/4	2/4	3	1	1/8			1/8	1		-1	65	F4	4	62
5	5	9	0.5	1/4	1/4	2/4	2	1	1/8			1/8	1		-4	68	Ab4	4	56
5	5	9	0.5	1/4	1/4	2/4	1	1	1/8			1/8	1		5	71	B4	4	50
5	5	19/2	0.5	3/8	3/8	2/4	3	1	1/8			1/8	1		4	64	E4	4	63
5	5	19/2	0.5	3/8	3/8	2/4	2	1	1/8			1/8	1		1	67	G4	4	57
5	5	19/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		0	72	C5	5	51
6	6	10	0.5	0	0	2/4	4	1	1/8			1/8	1		-2	58	Bb3	3	81
6	6	10	1.0	0	0	2/4	3	1	1/4			1/4	1		-3	63	Eb4	4	77
6	6	10	1.0	0	0	2/4	2	1	1/4			1/4	1		1	67	G4	4	74
6	6	10	0.5	0	0	2/4	1	1	1/8			1/8	1		-5	73	Db5	5	69
6	6	21/2	0.5	1/8	1/8	2/4	4	1	1/8			1/8	1		-5	61	Db4	4	82
6	6	21/2	0.375	1/8	1/8	2/4	1	1	3/32			1/16	3/2		-2	70	Bb4	4	70
6	6	87/8	0.125	7/32	7/32	2/4	1	1	1/32			1/32	1		-3	75	Eb5	5	71
6	6	11	0.75	1/4	1/4	2/4	4	1	3/16			1/8	3/2		0	60	C4	4	83
6	6	11	0.5	1/4	1/4	2/4	3	1	1/8			1/8	1		-3	63	Eb4	4	78
6	6	11	0.75	1/4	1/4	2/4	2	1	3/16			1/8	3/2		-4	68	Ab4	4	75
6	6	11	0.75	1/4	1/4	2/4	1	1	3/16			1/8	3/2		-3	75	Eb5	5	72
6	6	23/2	0.375	3/8	3/8	2/4	3	1	3/32			1/16	3/2		-4	68	Ab4	4	79
6	6	47/4	0.25	7/16	7/16	2/4	4	1	1/16			1/16	1		-4	56	Ab3	3	84
6	6	47/4	0.25	7/16	7/16	2/4	2	1	1/16			1/16	1		0	60	C4	4	76
6	6	47/4	0.25	7/16	7/16	2/4	1	1	1/16			1/16	1		0	72	C5	5	73
6	6	95/8	0.125	15/32	15/32	2/4	3	1	1/32			1/32	1		-3	63	Eb4	4	80
7	7	12	0.5	0	0	2/4	2	1	1/8			1/8	1		1	55	G3	3	91
7	7	12	0.5	0	0	2/4	4	1	1/8			1/8	1		-2	58	Bb3	3	99
7	7	12	1.0	0	0	2/4	3	1	1/4			1/4	1		-3	63	Eb4	4	95
7	7	12	0.25	0	0	2/4	1	1	1/16			1/16	1		-3	75	Eb5	5	85
7	7	49/4	0.25	1/16	1/16	2/4	1	1	1/16			1/16	1		-5	73	Db5	5	86
7	7	25/2	0.5	1/8	1/8	2/4	4	1	1/8			1/8	1		-5	61	Db4	4	100
7	7	25/2	0.5	1/8	1/8	2/4	2	1	1/8			1/8	1		1	67	G4	4	92
7	7	25/2	0.375	1/8	1/8	2/4	1	1	3/32			1/16	3/2		-2	70	Bb4	4	87
7	7	103/8	0.125	7/32	7/32	2/4	1	1	1/32			1/32	1		-3	75	Eb5	5	88
7	7	13	0.75	1/4	1/4	2/4	4	1	3/16			1/8	3/2		0	60	C4	4	101
7	7	13	0.5	1/4	1/4	2/4	3	1	1/8			1/8	1		-3	63	Eb4	4	96
7	7	13	0.75	1/4	1/4	2/4	2	1	3/16			1/8	3/2		-4	68	Ab4	4	93
7	7	13	0.5	1/4	1/4	2/4	1	1	1/8			1/8	1	1	-3	75	Eb5	5	89
7	7	27/2	0.375	3/8	3/8	2/4	3	1	3/32			1/16	3/2		-4	68	Ab4	4	97
7	7	27/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1	-1	-3	75	Eb5	5	90
7	7	55/4	0.25	7/16	7/16	2/4	4	1	1/16			1/16	1		-4	56	Ab3	3	102
7	7	55/4	0.25	7/16	7/16	2/4	2	1	1/16			1/16	1		0	72	C5	5	94
7	7	111/8	0.125	15/32	15/32	2/4	3	1	1/32			1/32	1		0	60	C4	4	98
8	8	14	1.0	0	0	2/4	4	1	1/4			1/4	1		1	55	G3	3	112
8	8	14	1.0	0	0	2/4	3	1	1/4			1/4	1		-2	58	Bb3	3	109
8	8	14	1.0	0	0	2/4	2	1	1/4			1/4	1		0	60	C4	4	106
8	8	14	1.0	0	0	2/4	2	1	1/4			1/4	1		4	64	E4	4	106
8	8	14	1.0	0	0	2/4	1	1	1/4			1/4	1		0	72	C5	5	103
8	8	14	1.0	0	0	2/4	1	1	1/4			1/4	1		4	76	E5	5	103
8	8	15	0.875	1/4	1/4	2/4	4	1	7/32			1/8	7/4		-1	53	F3	3	113
8	8	15	0.875	1/4	1/4	2/4	3	1	7/32			1/8	7/4		-4	56	Ab3	3	110
8	8	15	0.5	1/4	1/4	2/4	2	1	1/8			1/8	1		0	60	C4	4	107
8	8	15	0.5	1/4	1/4	2/4	2	1	1/8			1/8	1		-1	65	F4	4	107
8	8	15	0.875	1/4	1/4	2/4	1	1	7/32			1/8	7/4		0	72	C5	5	104
8	8	15	0.875	1/4	1/4	2/4	1	1	7/32			1/8	7/4		-1	77	F5	5	104
8	8	31/2	0.5	3/8	3/8	2/4	2	1	1/8			1/8	1		-4	68	Ab4	4	108
8	8	127/8	0.125	15/32	15/32	2/4	4	1	1/32			1/32	1		-5	49	Db3	3	114
8	8	127/8	0.125	15/32	15/32	2/4	3	1	1/32			1/32	1		-1	53	F3	3	111
8	8	127/8	0.125	15/32	15/32	2/4	1	1	1/32			1/32	1		-1	65	F4	4	105
9	9	16	0.5	0	0	2/4	4	1	1/8			1/8	1		-2	46	Bb2	2	131
9	9	16	0.5	0	0	2/4	3	1	1/8			1/8	1		-1	65	F4	4	125
9	9	16	0.5	0	0	2/4	2	1	1/8			1/8	1		-2	70	Bb4	4	119
9	9	16	0.5	0	0	2/4	1	1	1/8			1/8	1		-5	73	Db5	5	115
9	9	33/2	0.5	1/8	1/8	2/4	4	1	1/8			1/8	1		0	48	C3	3	132
9	9	33/2	0.5	1/8	1/8	2/4	3	1	1/8			1/8	1		4	64	E4	4	126
9	9	33/2	0.5	1/8	1/8	2/4	2	1	1/8			1/8	1		1	67	G4	4	120
9	9	33/2	0.5	1/8	1/8	2/4	1	1	1/8			1/8	1		0	72	C5	5	116
9	9	17	0.75	1/4	1/4	2/4	4	1	3/16			1/8	3/2		0	48	C3	3	133
9	9	17	0.25	1/4	1/4	2/4	3	1	1/16			1/16	1		4	64	E4	4	127
9	9	17	0.25	1/4	1/4	2/4	2	1	1/16			1/16	1		1	67	G4	4	121
9	9	17	0.5	1/4	1/4	2/4	1	1	1/8			1/8	1	1	0	72	C5	5	117
9	9	69/4	0.25	5/16	5/16	2/4	3	1	1/16			1/16	1		-2	58	Bb3	3	128
9	9	69/4	0.25	5/16	5/16	2/4	2	1	1/16			1/16	1		4	64	E4	4	122
9	9	35/2	0.25	3/8	3/8	2/4	3	1	1/16			1/16	1		-4	56	Ab3	3	129
9	9	35/2	0.25	3/8	3/8	2/4	2	1	1/16			1/16	1		-1	65	F4	4	123
9	9	35/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1	0	0	72	C5	5	118
9	9	71/4	0.25	7/16	7/16	2/4	3	1	1/16			1/16	1		4	52	E3	3	130
9	9	71/4	0.25	7/16	7/16	2/4	4	1	1/16			1/16	1		0	60	C4	4	134
9	9	71/4	0.25	7/16	7/16	2/4	2	1	1/16			1/16	1		-2	70	Bb4	4	124
10	10	18	1.0	0	0	2/4	3	1	1/4			1/4	1		-1	53	F3	3	142
10	10	18	1.0	0	0	2/4	2	1	1/4			1/4	1		-4	68	Ab4	4	139
10	10	18	0.5	0	0	2/4	4	1	1/8			1/8	1		0	72	C5	5	144
10	10	18	1.0	0	0	2/4	1	1	1/4			1/4	1	-1	0	72	C5	5	135
10	10	37/2	0.375	1/8	1/8	2/4	4	1	3/32			1/16	3/2		-3	75	Eb5	5	145
10	10	151/8	0.125	7/32	7/32	2/4	4	1	1/32			1/32	1		-5	73	Db5	5	146
10	10	19	1.0	1/4	1/4	2/4	3	1	1/4			1/4	1	1	0	48	C3	3	143
10	10	19	0.5	1/4	1/4	2/4	4	1	1/8			1/8	1		-1	65	F4	4	147
