"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".A.V"	""	"1"	"1.5"	"1.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"V"	""	""	""	""	false
"I64"	""	"2"	"1.0"	"2.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"I"	""	"64"	""	""	false
"I"	""	"2"	"3.0"	"4.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"3"	"3.0"	"8.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"I"	""	"6"	""	""	false
"I"	""	"3"	"4.0"	"9.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"4"	"1.0"	"10.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"4"	"3.0"	"12.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"5"	"1.0"	"14.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"5"	"3.0"	"16.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"I"	""	""	""	""	false
"V"	""	"6"	"1.0"	"18.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"V"	""	""	""	""	false
"V7/V"	""	"6"	"3.0"	"20.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"V"	""	"7"	""	"V"	false
"V\\\\"	""	"7"	"1.0"	"22.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"I"	""	"V"	""	""	""	""	true
"V7"	""	"8"	"1.0"	"26.5"	"2/2"	"18"	"5"	"4"	8.0	"A"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"10"	"1.0"	"34.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"10"	"3.0"	"36.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"11"	"1.0"	"38.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"11"	"3.0"	"40.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"12"	"1.0"	"42.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"12"	"3.0"	"44.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"13"	"1.0"	"46.5"	"2/2"	"18"	"5"	"4"	3.0	"A"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"13"	"4.0"	"49.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"V"	""	"6"	""	""	false
"I"	""	"14"	"1.0"	"50.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"I"	""	""	""	""	false
"viio"	""	"14"	"2.0"	"51.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"vii"	"o"	""	""	""	false
"I"	""	"14"	"4.0"	"53.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"I"	""	""	""	""	false
"V"	""	"15"	"1.0"	"54.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"I"	""	"V"	""	""	""	""	false
"V7"	""	"16"	"1.0"	"58.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"I"	""	"V"	""	"7"	""	""	false
"I6"	""	"17"	"1.0"	"62.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"I"	""	"6"	""	""	false
"V"	""	"17"	"3.0"	"64.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"V"	""	""	""	""	false
"I"	""	"18"	"1.0"	"66.5"	"2/2"	"18"	"5"	"4"	0.5	"A"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"18"	"1.5"	"67.0"	"2/2"	"18"	"5"	"4"	1.5	"A"	"I"	""	"V"	""	"6"	""	""	false
"V43"	""	"18"	"3.0"	"68.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	"18"	"4.0"	"69.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"I"	""	""	""	""	false
"V"	""	"19"	"1.0"	"70.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"V"	""	""	""	""	false
"I"	""	"19"	"3.0"	"72.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"20"	"1.0"	"74.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"V"	""	"43"	""	""	false
"V6/ii"	""	"20"	"2.0"	"75.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"V"	""	"6"	""	"ii"	false
"I6"	""	"20"	"3.0"	"76.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"I"	""	"6"	""	""	false
"V43"	""	"20"	"4.0"	"77.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	"21"	"1.0"	"78.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"I"	""	""	""	""	false
"IV64"	""	"21"	"3.0"	"80.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"I"	""	"IV"	""	"64"	""	""	false
"V.I6(2)"	""	"22"	"1.0"	"82.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	"6"	"2"	""	false
"I6"	""	"22"	"3.0"	"84.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	"6"	""	""	false
"#viio65(2)"	""	"23"	"1.0"	"86.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"#vii"	"o"	"65"	"2"	""	false
"#viio65"	""	"23"	"3.0"	"88.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"#vii"	"o"	"65"	""	""	false
"vi6(2)"	""	"24"	"1.0"	"90.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"vi"	""	"6"	"2"	""	false
"vi6"	""	"24"	"3.0"	"92.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"vi"	""	"6"	""	""	false
"V6(2)"	""	"25"	"1.0"	"94.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	"6"	"2"	""	false
"V6"	""	"25"	"3.0"	"96.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	"6"	""	""	false
"#viio6(2)"	""	"26"	"1.0"	"98.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"#vii"	"o"	"6"	"2"	""	false
"#viio6"	""	"26"	"3.0"	"100.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"#vii"	"o"	"6"	""	""	false
"V"	""	"27"	"1.0"	"102.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	""	""	""	false
"V7"	""	"27"	"3.0"	"104.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	"7"	""	""	false
"I(9)"	""	"28"	"1.0"	"106.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	""	"9"	""	false
"i6"	""	"28"	"3.0"	"108.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	"6"	""	""	false
"i"	""	"28"	"4.0"	"109.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	""	""	""	false
"V"	""	"29"	"1.0"	"110.5"	"2/2"	"18"	"5"	"4"	2.5	"A"	"V"	""	"V"	""	""	""	""	false
"V7"	""	"29"	"3.5"	"113.0"	"2/2"	"18"	"5"	"4"	1.5	"A"	"V"	""	"V"	""	"7"	""	""	false
"I(9)"	""	"30"	"1.0"	"114.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	""	"9"	""	false
"i6"	""	"30"	"3.0"	"116.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	"6"	""	""	false
"i"	""	"30"	"4.0"	"117.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	""	""	""	false
"V"	""	"31"	"1.0"	"118.5"	"2/2"	"18"	"5"	"4"	2.5	"A"	"V"	""	"V"	""	""	""	""	false
"V7"	""	"31"	"3.5"	"121.0"	"2/2"	"18"	"5"	"4"	1.5	"A"	"V"	""	"V"	""	"7"	""	""	false
"I(9)"	""	"32"	"1.0"	"122.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	""	"9"	""	false
"i6"	""	"32"	"3.0"	"124.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	"6"	""	""	false
"i"	""	"32"	"4.0"	"125.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	""	""	""	false
"V"	""	"33"	"1.0"	"126.5"	"2/2"	"18"	"5"	"4"	2.5	"A"	"V"	""	"V"	""	""	""	""	false
"V7"	""	"33"	"3.5"	"129.0"	"2/2"	"18"	"5"	"4"	1.5	"A"	"V"	""	"V"	""	"7"	""	""	false
"I(9)"	""	"34"	"1.0"	"130.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	""	"9"	""	false
"i6"	""	"34"	"3.0"	"132.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	"6"	""	""	false
"i"	""	"34"	"4.0"	"133.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	""	""	""	false
"V"	""	"35"	"1.0"	"134.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	""	""	""	false
"i"	""	"35"	"2.0"	"135.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	""	""	""	false
"V"	""	"35"	"3.0"	"136.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	""	""	""	false
"i"	""	"35"	"4.0"	"137.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"i"	""	""	""	""	false
"V\\\\"	""	"36"	"1.0"	"138.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"V"	""	"V"	""	""	""	""	true
"I"	""	"37"	"1.0"	"142.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"V"	""	"I"	""	""	""	""	false
"#viio7/V"	""	"38"	"1.0"	"146.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"V"	""	"#vii"	"o"	"7"	""	"V"	false
"#viio43"	""	"39"	"1.0"	"150.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"V"	""	"#vii"	"o"	"43"	""	""	false
"viio7/iv"	""	"40"	"1.0"	"154.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"V"	""	"vii"	"o"	"7"	""	"iv"	false
"#viio43/bVII"	""	"41"	"1.0"	"158.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"#vii"	"o"	"43"	""	"bVII"	false
".bVII6"	""	"41"	"3.0"	"160.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"bVII"	""	"6"	""	""	false
"#viio6"	""	"42"	"1.0"	"162.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"#vii"	"o"	"6"	""	""	false
"I"	""	"42"	"3.0"	"164.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	""	""	""	false
"ii6(2)"	""	"43"	"1.0"	"166.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"ii"	""	"6"	"2"	""	false
"ii6"	""	"43"	"2.0"	"167.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"ii"	""	"6"	""	""	false
"V6/V"	""	"43"	"3.0"	"168.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"6"	""	"V"	false
"V65/V"	""	"43"	"4.0"	"169.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"65"	""	"V"	false
"V(4)"	""	"44"	"1.0"	"170.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	""	"4"	""	false
"V\\\\"	""	"44"	"2.0"	"171.5"	"2/2"	"18"	"5"	"4"	3.0	"A"	"V"	""	"V"	""	""	""	""	true
"I"	""	"45"	"1.0"	"174.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	""	""	""	false
"vi"	""	"45"	"3.0"	"176.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"vi"	""	""	""	""	false
"IV"	""	"46"	"1.0"	"178.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"IV"	""	""	""	""	false
"ii"	""	"46"	"3.0"	"180.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"ii"	""	""	""	""	false
"viio"	""	"47"	"1.0"	"182.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"vii"	"o"	""	""	""	false
"V"	""	"47"	"3.0"	"184.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	""	""	""	false
"I6"	""	"48"	"1.0"	"186.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	"6"	""	""	false
"I"	""	"48"	"3.0"	"188.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	""	""	""	false
"vi"	""	"49"	"1.0"	"190.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"vi"	""	""	""	""	false
"ii"	""	"49"	"3.0"	"192.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"ii"	""	""	""	""	false
"iv64"	""	"49"	"4.0"	"193.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"iv"	""	"64"	""	""	false
"V65"	""	"50"	"1.0"	"194.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	"65"	""	""	false
"I(9)"	""	"50"	"3.0"	"196.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	""	"9"	""	false
"I6"	""	"50"	"4.0"	"197.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	"6"	""	""	false
"ii6(2)"	""	"51"	"1.0"	"198.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"ii"	""	"6"	"2"	""	false
"ii"	""	"51"	"2.0"	"199.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"ii"	""	""	""	""	false
"V(64)"	""	"51"	"3.0"	"200.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	""	"64"	""	false
"V7"	""	"51"	"4.0"	"201.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"52"	"1.0"	"202.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	""	""	""	true
"V7"	""	"52"	"2.0"	"203.5"	"2/2"	"18"	"5"	"4"	3.0	"A"	"V"	""	"V"	""	"7"	""	""	false
"V"	""	"53"	"1.0"	"206.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	""	""	""	false
"V7(9)"	""	"53"	"3.0"	"208.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"7"	"9"	""	false
"vi7"	""	"53"	"4.0"	"209.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"vi"	""	"7"	""	""	false
"viio"	""	"54"	"1.0"	"210.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"vii"	"o"	""	""	""	false
"I"	""	"54"	"2.0"	"211.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	""	""	""	false
"V7"	""	"54"	"3.0"	"212.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	"7"	""	""	false
"V"	""	"55"	"1.0"	"214.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	""	""	""	false
"V7(9)"	""	"55"	"3.0"	"216.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"7"	"9"	""	false
"vi7"	""	"55"	"4.0"	"217.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"vi"	""	"7"	""	""	false
"viio"	""	"56"	"1.0"	"218.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"vii"	"o"	""	""	""	false
"I"	""	"56"	"2.0"	"219.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	""	""	""	false
"V7(9)/ii"	""	"56"	"3.0"	"220.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"7"	"9"	"ii"	false
"vii%7"	""	"56"	"4.0"	"221.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"vii"	"%"	"7"	""	""	false
"#viio/ii"	""	"57"	"1.0"	"222.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"#vii"	"o"	""	""	"ii"	false
"ii"	""	"57"	"2.0"	"223.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"ii"	""	""	""	""	false
"V7(9)/IV"	""	"57"	"3.0"	"224.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"7"	"9"	"IV"	false
"ii%7"	""	"57"	"4.0"	"225.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"ii"	"%"	"7"	""	""	false
"viio/IV"	""	"58"	"1.0"	"226.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"vii"	"o"	""	""	"IV"	false
"IV"	""	"58"	"2.0"	"227.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"IV"	""	""	""	""	false
"I64"	""	"58"	"3.0"	"228.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	"64"	""	""	false
"IV6"	""	"58"	"4.0"	"229.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"IV"	""	"6"	""	""	false
"V7"	""	"59"	"1.0"	"230.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"7"	""	""	false
"V(64)"	""	"59"	"2.0"	"231.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	""	"64"	""	false
"V\\\\"	""	"59"	"4.0"	"233.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	""	""	""	true
"I"	""	"60"	"1.0"	"234.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	""	""	""	false
"viio"	""	"60"	"2.0"	"235.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"vii"	"o"	""	""	""	false
"IV6"	""	"60"	"3.0"	"236.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"IV"	""	"6"	""	""	false
"I64"	""	"60"	"4.0"	"237.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	"64"	""	""	false
"IV"	""	"61"	"1.0"	"238.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"IV"	""	""	""	""	false
"I6"	""	"61"	"2.0"	"239.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	"6"	""	""	false
"V43"	""	"61"	"3.0"	"240.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"43"	""	""	false
"I"	""	"61"	"4.0"	"241.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	""	""	""	false
"V65"	""	"62"	"1.0"	"242.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"V"	""	"V"	""	"65"	""	""	false
"I"	""	"63"	"1.0"	"246.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	""	""	""	false
"ii6"	""	"63"	"2.0"	"247.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"ii"	""	"6"	""	""	false
"V(64)"	""	"63"	"3.0"	"248.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	""	"64"	""	false
"V7"	""	"63"	"4.0"	"249.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"64"	"1.0"	"250.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"I"	""	""	""	""	true
"IV6"	""	"64"	"3.0"	"252.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"IV"	""	"6"	""	""	false
"I64"	""	"64"	"4.0"	"253.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	"64"	""	""	false
"IV"	""	"65"	"1.0"	"254.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"IV"	""	""	""	""	false
"I6"	""	"65"	"2.0"	"255.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	"6"	""	""	false
"V43"	""	"65"	"3.0"	"256.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"V"	""	"43"	""	""	false
"I"	""	"65"	"4.0"	"257.5"	"2/2"	"18"	"5"	"4"	1.0	"A"	"V"	""	"I"	""	""	""	""	false
"viio"	""	"66"	"1.0"	"258.5"	"2/2"	"18"	"5"	"4"	8.0	"A"	"V"	""	"vii"	"o"	""	""	""	false
"V7(+2)/vi"	""	"68"	"1.0"	"266.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	"7"	"+2"	"vi"	false
"vi"	""	"68"	"3.0"	"268.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"vi"	""	""	""	""	false
"V7(+2)/V"	""	"69"	"1.0"	"270.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	"7"	"+2"	"V"	false
"v"	""	"69"	"3.0"	"272.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"v"	""	""	""	""	false
"V7(+2)/IV"	""	"70"	"1.0"	"274.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	"7"	"+2"	"IV"	false
"IV"	""	"70"	"3.0"	"276.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"IV"	""	""	""	""	false
"V(64)"	""	"71"	"1.0"	"278.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	""	"64"	""	false
"V7"	""	"71"	"3.0"	"280.5"	"2/2"	"18"	"5"	"4"	2.0	"A"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"72"	"1.0"	"282.5"	"2/2"	"18"	"5"	"4"	4.0	"A"	"V"	""	"I"	""	""	""	""	true
