"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".A.I"	""	"1"	"1.0"	"1.0"	"4/4"	"132"	"15"	"4"	2.75	"A"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"1"	"3.75"	"3.75"	"4/4"	"132"	"15"	"4"	0.25	"A"	"I"	""	"I"	""	"6"	""	""	false
"viio6"	""	"1"	"4.0"	"4.0"	"4/4"	"132"	"15"	"4"	0.75	"A"	"I"	""	"vii"	"o"	"6"	""	""	false
"I"	""	"1"	"4.75"	"4.75"	"4/4"	"132"	"15"	"4"	0.25	"A"	"I"	""	"I"	""	""	""	""	false
"V65"	""	"2"	"1.0"	"5.0"	"4/4"	"132"	"15"	"4"	1.0	"A"	"I"	""	"V"	""	"65"	""	""	false
"I\\\\"	""	"2"	"2.0"	"6.0"	"4/4"	"132"	"15"	"4"	3.0	"A"	"I"	""	"I"	""	""	""	""	true
"I"	""	"3"	"1.0"	"9.0"	"4/4"	"132"	"15"	"4"	1.0	"A"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"3"	"2.0"	"10.0"	"4/4"	"132"	"15"	"4"	1.75	"A"	"I"	""	"I"	""	"6"	""	""	false
"I"	""	"3"	"3.75"	"11.75"	"4/4"	"132"	"15"	"4"	0.25	"A"	"I"	""	"I"	""	""	""	""	false
"IV6"	""	"3"	"4.0"	"12.0"	"4/4"	"132"	"15"	"4"	0.75	"A"	"I"	""	"IV"	""	"6"	""	""	false
"IV"	""	"3"	"4.75"	"12.75"	"4/4"	"132"	"15"	"4"	0.25	"A"	"I"	""	"IV"	""	""	""	""	false
"V(64)"	""	"4"	"1.0"	"13.0"	"4/4"	"132"	"15"	"4"	1.0	"A"	"I"	""	"V"	""	""	"64"	""	false
"V\\\\"	""	"4"	"2.0"	"14.0"	"4/4"	"132"	"15"	"4"	1.0	"A"	"I"	""	"V"	""	""	""	""	true
"V7"	""	"4"	"3.0"	"15.0"	"4/4"	"132"	"15"	"4"	2.0	"A"	"I"	""	"V"	""	"7"	""	""	false
"V6"	""	"5"	"1.0"	"17.0"	"4/4"	"132"	"15"	"4"	3.0	"A"	"I"	""	"V"	""	"6"	""	""	false
"V2"	""	"5"	"4.0"	"20.0"	"4/4"	"132"	"15"	"4"	1.0	"A"	"I"	""	"V"	""	"2"	""	""	false
"I6"	""	"6"	"1.0"	"21.0"	"4/4"	"132"	"15"	"4"	1.0	"A"	"I"	""	"I"	""	"6"	""	""	false
"I"	""	"6"	"2.0"	"22.0"	"4/4"	"132"	"15"	"4"	2.0	"A"	"I"	""	"I"	""	""	""	""	false
"V.ii"	""	"6"	"4.0"	"24.0"	"4/4"	"132"	"15"	"4"	1.0	"A"	"V"	""	"ii"	""	""	""	""	false
"V7(4)"	""	"7"	"1.0"	"25.0"	"4/4"	"132"	"15"	"4"	1.5	"A"	"V"	""	"V"	""	"7"	"4"	""	false
"V7"	""	"7"	"2.5"	"26.5"	"4/4"	"132"	"15"	"4"	0.5	"A"	"V"	""	"V"	""	"7"	""	""	false
"V(64)"	""	"7"	"3.0"	"27.0"	"4/4"	"132"	"15"	"4"	0.5	"A"	"V"	""	"V"	""	""	"64"	""	false
"V7"	""	"7"	"3.5"	"27.5"	"4/4"	"132"	"15"	"4"	0.5	"A"	"V"	""	"V"	""	"7"	""	""	false
"vi7"	""	"7"	"4.0"	"28.0"	"4/4"	"132"	"15"	"4"	0.75	"A"	"V"	""	"vi"	""	"7"	""	""	false
"viio64"	""	"7"	"4.75"	"28.75"	"4/4"	"132"	"15"	"4"	0.25	"A"	"V"	""	"vii"	"o"	"64"	""	""	false
"I"	""	"8"	"1.0"	"29.0"	"4/4"	"132"	"15"	"4"	1.0	"A"	"V"	""	"I"	""	""	""	""	false
"V7"	""	"8"	"2.0"	"30.0"	"4/4"	"132"	"15"	"4"	1.0	"A"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"8"	"3.0"	"31.0"	"4/4"	"132"	"15"	"4"	2.0	"A"	"V"	""	"I"	""	""	""	""	true
"I6"	""	"9"	"1.0"	"33.0"	"4/4"	"132"	"15"	"4"	2.0	"A"	"V"	""	"I"	""	"6"	""	""	false
