"chords"	"altchords"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"
".A.I"	NA	1	1.0	"A"	"I"	""	"I"	""	""	""	""
"IV"	NA	2	2.0	"A"	"I"	""	"IV"	""	""	""	""
"V/V"	NA	3	2.0	"A"	"I"	""	"V"	""	""	""	"V"
"V"	NA	4	2.0	"A"	"I"	""	"V"	""	""	""	""
"I"	NA	5	1.0	"A"	"I"	""	"I"	""	""	""	""
"I6(2)"	NA	5	3.0	"A"	"I"	""	"I"	""	"6"	"(2)"	""
"I6"	NA	5	3.5	"A"	"I"	""	"I"	""	"6"	""	""
"III"	NA	6	1.0	"A"	"I"	""	"III"	""	""	""	""
"IV"	NA	6	2.0	"A"	"I"	""	"IV"	""	""	""	""
"ii"	NA	7	1.0	"A"	"I"	""	"ii"	""	""	""	""
"ii6"	NA	7	3.0	"A"	"I"	""	"ii"	""	"6"	""	""
"#viio/V"	NA	8	1.0	"A"	"I"	""	"#vii"	"o"	""	""	"V"
"V"	NA	8	2.0	"A"	"I"	""	"V"	""	""	""	""
"iii"	NA	9	1.0	"A"	"I"	""	"iii"	""	""	""	""
"iii6"	NA	9	3.0	"A"	"I"	""	"iii"	""	"6"	""	""
"#viio/vi"	NA	10	1.0	"A"	"I"	""	"#vii"	"o"	""	""	"vi"
"vi"	NA	10	2.0	"A"	"I"	""	"vi"	""	""	""	""
"#io65"	NA	11	1.0	"A"	"I"	""	"#i"	"o"	"65"	""	""
"V65/V"	NA	11	2.0	"A"	"I"	""	"V"	""	"65"	""	"V"
"V"	NA	12	2.0	"A"	"I"	""	"V"	""	""	""	""
"V6"	NA	13	3.0	"A"	"I"	""	"V"	""	"6"	""	""
"VII(+6)"	NA	14	1.0	"A"	"I"	""	"VII"	""	""	"(+6)"	""
"I"	NA	14	2.0	"A"	"I"	""	"I"	""	""	""	""
"V.ii"	NA	15	1.0	"A"	"V"	""	"ii"	""	""	""	""
"ii6"	NA	15	3.0	"A"	"V"	""	"ii"	""	"6"	""	""
"#viio/V"	NA	16	1.0	"A"	"V"	""	"#vii"	"o"	""	""	"V"
"V"	NA	16	2.0	"A"	"V"	""	"V"	""	""	""	""
"I"	NA	17	1.0	"A"	"V"	""	"I"	""	""	""	""
"I6"	NA	17	3.0	"A"	"V"	""	"I"	""	"6"	""	""
