"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".a.#viio"	""	"1"	"1.0"	"1.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"#vii"	"o"	""	""	""	false
"i"	""	"1"	"3.0"	"3.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"i"	""	""	""	""	false
"VI"	""	"2"	"1.0"	"5.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"VI"	""	""	""	""	false
"V"	""	"2"	"3.0"	"7.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"V"	""	""	""	""	false
"#viio43/V"	""	"3"	"1.0"	"9.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"#vii"	"o"	"43"	""	"V"	false
"V6"	""	"3"	"3.0"	"11.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"V"	""	"6"	""	""	false
"#viio7/V"	""	"4"	"1.0"	"13.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V"	""	"4"	"3.0"	"15.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"V"	""	""	""	""	false
"#viio2"	""	"5"	"1.0"	"17.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"#vii"	"o"	"2"	""	""	false
"i64"	""	"5"	"3.0"	"19.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"i"	""	"64"	""	""	false
"#viio7"	""	"6"	"1.0"	"21.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"#vii"	"o"	"7"	""	""	false
"i"	""	"6"	"3.0"	"23.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"i"	""	""	""	""	false
"#viio7/V"	""	"7"	"1.0"	"25.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V"	""	"7"	"3.0"	"27.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"V"	""	""	""	""	false
".Ger43"	""	"8"	"1.0"	"29.0"	"2/2"	"132"	"15"	"1"	2.0	"a"	"I"	""	"Ger"	""	"43"	""	""	false
"V64"	""	"8"	"3.0"	"31.0"	"2/2"	"132"	"15"	"1"	1.0	"a"	"I"	""	"V"	""	"64"	""	""	false
"#viio65"	""	"8"	"4.0"	"32.0"	"2/2"	"132"	"15"	"1"	1.0	"a"	"I"	""	"#vii"	"o"	"65"	""	""	false
"#viio65"	""	"9"	"1.0"	"33.0"	"4/4"	"132"	"15"	"1"	7.0	"a"	"I"	""	"#vii"	"o"	"65"	""	""	false
"i6(6)"	""	"10"	"4.0"	"40.0"	"4/4"	"132"	"15"	"1"	0.5	"a"	"I"	""	"i"	""	"6"	"6"	""	false
"i6"	""	"10"	"4.5"	"40.5"	"4/4"	"132"	"15"	"1"	1.5	"a"	"I"	""	"i"	""	"6"	""	""	false
"i"	""	"11"	"2.0"	"42.0"	"4/4"	"132"	"15"	"1"	3.0	"a"	"I"	""	"i"	""	""	""	""	false
"V(4)"	""	"12"	"1.0"	"45.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"V"	""	""	"4"	""	false
"V"	""	"12"	"2.0"	"46.0"	"4/4"	"132"	"15"	"1"	2.0	"a"	"I"	""	"V"	""	""	""	""	false
"V7"	""	"12"	"4.0"	"48.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"V"	""	"7"	""	""	false
"VI(4)"	""	"13"	"1.0"	"49.0"	"4/4"	"132"	"15"	"1"	2.0	"a"	"I"	""	"VI"	""	""	"4"	""	false
".Ger6"	""	"13"	"3.0"	"51.0"	"4/4"	"132"	"15"	"1"	2.0	"a"	"I"	""	"Ger"	""	"6"	""	""	false
"V(4)"	""	"14"	"1.0"	"53.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"V"	""	""	"4"	""	false
"V"	""	"14"	"2.0"	"54.0"	"4/4"	"132"	"15"	"1"	3.0	"a"	"I"	""	"V"	""	""	""	""	false
"V65"	""	"15"	"1.0"	"57.0"	"4/4"	"132"	"15"	"1"	4.0	"a"	"I"	""	"V"	""	"65"	""	""	false
"i(11)"	""	"16"	"1.0"	"61.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"i"	""	""	"11"	""	false
"i(9#7)"	""	"16"	"2.0"	"62.0"	"4/4"	"132"	"15"	"1"	2.0	"a"	"I"	""	"i"	""	""	"9#7"	""	false
"iio7"	""	"16"	"4.0"	"64.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"ii"	"o"	"7"	""	""	false
"i6(6)"	""	"17"	"1.0"	"65.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"i"	""	"6"	"6"	""	false
"i6(#7b2)"	""	"17"	"2.0"	"66.0"	"4/4"	"132"	"15"	"1"	2.0	"a"	"I"	""	"i"	""	"6"	"#7b2"	""	false
"V6/iv"	""	"17"	"4.0"	"68.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"V"	""	"6"	""	"iv"	false
"iv(4)"	""	"18"	"1.0"	"69.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"iv"	""	""	"4"	""	false
"iv"	""	"18"	"2.0"	"70.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"iv"	""	""	""	""	false
".bII6(6)"	""	"18"	"3.0"	"71.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"bII"	""	"6"	"6"	""	false
".bII"	""	"18"	"4.0"	"72.0"	"4/4"	"132"	"15"	"1"	5.0	"a"	"I"	""	"bII"	""	""	""	""	false
"#viio"	""	"20"	"1.0"	"77.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"#vii"	"o"	""	""	""	false
"V2/iv"	""	"20"	"2.0"	"78.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"V"	""	"2"	""	"iv"	false
"IV6"	""	"20"	"3.0"	"79.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"IV"	""	"6"	""	""	false
".Ger6"	""	"20"	"4.0"	"80.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"Ger"	""	"6"	""	""	false
"V(64)"	""	"21"	"1.0"	"81.0"	"4/4"	"132"	"15"	"1"	4.0	"a"	"I"	""	"V"	""	""	"64"	""	false
"V9"	""	"22"	"1.0"	"85.0"	"4/4"	"132"	"15"	"1"	4.0	"a"	"I"	""	"V"	""	"9"	""	""	false
"VI6"	""	"23"	"1.0"	"89.0"	"4/4"	"132"	"15"	"1"	4.0	"a"	"I"	""	"VI"	""	"6"	""	""	false
"V6(4)"	""	"24"	"1.0"	"93.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"V"	""	"6"	"4"	""	false
"V6"	""	"24"	"2.0"	"94.0"	"4/4"	"132"	"15"	"1"	3.0	"a"	"I"	""	"V"	""	"6"	""	""	false
"V7"	""	"25"	"1.0"	"97.0"	"4/4"	"132"	"15"	"1"	4.0	"a"	"I"	""	"V"	""	"7"	""	""	false
"i(4)"	""	"26"	"1.0"	"101.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"i"	""	""	"4"	""	false
"i"	""	"26"	"2.0"	"102.0"	"4/4"	"132"	"15"	"1"	2.0	"a"	"I"	""	"i"	""	""	""	""	false
"iio7"	""	"26"	"4.0"	"104.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"ii"	"o"	"7"	""	""	false
"i6(4)"	""	"27"	"1.0"	"105.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"i"	""	"6"	"4"	""	false
"i6"	""	"27"	"2.0"	"106.0"	"4/4"	"132"	"15"	"1"	2.0	"a"	"I"	""	"i"	""	"6"	""	""	false
"V6/iv"	""	"27"	"4.0"	"108.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"V"	""	"6"	""	"iv"	false
"iv(4)"	""	"28"	"1.0"	"109.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"iv"	""	""	"4"	""	false
"iv"	""	"28"	"2.0"	"110.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"iv"	""	""	""	""	false
"vii64"	""	"28"	"3.0"	"111.0"	"4/4"	"132"	"15"	"1"	0.75	"a"	"I"	""	"vii"	""	"64"	""	""	false
".bII6"	""	"28"	"3.75"	"111.75"	"4/4"	"132"	"15"	"1"	0.25	"a"	"I"	""	"bII"	""	"6"	""	""	false
".bII"	""	"28"	"4.0"	"112.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"I"	""	"bII"	""	""	""	""	false
".bII6"	""	"29"	"1.0"	"113.0"	"4/4"	"132"	"15"	"1"	3.75	"a"	"I"	""	"bII"	""	"6"	""	""	false
"VI.iv6"	""	"29"	"4.75"	"116.75"	"4/4"	"132"	"15"	"1"	0.25	"a"	"VI"	""	"iv"	""	"6"	""	""	false
"V7(b2)"	""	"30"	"1.0"	"117.0"	"4/4"	"132"	"15"	"1"	4.0	"a"	"VI"	""	"V"	""	"7"	"b2"	""	false
"V7(4)"	""	"31"	"1.0"	"121.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"VI"	""	"V"	""	"7"	"4"	""	false
"V7"	""	"31"	"2.0"	"122.0"	"4/4"	"132"	"15"	"1"	3.0	"a"	"VI"	""	"V"	""	"7"	""	""	false
"V7(4b2)"	""	"32"	"1.0"	"125.0"	"4/4"	"132"	"15"	"1"	1.0	"a"	"VI"	""	"V"	""	"7"	"4b2"	""	false
