corpus	piece	i	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	volta	bass_name
couperin_concerts	c02n01_prelude	24	13	11	36	36	1.0	1/2	1/2	3/4	1	1	V.I{		D	V		I	I						{	M	False	False	(0, 4, 1)	()	0	0		A
couperin_concerts	c02n01_prelude	25	14	12	37	37	2.0	0	0	3/4	1	1	V6		D	V		V6	V		6					M	False	False	(5, 2, 1)	()	1	5		G#
couperin_concerts	c02n01_prelude	26	14	12	39	39	1.0	1/2	1/2	3/4	1	1	iii%43		D	V		iii%43	iii	%	43					%7	False	False	(-2, 2, 4, 1)	()	4	-2		G
couperin_concerts	c02n01_prelude	27	15	13	40	40	1.0	0	0	3/4	1	1	IV6(2)		D	V		IV6(2)	IV		6	2				M	False	False	(3, 0, 1)	()	-1	3		F#
couperin_concerts	c02n01_prelude	28	15	13	41	41	1.0	1/4	1/4	3/4	1	1	IV6		D	V		IV6	IV		6					M	False	False	(3, 0, -1)	()	-1	3		F#
couperin_concerts	c02n01_prelude	29	15	13	42	42	1.0	1/2	1/2	3/4	1	1	V65		D	V		V65	V		65					Mm7	False	False	(5, 2, -1, 1)	()	1	5		G#
couperin_concerts	c02n01_prelude	54	25	23	72	72	1.0	1/2	1/2	3/4	1	1	vi6{		D	I		vi6	vi		6				{	m	False	False	(0, 4, 3)	()	3	0		D
couperin_concerts	c02n01_prelude	55	26	24	73	73	2.0	0	0	3/4	1	1	vii%7		D	I		vii%7	vii	%	7					%7	False	False	(5, 2, -1, 3)	()	5	5		C#
couperin_concerts	c02n01_prelude	56	26	24	75	75	1.0	1/2	1/2	3/4	1	1	iii%43		D	I		iii%43	iii	%	43					%7	False	False	(-2, 2, 4, 1)	()	4	-2		C
couperin_concerts	c02n01_prelude	57	27	25	76	76	1.0	0	0	3/4	1	1	vi7		D	I		vi7	vi		7					mm7	False	False	(3, 0, 4, 1)	()	3	3		B
couperin_concerts	c02n01_prelude	58	27	25	77	77	1.0	1/4	1/4	3/4	1	1	IV6		D	I		IV6	IV		6					M	False	False	(3, 0, -1)	()	-1	3		B
couperin_concerts	c02n01_prelude	59	27	25	78	78	1.0	1/2	1/2	3/4	1	1	V65		D	I		V65	V		65					Mm7	False	False	(5, 2, -1, 1)	()	1	5		C#
couperin_concerts	c02n03_air_tendre	37	17	17	50	50	1.0	1/2	1/2	3/4	1	1	V2/V		d	III		V2/V	V		2		V			Mm7	True	False	(0, 2, 6, 3)	()	2	0		F
couperin_concerts	c02n03_air_tendre	38	18	18	51	51	1.0	0	0	3/4	1	1	V6		d	III		V6	V		6					M	True	False	(5, 2, 1)	()	1	5		E
couperin_concerts	c02n03_air_tendre	39	18	18	52	52	1.0	1/4	1/4	3/4	1	1	v6		d	III		v6	v		6					m	True	False	(-2, 2, 1)	()	1	-2		Eb
couperin_concerts	c02n03_air_tendre	40	18	18	53	53	1.0	1/2	1/2	3/4	1	1	V2/IV		d	III		V2/IV	V		2		IV			Mm7	True	False	(-2, 0, 4, 1)	()	0	-2		Eb
couperin_concerts	c02n03_air_tendre	41	19	19	54	54	1.0	0	0	3/4	1	1	IV6		d	III		IV6	IV		6					M	True	False	(3, 0, -1)	()	-1	3		D
couperin_concerts	c02n03_air_tendre	42	19	19	55	55	1.0	1/4	1/4	3/4	1	1	V65		d	III		V65	V		65					Mm7	True	False	(5, 2, -1, 1)	()	1	5		E
couperin_concerts	c05n02_allemande	34	9	8	61/2	61/2	2.0	0	0	2/2	1	1	V6		F	V		V6	V		6					M	False	False	(5, 2, 1)	()	1	5		B
couperin_concerts	c05n02_allemande	35	9	8	65/2	65/2	1.0	1/2	1/2	2/2	1	1	v6		F	V		v6	v		6					m	False	False	(-2, 2, 1)	()	1	-2		Bb
couperin_concerts	c05n02_allemande	36	9	8	67/2	67/2	1.0	3/4	3/4	2/2	1	1	V2/IV		F	V		V2/IV	V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2		Bb
couperin_concerts	c05n02_allemande	37	10	9	69/2	69/2	1.0	0	0	2/2	1	1	vi7		F	V		vi7	vi		7					mm7	False	False	(3, 0, 4, 1)	()	3	3		A
couperin_concerts	c05n02_allemande	38	10	9	71/2	71/2	1.0	1/4	1/4	2/2	1	1	IV6		F	V		IV6	IV		6					M	False	False	(3, 0, -1)	()	-1	3		A
couperin_concerts	c05n02_allemande	39	10	9	73/2	73/2	1.0	1/2	1/2	2/2	1	1	vii%7		F	V		vii%7	vii	%	7					%7	False	False	(5, 2, -1, 3)	()	5	5		B
couperin_concerts	c08n03_air	18	9	9	34	34	2.0	1/2	1/2	4/4	1	1	I64		g	III		I64	I		64					M	True	False	(1, 0, 4)	()	0	1		F
couperin_concerts	c08n03_air	19	10	10	36	36	2.0	0	0	4/4	1	1	i.#vi%7		g	i		#vi%7	#vi	%	7					%7	True	True	(3, 0, -3, 1)	()	3	3		E
couperin_concerts	c08n03_air	20	10	10	38	38	2.0	1/2	1/2	4/4	1	1	iio64		g	i		iio64	ii	o	64					o	True	True	(-4, 2, -1)	()	2	-4		Eb
couperin_concerts	c08n03_air	21	11	11	40	40	2.0	0	0	4/4	1	1	V7		g	i		V7	V		7					Mm7	True	True	(1, 5, 2, -1)	()	1	1		D
couperin_concerts	c08n03_air	22	11	11	42	42	2.0	1/2	1/2	4/4	1	1	i		g	i		i	i							m	True	True	(0, -3, 1)	()	0	0		G
couperin_concerts	c09n07_douceur	91	40	38	225/4	57	1.0	0	0	3/8	1	1	V6		e	i		V6	V		6					M	True	True	(5, 2, 1)	()	1	5		D#
couperin_concerts	c09n07_douceur	92	40	38	229/4	58	0.5	1/4	1/4	3/8	1	1	v6		e	i		v6	v		6					m	True	True	(-2, 2, 1)	()	1	-2		D
couperin_concerts	c09n07_douceur	93	41	39	231/4	117/2	1.5	0	0	3/8	1	1	#vi%7		e	i		#vi%7	#vi	%	7					%7	True	True	(3, 0, -3, 1)	()	3	3		C#
couperin_concerts	c09n07_douceur	94	42	40	237/4	60	0.5	0	0	3/8	1	1	ii%43		e	i		ii%43	ii	%	43					%7	True	True	(-4, 0, 2, -1)	()	2	-4		C
